age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
41,management,married,tertiary,no,60,no,no,unknown,14,may,1084,4,210,0,unknown,no
49,self-employed,single,secondary,no,894,yes,no,unknown,19,feb,808,3,61,0,failure,no
38,student,married,primary,no,41,no,yes,unknown,8,nov,223,2,151,3,failure,no
44,services,married,unknown,no,1522,no,yes,unknown,29,aug,1899,5,76,2,failure,yes
47,technician,divorced,tertiary,no,3740,no,yes,unknown,10,apr,323,3,211,11,unknown,no
37,admin.,divorced,tertiary,yes,515,yes,no,cellular,23,jun,23,14,-1,3,other,yes
28,housemaid,divorced,primary,no,-240,no,yes,unknown,7,aug,805,6,-1,5,success,no
42,entrepreneur,single,secondary,no,5040,no,yes,cellular,29,mar,640,2,-1,0,other,yes
39,blue-collar,single,secondary,no,4831,no,yes,unknown,28,jul,377,9,128,7,failure,no
36,management,married,tertiary,yes,3404,no,yes,cellular,14,may,107,2,144,2,success,yes
26,services,single,tertiary,no,8435,yes,no,telephone,18,jul,916,3,206,1,failure,no
34,entrepreneur,married,primary,yes,616,no,yes,cellular,18,feb,217,6,89,0,unknown,yes
50,services,married,primary,no,2086,no,no,unknown,23,jun,178,3,286,0,failure,no
20,services,married,primary,yes,3503,no,no,unknown,14,sep,292,2,-1,7,other,yes
31,admin.,married,primary,no,168,no,yes,telephone,27,jul,350,5,-1,9,success,yes
22,technician,divorced,secondary,no,1695,no,no,unknown,29,jan,350,1,103,12,failure,no
44,retired,married,secondary,no,1872,no,yes,cellular,7,feb,641,6,414,3,failure,yes
83,admin.,divorced,unknown,no,1412,no,no,unknown,13,jun,91,6,252,1,unknown,no
75,management,divorced,unknown,no,4413,no,yes,telephone,21,aug,5,8,98,3,success,no
33,entrepreneur,single,unknown,yes,231,no,no,telephone,15,may,198,3,148,1,unknown,yes
24,self-employed,divorced,primary,yes,128,no,no,cellular,26,nov,631,7,74,3,success,yes
54,unknown,single,tertiary,no,2423,yes,no,telephone,30,mar,322,4,212,3,other,no
35,self-employed,single,unknown,yes,28428,yes,no,cellular,27,jul,236,3,-1,3,failure,yes
36,services,single,secondary,yes,10033,no,no,telephone,3,jun,112,1,550,4,unknown,no
40,housemaid,divorced,unknown,no,4371,yes,yes,cellular,17,feb,200,1,162,0,failure,yes
50,retired,single,secondary,yes,7525,no,no,cellular,29,nov,331,5,74,9,success,no
41,unknown,divorced,secondary,no,-463,yes,no,unknown,14,sep,107,4,102,0,failure,no
39,unemployed,divorced,unknown,yes,154,yes,no,cellular,12,may,194,5,79,6,unknown,no
75,technician,single,tertiary,yes,1555,yes,yes,unknown,4,feb,2505,1,-1,1,success,no
42,self-employed,divorced,secondary,no,950,no,no,unknown,24,jul,241,1,-1,2,other,no
75,self-employed,single,primary,yes,-267,no,yes,telephone,9,nov,243,1,-1,0,success,yes
62,technician,single,secondary,no,-34,no,no,cellular,28,mar,1254,2,180,7,failure,no
41,student,married,secondary,no,3514,yes,no,cellular,11,jul,1729,3,-1,3,unknown,yes
88,unknown,single,unknown,no,5031,no,yes,unknown,21,aug,1292,11,-1,4,failure,no
37,unknown,single,secondary,no,1457,no,yes,cellular,31,mar,1587,2,-1,5,unknown,no
48,self-employed,divorced,secondary,yes,51,yes,yes,telephone,28,aug,960,2,96,1,other,no
34,admin.,married,primary,yes,630,yes,no,unknown,29,apr,1709,3,161,0,success,no
34,retired,single,unknown,yes,-178,no,yes,telephone,19,jun,262,4,4,0,other,no
52,entrepreneur,married,tertiary,yes,17060,no,no,unknown,6,sep,185,2,109,2,success,yes
53,blue-collar,divorced,tertiary,no,5711,no,no,telephone,31,jan,2100,3,414,2,other,yes
88,management,divorced,tertiary,no,-367,no,no,unknown,30,jul,182,2,98,7,unknown,yes
52,services,single,secondary,no,-277,yes,no,telephone,11,dec,35,4,264,6,other,yes
51,admin.,divorced,secondary,no,15,yes,yes,unknown,12,apr,1426,18,156,3,success,yes
43,admin.,married,unknown,yes,1821,yes,no,cellular,26,jan,342,6,-1,7,success,yes
37,unknown,married,secondary,no,1320,no,no,cellular,17,oct,963,4,367,2,success,yes
50,housemaid,married,tertiary,yes,28637,yes,no,telephone,6,jun,157,1,-1,4,failure,no
27,housemaid,single,primary,no,509,no,no,cellular,9,jun,371,18,-1,0,unknown,yes
29,retired,single,primary,no,4528,yes,yes,unknown,19,jun,156,2,94,8,unknown,no
75,services,divorced,secondary,no,936,no,yes,unknown,16,may,136,1,95,4,failure,no
26,unknown,divorced,unknown,no,344,yes,yes,cellular,7,nov,742,21,-1,0,failure,yes
70,unemployed,single,secondary,yes,1593,no,no,cellular,15,jan,901,26,78,0,unknown,no
47,housemaid,divorced,unknown,no,-408,yes,no,unknown,11,dec,1009,5,180,2,unknown,no
51,blue-collar,single,tertiary,yes,3226,yes,yes,cellular,18,oct,468,10,673,2,success,no
38,blue-collar,married,primary,yes,3517,no,no,unknown,13,jan,478,1,772,3,other,yes
53,self-employed,divorced,primary,no,14630,no,yes,telephone,7,sep,494,7,-1,2,unknown,yes
46,retired,divorced,tertiary,yes,-6337,no,no,cellular,31,mar,755,8,354,2,other,no
51,unemployed,single,primary,yes,7440,no,no,unknown,10,nov,192,6,220,2,success,yes
44,blue-collar,single,secondary,no,455,no,no,cellular,21,sep,213,1,281,2,success,yes
40,entrepreneur,divorced,secondary,no,16219,no,yes,unknown,8,jul,347,7,89,1,failure,no
39,student,single,primary,no,12128,no,no,cellular,28,aug,107,4,79,9,success,yes
33,retired,single,primary,no,1975,no,yes,unknown,11,oct,449,2,18,0,failure,no
32,admin.,divorced,primary,no,2855,no,yes,cellular,20,jul,573,1,265,1,failure,no
35,technician,married,tertiary,no,5090,yes,yes,telephone,1,jun,117,15,148,4,success,no
42,technician,married,unknown,no,6342,no,yes,cellular,18,dec,30,11,-1,2,other,yes
49,management,married,tertiary,no,1864,no,no,cellular,31,may,208,9,174,4,unknown,no
43,unknown,divorced,primary,no,3584,yes,yes,telephone,16,mar,373,14,71,8,unknown,no
27,self-employed,married,unknown,no,606,no,yes,unknown,6,nov,105,1,120,4,failure,no
43,technician,divorced,tertiary,no,11435,yes,yes,cellular,19,oct,331,2,88,0,success,no
34,entrepreneur,single,primary,yes,2420,no,no,cellular,15,feb,620,1,76,3,success,no
41,unknown,single,primary,yes,1121,yes,yes,telephone,17,sep,798,4,-1,1,other,yes
39,student,divorced,tertiary,no,1013,no,no,cellular,16,dec,1053,3,83,3,other,no
34,retired,married,secondary,no,4257,yes,no,telephone,15,jul,1324,7,97,0,failure,yes
40,student,divorced,tertiary,yes,8093,no,yes,cellular,28,jul,909,26,-1,2,failure,yes
48,technician,married,tertiary,no,6522,no,no,telephone,20,sep,106,5,-1,5,other,no
54,blue-collar,divorced,tertiary,yes,1549,no,no,cellular,14,apr,168,1,-1,6,other,yes
48,management,divorced,tertiary,yes,184,yes,no,cellular,21,apr,1480,1,213,3,success,no
35,entrepreneur,divorced,tertiary,yes,4,yes,no,telephone,22,aug,1160,3,106,3,unknown,no
42,unknown,single,primary,yes,5071,yes,yes,unknown,15,nov,84,1,83,0,success,no
54,self-employed,single,tertiary,no,-87,no,no,cellular,13,jan,189,2,1,2,other,no
28,services,married,tertiary,no,532,yes,no,unknown,12,aug,704,3,283,3,other,no
73,self-employed,married,tertiary,yes,512,no,yes,unknown,6,jul,401,7,-1,1,failure,yes
25,blue-collar,single,unknown,no,230,no,no,unknown,23,apr,1622,1,197,3,failure,yes
27,unemployed,divorced,primary,no,4294,yes,yes,telephone,11,mar,157,22,187,15,other,no
47,retired,single,primary,no,114,yes,no,cellular,13,jun,189,1,143,3,other,no
48,management,single,secondary,yes,5296,yes,yes,cellular,30,jul,1028,4,88,9,unknown,no
36,retired,divorced,primary,no,5080,no,no,unknown,2,nov,1351,5,110,2,success,yes
45,self-employed,single,primary,no,-379,yes,no,cellular,11,oct,456,4,536,1,success,yes
59,student,married,tertiary,no,-2911,no,yes,cellular,29,sep,206,1,152,2,failure,yes
62,housemaid,divorced,tertiary,no,3792,yes,no,cellular,7,sep,275,3,84,0,success,yes
52,self-employed,single,tertiary,no,-212,no,yes,unknown,8,feb,7,8,481,6,other,yes
50,unemployed,married,tertiary,yes,-394,yes,yes,cellular,6,oct,898,1,-1,5,success,no
26,unemployed,married,tertiary,yes,965,no,no,cellular,18,jul,230,2,70,0,other,yes
59,management,single,secondary,no,3521,yes,no,telephone,9,oct,255,4,132,12,unknown,no
47,blue-collar,divorced,unknown,no,6887,yes,no,cellular,5,jan,810,6,-1,4,success,yes
79,admin.,single,secondary,no,4345,yes,no,unknown,27,jun,256,3,96,4,unknown,yes
32,blue-collar,married,unknown,no,1887,no,no,cellular,17,feb,1651,5,325,2,success,yes
52,technician,married,secondary,no,12862,no,yes,telephone,21,mar,755,3,-1,1,failure,no
32,services,single,tertiary,no,-866,yes,no,cellular,7,apr,261,1,96,3,failure,no
44,services,single,primary,yes,3754,no,no,unknown,7,may,1690,4,207,3,failure,no
34,services,single,secondary,no,3777,yes,no,unknown,6,feb,243,1,322,1,other,yes
34,self-employed,married,secondary,yes,6788,yes,no,cellular,16,jun,214,16,77,13,success,yes
94,management,single,unknown,no,-23,yes,no,telephone,17,nov,910,2,110,3,unknown,no
33,unemployed,married,tertiary,no,473,yes,no,cellular,21,jul,469,1,-1,3,failure,yes
42,blue-collar,married,tertiary,yes,1327,yes,no,telephone,19,sep,246,3,182,2,unknown,yes
63,services,single,primary,no,1707,no,no,cellular,24,aug,80,4,-1,3,unknown,yes
27,retired,divorced,tertiary,no,-311,no,yes,unknown,13,jul,897,14,107,0,success,yes
20,unemployed,married,primary,no,8940,yes,no,unknown,5,sep,776,1,295,2,unknown,no
30,admin.,married,unknown,no,13153,no,no,telephone,12,mar,207,5,368,4,unknown,no
41,self-employed,divorced,secondary,no,39818,yes,yes,telephone,2,dec,612,2,-1,3,unknown,yes
33,student,divorced,primary,no,-2750,yes,yes,unknown,15,jul,262,34,203,2,unknown,no
42,management,divorced,secondary,no,342,no,no,unknown,19,mar,198,3,70,1,failure,yes
66,self-employed,single,tertiary,no,12393,yes,yes,unknown,11,mar,273,2,70,2,other,yes
38,unknown,single,unknown,yes,-719,no,no,telephone,15,mar,420,4,189,0,unknown,yes
49,admin.,married,primary,no,10788,yes,no,telephone,21,jul,1007,4,96,3,unknown,yes
67,blue-collar,married,tertiary,no,689,no,no,cellular,23,jan,1161,3,-1,5,failure,yes
31,student,single,primary,no,-165,no,no,telephone,15,apr,771,3,127,4,unknown,no
53,unemployed,married,primary,yes,2211,no,no,cellular,3,jul,328,10,80,3,failure,yes
61,admin.,married,unknown,yes,5067,yes,no,unknown,15,aug,672,7,180,2,other,yes
45,management,single,tertiary,yes,1690,yes,no,unknown,29,jul,95,3,43,0,failure,yes
33,management,single,tertiary,yes,7451,yes,no,cellular,19,mar,133,2,16,3,failure,no
60,blue-collar,divorced,primary,yes,885,no,no,telephone,6,jan,286,6,54,1,failure,yes
24,housemaid,single,primary,no,6271,no,no,cellular,24,feb,187,5,83,0,success,no
58,entrepreneur,married,primary,yes,-730,no,no,telephone,18,may,166,2,168,10,success,no
29,unknown,married,primary,no,25813,yes,no,cellular,13,jul,201,1,86,7,other,yes
59,unemployed,married,primary,no,161,yes,yes,unknown,29,jul,433,1,176,2,unknown,yes
41,unemployed,married,primary,no,1982,yes,no,cellular,28,may,458,15,42,2,unknown,no
44,admin.,divorced,secondary,yes,1426,no,no,cellular,7,sep,1444,1,-1,1,unknown,yes
24,self-employed,divorced,tertiary,no,283,no,no,unknown,29,jun,524,1,115,0,failure,no
28,services,divorced,unknown,yes,3965,yes,no,telephone,16,may,765,2,144,1,failure,yes
43,retired,married,secondary,yes,715,yes,yes,cellular,9,dec,1020,15,87,3,unknown,yes
36,services,married,tertiary,no,1547,yes,no,unknown,6,jun,333,9,515,2,failure,no
85,unemployed,divorced,tertiary,no,4272,yes,no,unknown,14,aug,1304,3,168,1,other,no
32,entrepreneur,divorced,tertiary,no,2428,yes,no,cellular,31,feb,2107,1,0,5,unknown,no
53,services,divorced,secondary,no,5182,no,no,telephone,28,jun,772,4,76,2,other,no
45,blue-collar,single,secondary,no,1673,no,no,unknown,28,nov,75,5,101,0,success,no
27,retired,single,primary,no,30000,yes,no,cellular,22,jan,91,2,118,2,success,no
35,technician,divorced,secondary,no,1899,yes,no,telephone,6,jan,1059,6,-1,4,other,no
44,retired,single,unknown,yes,4402,yes,no,unknown,19,mar,1173,3,81,2,success,no
55,unknown,married,tertiary,no,3028,yes,no,cellular,19,mar,717,13,42,3,success,yes
51,self-employed,married,tertiary,yes,4902,yes,no,telephone,27,jul,278,6,-1,6,failure,yes
30,housemaid,single,tertiary,no,172,yes,no,unknown,2,oct,2388,2,169,5,unknown,yes
71,self-employed,married,primary,no,546,no,no,cellular,5,apr,502,8,114,1,other,no
39,housemaid,married,primary,yes,8493,yes,no,unknown,17,may,248,21,81,2,failure,no
46,blue-collar,married,tertiary,no,7034,yes,no,telephone,20,may,1209,3,82,2,success,yes
66,admin.,single,secondary,yes,242,yes,no,telephone,1,jun,437,6,45,1,unknown,yes
64,management,married,secondary,no,461,no,no,cellular,14,dec,1441,16,179,4,other,yes
50,services,single,tertiary,no,1449,no,no,unknown,25,jan,806,7,90,1,unknown,yes
42,unemployed,single,primary,no,703,no,no,cellular,1,jan,226,14,159,0,unknown,no
89,retired,divorced,secondary,no,-72,yes,yes,cellular,14,jan,957,2,67,4,other,no
44,blue-collar,divorced,tertiary,yes,229,no,yes,cellular,22,jul,407,16,95,2,success,yes
30,blue-collar,divorced,tertiary,no,428,no,no,cellular,28,sep,165,4,86,1,failure,no
52,services,divorced,secondary,no,363,no,no,telephone,19,aug,341,5,-1,2,other,yes
40,student,single,tertiary,yes,232,yes,no,cellular,30,jan,1794,3,292,3,success,no
60,blue-collar,married,tertiary,no,3774,yes,no,telephone,17,jan,380,2,78,3,failure,yes
30,technician,single,unknown,yes,-1105,no,no,unknown,9,feb,2073,3,1,3,other,yes
25,unemployed,married,secondary,yes,1101,yes,no,cellular,17,jun,19,3,-1,5,unknown,no
23,services,married,secondary,no,12994,yes,no,unknown,30,nov,502,3,221,0,failure,no
35,management,single,unknown,no,2573,yes,yes,cellular,16,jul,662,27,562,11,unknown,yes
39,blue-collar,divorced,unknown,no,211,no,no,cellular,30,jan,248,6,88,0,unknown,no
37,technician,divorced,unknown,no,3784,no,no,unknown,5,mar,1520,2,134,0,success,no
37,student,married,unknown,yes,6411,no,no,cellular,18,dec,1278,1,533,0,success,no
53,unknown,single,unknown,no,-366,yes,no,unknown,17,jul,247,1,331,3,success,no
35,technician,married,unknown,no,23302,no,no,unknown,8,mar,1676,9,-1,3,other,no
28,services,divorced,primary,no,6420,yes,no,unknown,30,sep,320,1,64,0,success,yes
76,entrepreneur,divorced,unknown,no,5740,no,yes,telephone,25,feb,174,2,50,3,failure,yes
32,unknown,married,tertiary,no,779,no,no,telephone,14,jul,1492,35,130,0,failure,yes
66,retired,married,tertiary,yes,2485,yes,no,unknown,28,nov,884,4,-1,3,success,yes
66,student,single,secondary,no,-40,yes,yes,unknown,30,apr,1904,5,109,0,failure,no
58,student,divorced,unknown,yes,-108,yes,no,telephone,17,oct,113,1,113,3,unknown,no
22,technician,married,unknown,no,2927,yes,yes,cellular,11,aug,309,7,238,2,unknown,no
34,unemployed,single,unknown,no,437,no,yes,cellular,17,apr,1225,16,250,2,success,no
33,unknown,divorced,tertiary,no,361,yes,no,unknown,24,dec,1195,2,183,7,success,no
74,student,divorced,unknown,yes,513,yes,yes,telephone,12,aug,600,1,596,1,unknown,yes
28,management,married,secondary,yes,3075,yes,no,cellular,22,feb,394,7,92,3,other,no
36,retired,single,tertiary,yes,85,yes,no,unknown,10,feb,978,3,-1,0,unknown,yes
51,technician,married,tertiary,no,27195,yes,yes,telephone,10,aug,811,2,470,0,failure,no
60,retired,single,tertiary,no,1978,no,yes,cellular,28,oct,1153,1,-1,3,other,no
46,management,divorced,secondary,yes,-298,no,no,telephone,28,apr,881,1,107,1,unknown,yes
34,student,single,secondary,no,6508,no,no,cellular,17,feb,426,4,206,2,failure,yes
88,technician,divorced,primary,no,10320,no,no,telephone,19,aug,456,1,-1,0,failure,no
31,student,single,primary,yes,280,yes,no,telephone,2,dec,1611,4,58,1,success,no
31,retired,married,tertiary,no,9138,yes,no,cellular,17,nov,1639,7,309,7,unknown,no
81,student,single,unknown,no,2631,no,no,unknown,31,jun,1414,1,146,4,failure,no
32,technician,single,primary,yes,508,no,no,unknown,14,jun,115,1,2,0,unknown,no
35,entrepreneur,married,primary,yes,6877,no,no,unknown,12,jul,397,17,174,3,other,no
46,technician,single,unknown,yes,-16,yes,no,unknown,8,sep,369,4,-1,0,failure,no
49,technician,divorced,tertiary,no,32578,no,yes,telephone,31,oct,677,2,143,3,failure,no
44,management,divorced,secondary,no,3607,no,yes,telephone,13,jul,285,7,-1,9,success,no
47,housemaid,divorced,primary,yes,-247,yes,no,cellular,16,jun,1066,6,328,0,other,no
30,blue-collar,married,primary,no,3114,no,no,unknown,20,jan,498,5,188,4,other,no
37,blue-collar,divorced,tertiary,no,-218,no,yes,cellular,19,jul,255,5,-1,2,success,no
38,technician,single,unknown,no,-253,yes,no,cellular,11,jan,142,3,-1,2,failure,yes
31,retired,married,primary,yes,5528,no,no,cellular,26,oct,303,2,0,2,other,yes
25,entrepreneur,single,secondary,yes,2819,yes,no,unknown,12,apr,196,4,80,0,unknown,no
23,housemaid,single,primary,no,166,no,no,cellular,25,may,85,2,-1,5,success,no
34,blue-collar,divorced,tertiary,yes,5237,no,no,cellular,31,oct,401,7,793,0,unknown,yes
30,retired,single,primary,no,9604,no,no,unknown,10,jun,1286,3,854,5,failure,no
57,technician,single,tertiary,no,-557,no,no,cellular,22,sep,504,3,252,2,unknown,no
68,housemaid,single,tertiary,yes,3231,yes,no,telephone,12,jan,721,3,66,4,success,no
59,housemaid,divorced,tertiary,no,10677,no,no,cellular,15,jul,315,1,-1,2,unknown,no
58,retired,divorced,unknown,no,7983,yes,no,unknown,21,mar,452,1,65,7,failure,no
51,self-employed,married,tertiary,no,3239,no,yes,unknown,14,feb,758,5,0,0,other,no
30,retired,divorced,unknown,yes,458,yes,no,cellular,2,mar,528,1,90,5,unknown,yes
53,services,single,primary,no,-372,no,no,unknown,28,nov,58,35,152,0,unknown,no
50,unemployed,married,primary,yes,8818,no,no,telephone,28,aug,515,4,11,0,unknown,yes
36,admin.,single,tertiary,no,391,yes,no,unknown,7,aug,171,4,181,3,unknown,no
38,entrepreneur,single,tertiary,yes,3641,yes,no,unknown,24,mar,112,2,87,3,success,yes
57,management,divorced,primary,yes,-110,no,yes,telephone,18,dec,425,3,-1,4,success,no
27,self-employed,single,secondary,yes,2423,yes,no,cellular,15,mar,290,3,391,2,other,no
26,blue-collar,divorced,primary,yes,-5199,no,no,cellular,30,feb,274,6,-1,1,failure,no
29,management,married,secondary,yes,213,no,no,unknown,11,sep,408,4,179,0,unknown,yes
35,admin.,divorced,secondary,no,-6357,no,no,unknown,11,jun,125,1,208,1,unknown,no
80,entrepreneur,married,primary,yes,13816,no,yes,cellular,15,feb,183,1,189,0,unknown,no
42,technician,single,tertiary,yes,1363,no,no,unknown,15,oct,171,2,183,0,unknown,yes
24,technician,single,secondary,yes,-482,no,no,cellular,24,mar,851,3,-1,3,other,yes
87,entrepreneur,single,tertiary,yes,10974,no,yes,unknown,14,jul,248,21,107,5,failure,no
25,unemployed,married,tertiary,yes,307,yes,no,unknown,15,feb,228,1,252,7,success,yes
27,unemployed,single,unknown,no,861,yes,no,unknown,28,oct,831,5,125,1,unknown,yes
27,management,divorced,unknown,yes,-132,yes,no,cellular,3,dec,544,7,-1,1,success,no
54,retired,divorced,secondary,no,7525,no,no,telephone,18,oct,700,2,16,2,failure,yes
41,self-employed,divorced,secondary,no,2857,yes,no,cellular,10,jul,2298,4,88,0,unknown,no
46,student,single,primary,yes,1621,no,no,cellular,30,jan,106,6,428,7,other,no
36,technician,single,tertiary,no,-6847,yes,no,telephone,30,dec,1094,3,1,0,other,no
40,housemaid,married,secondary,no,917,yes,no,cellular,19,feb,241,4,202,5,unknown,yes
32,services,single,tertiary,no,700,no,no,telephone,12,aug,952,3,-1,4,unknown,yes
50,technician,divorced,secondary,no,2352,yes,no,cellular,25,aug,428,5,597,0,success,no
34,unknown,single,secondary,no,163,yes,no,unknown,28,apr,2112,3,-1,3,success,no
52,retired,divorced,unknown,no,-294,yes,no,cellular,13,sep,295,5,79,2,other,yes
62,unknown,married,secondary,yes,-401,no,yes,cellular,8,apr,540,3,-1,2,success,no
