age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
20.0,Male,Mobile,10.27,19.0,14.0,0.0,1.0,1.0,1.0,1.97,92.9,
24.0,Female,Mobile,21.45,10.0,4.0,3.0,0.0,0.0,0.0,20.69,82.33,
42.0,Male,,1.0,19.0,14.0,6.0,,1.0,0.0,41.33,52.24,1.0
24.0,Male,Desktop,5.83,2.0,3.0,5.0,0.0,0.0,,1.18,29.05,0.0
41.0,,,27.78,12.0,8.0,5.0,1.0,0.0,1.0,15.84,65.61,0.0
58.0,Male,Tablet,11.45,11.0,9.0,4.0,0.0,0.0,0.0,6.84,97.89,1.0
,Male,Desktop,17.37,19.0,12.0,0.0,0.0,1.0,0.0,17.29,88.19,0.0
26.0,Female,Desktop,28.15,15.0,14.0,1.0,1.0,,,39.21,97.39,0.0
53.0,Female,Desktop,18.49,1.0,12.0,1.0,0.0,,0.0,35.6,83.37,
24.0,,Mobile,13.11,10.0,12.0,6.0,0.0,1.0,0.0,10.76,5.93,
37.0,,Tablet,18.46,11.0,4.0,3.0,0.0,1.0,0.0,14.89,37.55,1.0
20.0,Female,Tablet,10.7,9.0,4.0,8.0,0.0,1.0,1.0,28.2,52.46,1.0
32.0,Female,Mobile,4.78,19.0,2.0,0.0,0.0,0.0,1.0,19.77,57.86,0.0
55.0,Male,Mobile,9.27,15.0,11.0,3.0,,1.0,1.0,20.72,46.73,1.0
35.0,Male,Mobile,19.18,17.0,11.0,9.0,1.0,0.0,1.0,16.64,48.32,0.0
59.0,Female,,15.62,10.0,14.0,3.0,0.0,,0.0,12.53,78.23,1.0
59.0,,Desktop,12.14,17.0,4.0,2.0,0.0,,,8.71,38.57,1.0
36.0,Female,,18.11,9.0,7.0,8.0,1.0,1.0,,10.5,64.16,1.0
54.0,Female,Mobile,13.44,1.0,4.0,3.0,1.0,0.0,0.0,11.97,15.39,1.0
53.0,Male,Mobile,30.0,4.0,11.0,0.0,0.0,1.0,1.0,32.73,34.05,1.0
42.0,Female,Tablet,13.78,5.0,11.0,0.0,0.0,0.0,0.0,30.84,55.64,0.0
44.0,Female,,11.38,1.0,9.0,5.0,1.0,,0.0,8.55,49.24,0.0
45.0,Female,Mobile,7.51,7.0,1.0,,0.0,1.0,1.0,26.43,74.73,0.0
31.0,,Desktop,23.5,7.0,11.0,0.0,,0.0,0.0,19.38,47.28,1.0
56.0,,,13.27,7.0,13.0,4.0,1.0,1.0,,13.53,67.03,
33.0,Female,Desktop,12.33,19.0,2.0,8.0,1.0,1.0,,3.48,69.07,1.0
40.0,Female,,11.07,9.0,3.0,5.0,1.0,,0.0,18.23,21.22,0.0
51.0,Male,,18.95,19.0,0.0,4.0,0.0,1.0,0.0,12.94,93.54,0.0
48.0,Male,Desktop,16.54,10.0,13.0,2.0,1.0,0.0,1.0,32.54,53.95,1.0
46.0,Male,Mobile,29.13,9.0,4.0,9.0,,1.0,0.0,5.85,66.43,1.0
,Male,Desktop,11.92,9.0,5.0,7.0,0.0,0.0,,0.57,15.08,0.0
36.0,Female,Tablet,30.0,6.0,11.0,8.0,,0.0,,36.25,12.96,1.0
59.0,Female,Desktop,3.15,19.0,4.0,1.0,1.0,,1.0,16.77,44.17,
51.0,Female,Mobile,7.79,16.0,13.0,3.0,1.0,,0.0,9.08,50.25,1.0
42.0,,Tablet,14.85,4.0,5.0,0.0,1.0,0.0,1.0,,32.52,0.0
41.0,Female,Mobile,3.77,1.0,13.0,3.0,,0.0,,9.39,36.96,1.0
42.0,Male,,13.6,9.0,,4.0,0.0,0.0,1.0,1.25,80.18,
41.0,Male,Desktop,26.61,,10.0,5.0,1.0,1.0,1.0,6.07,48.38,0.0
47.0,Female,,27.52,1.0,6.0,9.0,1.0,0.0,1.0,10.07,63.62,
22.0,Male,Mobile,10.75,10.0,4.0,9.0,0.0,1.0,,4.04,65.03,
57.0,Female,Tablet,10.69,16.0,10.0,1.0,0.0,0.0,0.0,19.37,25.02,0.0
20.0,Female,Desktop,26.35,8.0,14.0,0.0,1.0,1.0,1.0,6.27,59.91,1.0
40.0,,Mobile,14.99,1.0,3.0,9.0,0.0,,,14.86,33.76,0.0
34.0,Male,Mobile,5.91,12.0,1.0,3.0,0.0,1.0,,28.1,3.88,1.0
23.0,Male,Mobile,12.65,5.0,13.0,,0.0,0.0,,25.49,51.48,1.0
50.0,Male,Mobile,30.0,19.0,13.0,,,0.0,1.0,15.08,19.67,1.0
31.0,Female,,11.56,10.0,7.0,5.0,1.0,0.0,,23.66,53.29,0.0
42.0,Female,Mobile,17.82,18.0,0.0,1.0,,0.0,1.0,6.84,58.32,
53.0,Male,Tablet,4.84,2.0,11.0,,1.0,0.0,1.0,2.52,1.02,1.0
29.0,Female,Mobile,2.65,11.0,5.0,7.0,1.0,1.0,1.0,28.71,39.78,1.0
41.0,Female,Mobile,29.52,15.0,13.0,4.0,0.0,1.0,0.0,6.55,26.27,0.0
50.0,,Desktop,30.0,14.0,7.0,8.0,1.0,1.0,0.0,9.07,94.67,
49.0,,Tablet,17.29,8.0,12.0,3.0,1.0,0.0,1.0,3.74,96.71,
59.0,Female,Mobile,14.91,18.0,13.0,1.0,0.0,,0.0,26.25,59.89,1.0
42.0,Male,Tablet,28.42,9.0,5.0,0.0,1.0,1.0,1.0,23.05,72.73,
55.0,,Tablet,23.98,5.0,13.0,0.0,0.0,,1.0,10.82,47.56,
50.0,Male,,30.0,11.0,10.0,7.0,0.0,1.0,,27.87,30.8,1.0
58.0,,,17.84,15.0,11.0,4.0,1.0,,1.0,20.18,13.54,
19.0,,Mobile,17.6,10.0,9.0,0.0,0.0,1.0,,8.88,26.52,1.0
39.0,,,24.32,3.0,11.0,8.0,0.0,0.0,,12.78,49.03,1.0
52.0,,Tablet,14.29,19.0,11.0,5.0,0.0,1.0,1.0,19.04,65.36,
54.0,Male,Tablet,10.15,10.0,10.0,8.0,1.0,,1.0,,89.9,0.0
41.0,Male,Mobile,14.01,19.0,11.0,4.0,,1.0,1.0,8.24,66.48,
46.0,Male,Mobile,5.87,9.0,11.0,4.0,,1.0,0.0,18.13,69.19,1.0
48.0,Female,,7.24,12.0,8.0,5.0,1.0,0.0,,1.83,83.09,1.0
27.0,Male,Mobile,7.28,11.0,1.0,4.0,0.0,1.0,1.0,30.48,20.06,
37.0,,Desktop,8.89,3.0,4.0,9.0,,1.0,0.0,35.39,35.13,0.0
40.0,,Desktop,25.49,14.0,1.0,5.0,,1.0,1.0,17.36,76.46,0.0
18.0,,,28.37,10.0,14.0,2.0,0.0,1.0,1.0,11.01,47.62,1.0
42.0,Male,Mobile,19.52,10.0,4.0,3.0,,0.0,1.0,6.8,29.33,0.0
19.0,,Tablet,10.44,19.0,11.0,,1.0,0.0,0.0,7.01,62.46,0.0
26.0,Female,Desktop,7.22,3.0,3.0,1.0,1.0,1.0,0.0,0.93,60.69,1.0
49.0,Male,Tablet,15.59,12.0,6.0,5.0,0.0,0.0,0.0,10.43,30.87,1.0
37.0,Male,,7.76,3.0,6.0,7.0,1.0,,1.0,2.58,74.92,1.0
54.0,,Mobile,7.64,1.0,2.0,6.0,,0.0,1.0,13.7,37.06,
23.0,,Mobile,15.14,7.0,5.0,5.0,1.0,1.0,,7.3,54.99,
38.0,Male,,14.34,16.0,7.0,6.0,0.0,0.0,,14.24,50.29,0.0
38.0,Male,,2.05,16.0,6.0,2.0,0.0,1.0,1.0,12.22,57.12,0.0
19.0,,Mobile,7.0,8.0,13.0,1.0,1.0,0.0,0.0,26.2,48.75,1.0
21.0,Male,Desktop,5.23,7.0,14.0,8.0,1.0,1.0,,4.27,93.15,1.0
25.0,Male,Tablet,22.26,18.0,7.0,,0.0,0.0,,8.07,99.97,1.0
22.0,Female,Desktop,8.33,5.0,11.0,4.0,1.0,,1.0,19.12,63.46,1.0
30.0,Male,Tablet,16.64,18.0,11.0,6.0,1.0,0.0,0.0,19.78,63.28,0.0
53.0,Male,,28.89,13.0,6.0,5.0,1.0,0.0,1.0,23.38,26.97,1.0
39.0,Female,Desktop,23.65,14.0,13.0,8.0,1.0,0.0,0.0,24.02,94.41,1.0
38.0,Male,Mobile,29.89,4.0,12.0,0.0,1.0,0.0,0.0,0.57,52.65,1.0
19.0,Male,,19.02,7.0,13.0,1.0,,1.0,0.0,13.85,15.89,1.0
39.0,Male,Tablet,30.0,13.0,11.0,,1.0,1.0,0.0,41.16,17.15,0.0
36.0,Male,Mobile,15.12,3.0,5.0,6.0,1.0,1.0,1.0,3.92,12.42,1.0
41.0,Male,Mobile,11.32,10.0,6.0,8.0,0.0,1.0,0.0,11.52,67.64,1.0
47.0,Male,Mobile,25.6,17.0,13.0,2.0,,0.0,1.0,28.55,39.33,1.0
40.0,,Mobile,12.92,9.0,14.0,0.0,0.0,0.0,0.0,23.08,95.17,0.0
18.0,,Mobile,17.45,8.0,4.0,,0.0,1.0,,28.9,23.53,0.0
53.0,,,10.66,10.0,7.0,1.0,,1.0,1.0,11.06,0.01,1.0
35.0,Male,,25.0,10.0,10.0,4.0,0.0,,,12.45,65.91,
27.0,Male,Tablet,7.63,17.0,13.0,3.0,0.0,,1.0,30.63,74.25,
48.0,Male,Mobile,23.86,,4.0,9.0,1.0,0.0,,11.0,44.16,1.0
22.0,Female,Mobile,24.72,10.0,10.0,,0.0,0.0,0.0,18.29,35.23,1.0
24.0,Male,Tablet,28.11,13.0,7.0,5.0,0.0,0.0,1.0,40.99,19.14,1.0
24.0,Male,Tablet,21.39,2.0,12.0,5.0,1.0,1.0,,13.34,87.94,1.0
22.0,Female,Mobile,7.97,3.0,11.0,4.0,0.0,0.0,1.0,33.95,86.33,1.0
40.0,Female,Mobile,25.31,1.0,5.0,8.0,,,,21.61,90.28,1.0
36.0,Male,Mobile,7.77,2.0,11.0,3.0,,1.0,,16.15,65.14,0.0
37.0,Male,Mobile,14.02,19.0,14.0,5.0,0.0,0.0,0.0,17.62,59.91,
28.0,Male,Mobile,13.53,17.0,9.0,9.0,0.0,0.0,0.0,16.21,87.78,1.0
39.0,,Tablet,27.36,4.0,14.0,5.0,0.0,,,23.56,77.05,
23.0,Male,Desktop,18.87,4.0,5.0,9.0,1.0,,,8.47,47.65,1.0
42.0,Female,Mobile,14.73,16.0,14.0,2.0,0.0,1.0,0.0,2.58,91.72,
42.0,Female,Tablet,,8.0,9.0,2.0,,0.0,0.0,16.05,32.95,0.0
,Female,Mobile,16.13,2.0,5.0,2.0,1.0,1.0,,33.18,99.52,
42.0,Female,Tablet,7.86,17.0,0.0,7.0,,0.0,0.0,15.83,44.75,0.0
19.0,Male,Mobile,24.62,11.0,14.0,8.0,,0.0,1.0,2.78,16.55,0.0
32.0,Male,Tablet,10.5,3.0,12.0,0.0,0.0,1.0,0.0,23.06,25.24,1.0
31.0,,Tablet,12.93,17.0,6.0,7.0,1.0,1.0,0.0,15.82,69.28,1.0
33.0,Male,Mobile,29.29,4.0,0.0,4.0,1.0,0.0,1.0,27.71,48.47,1.0
48.0,,Mobile,6.32,8.0,1.0,7.0,1.0,0.0,1.0,33.99,97.52,1.0
41.0,Female,Desktop,8.87,12.0,12.0,2.0,0.0,0.0,0.0,13.96,58.89,0.0
37.0,Male,,25.37,2.0,11.0,7.0,0.0,0.0,1.0,12.32,33.7,0.0
27.0,Female,Desktop,17.92,11.0,11.0,2.0,1.0,1.0,0.0,12.23,37.02,1.0
36.0,Male,,4.52,18.0,6.0,5.0,1.0,1.0,1.0,4.04,57.79,0.0
47.0,Male,,30.0,8.0,12.0,0.0,,0.0,0.0,38.75,5.51,1.0
37.0,Female,Tablet,,6.0,1.0,8.0,,0.0,,9.6,32.46,
58.0,,Mobile,6.03,3.0,10.0,2.0,1.0,0.0,1.0,13.67,,0.0
48.0,Male,Desktop,27.51,4.0,9.0,,0.0,,,8.72,58.0,1.0
25.0,Female,Tablet,,1.0,13.0,6.0,1.0,,,5.85,27.11,
55.0,Male,Mobile,3.64,10.0,3.0,6.0,0.0,1.0,1.0,6.4,57.04,1.0
21.0,,Tablet,27.43,7.0,0.0,6.0,0.0,0.0,,2.38,29.36,1.0
47.0,Female,Desktop,12.94,18.0,11.0,4.0,1.0,0.0,,41.86,32.28,
42.0,Female,,9.59,10.0,5.0,4.0,1.0,0.0,0.0,6.79,20.83,1.0
39.0,Male,Desktop,9.7,11.0,1.0,5.0,0.0,0.0,1.0,0.57,8.79,0.0
20.0,,Desktop,18.12,17.0,14.0,1.0,1.0,0.0,1.0,18.93,70.02,1.0
21.0,Female,Desktop,12.5,10.0,12.0,3.0,0.0,1.0,1.0,3.04,48.46,
35.0,Male,Mobile,8.96,1.0,10.0,4.0,1.0,0.0,0.0,25.37,0.01,
18.0,Female,Desktop,11.02,16.0,14.0,3.0,0.0,0.0,1.0,41.5,49.06,
26.0,Male,Desktop,11.52,13.0,2.0,6.0,0.0,0.0,0.0,15.24,55.58,1.0
,,Desktop,22.8,1.0,10.0,5.0,1.0,1.0,,9.1,95.86,1.0
45.0,Male,Desktop,15.64,7.0,14.0,5.0,1.0,0.0,1.0,7.87,30.44,1.0
25.0,Female,Desktop,10.68,8.0,,0.0,1.0,0.0,0.0,5.69,79.22,
56.0,,Mobile,15.23,11.0,11.0,5.0,0.0,1.0,,32.65,55.32,0.0
34.0,Female,Desktop,13.13,5.0,3.0,5.0,0.0,0.0,1.0,37.8,59.05,
45.0,Male,Mobile,,10.0,8.0,0.0,1.0,,1.0,10.75,66.26,1.0
49.0,,Mobile,6.58,18.0,,4.0,0.0,1.0,0.0,14.76,25.91,
22.0,,,23.01,17.0,13.0,5.0,0.0,1.0,1.0,8.58,68.44,1.0
51.0,Female,Desktop,4.22,17.0,5.0,5.0,1.0,0.0,0.0,16.95,97.56,1.0
59.0,Male,Desktop,16.06,4.0,6.0,9.0,,1.0,1.0,23.85,89.59,0.0
58.0,,Desktop,4.57,10.0,6.0,3.0,,0.0,1.0,35.16,44.92,
49.0,Male,Tablet,16.27,3.0,2.0,7.0,0.0,1.0,1.0,20.46,34.55,
37.0,Male,Desktop,24.42,11.0,0.0,7.0,,1.0,,16.67,80.41,
46.0,Male,Tablet,16.14,11.0,4.0,0.0,1.0,1.0,0.0,38.24,44.11,
37.0,,Desktop,23.22,18.0,5.0,6.0,0.0,1.0,1.0,27.78,12.65,0.0
30.0,,,2.11,4.0,13.0,0.0,1.0,1.0,,5.14,51.68,0.0
23.0,Male,Desktop,5.97,3.0,7.0,9.0,0.0,0.0,1.0,15.83,22.55,
56.0,Male,Mobile,12.97,16.0,11.0,7.0,1.0,,0.0,11.21,56.32,0.0
45.0,Female,,28.76,8.0,9.0,6.0,0.0,1.0,1.0,20.02,85.76,1.0
46.0,Male,Tablet,12.79,9.0,11.0,0.0,0.0,1.0,0.0,3.14,88.9,1.0
46.0,,Desktop,,9.0,11.0,5.0,0.0,,0.0,23.9,72.68,0.0
35.0,Female,Tablet,20.77,9.0,14.0,1.0,0.0,,1.0,11.53,21.25,1.0
37.0,Male,Desktop,10.64,12.0,5.0,5.0,1.0,0.0,1.0,14.93,54.6,
45.0,Female,Mobile,27.08,8.0,5.0,4.0,,1.0,1.0,7.32,71.47,1.0
29.0,Male,Mobile,27.68,10.0,12.0,0.0,,1.0,,15.52,23.06,0.0
37.0,Female,Mobile,10.98,10.0,11.0,8.0,1.0,0.0,,7.36,25.45,1.0
26.0,Female,Mobile,30.0,19.0,14.0,1.0,,1.0,1.0,14.52,54.5,
38.0,Male,Mobile,5.9,9.0,14.0,0.0,0.0,,,19.31,76.98,1.0
43.0,,Desktop,16.39,10.0,5.0,6.0,1.0,1.0,1.0,20.48,37.54,1.0
36.0,Female,Mobile,20.78,14.0,5.0,5.0,1.0,,0.0,27.93,39.87,
32.0,Male,Mobile,9.63,15.0,7.0,9.0,1.0,0.0,1.0,28.98,70.65,1.0
21.0,Male,,13.05,2.0,11.0,4.0,1.0,1.0,0.0,4.97,86.3,1.0
46.0,Male,Mobile,17.23,19.0,5.0,0.0,1.0,0.0,,18.37,66.82,1.0
40.0,Male,Desktop,16.76,19.0,7.0,9.0,1.0,0.0,1.0,24.43,30.83,
58.0,Male,,22.71,12.0,0.0,0.0,0.0,0.0,0.0,17.25,86.03,1.0
24.0,Male,,20.33,19.0,14.0,5.0,1.0,1.0,0.0,4.01,69.48,1.0
46.0,Male,,27.48,18.0,1.0,6.0,,1.0,1.0,8.46,35.07,1.0
52.0,Female,Desktop,,19.0,7.0,3.0,1.0,0.0,0.0,22.18,62.71,1.0
57.0,Female,Desktop,11.89,10.0,9.0,3.0,,0.0,0.0,19.33,63.63,1.0
45.0,Female,Tablet,17.63,7.0,14.0,7.0,1.0,,,14.05,68.94,
51.0,Male,Desktop,18.84,1.0,12.0,9.0,0.0,0.0,1.0,7.23,62.81,0.0
51.0,Male,Mobile,22.12,17.0,6.0,9.0,,1.0,1.0,9.19,50.26,0.0
33.0,Female,,18.86,6.0,5.0,6.0,,1.0,0.0,20.25,57.17,1.0
29.0,Female,,11.25,6.0,14.0,8.0,1.0,1.0,0.0,7.97,,1.0
44.0,,Desktop,21.35,8.0,10.0,8.0,1.0,0.0,0.0,18.53,56.87,1.0
31.0,Male,Tablet,12.28,10.0,5.0,3.0,,0.0,0.0,17.09,61.71,1.0
45.0,Male,Mobile,2.23,1.0,8.0,4.0,1.0,0.0,1.0,25.19,24.48,
36.0,Female,,16.05,9.0,12.0,9.0,1.0,1.0,1.0,15.81,39.45,0.0
41.0,Male,Tablet,9.53,12.0,9.0,,,0.0,,,74.76,1.0
58.0,Female,Tablet,26.67,18.0,2.0,0.0,0.0,1.0,0.0,24.7,73.01,1.0
