match_no,date,stage,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
6,"Apr 02, 2026",League stage,"Wankhede Stadium, Mumbai",LSG,RR,2,14.8,Rohit Sharma,Prasidh Krishna,2,1,0,0,0,0,,,
6,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",MI,CSK,1,0.1,Shreyas Iyer,Jacob Duffy,0,0,0,0,0,0,,,
3,"Mar 30, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",CSK,SRH,1,5.5,Cooper Connolly,Romario Shepherd,0,5,0,0,0,0,caught,,
4,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",SRH,LSG,1,0.1,Anshul Kamboj,Kartik Tyagi,4,0,0,0,0,0,,,
1,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,PBKS,2,0.1,Rohit Sharma,Blessing Muzarabani,0,0,0,0,0,0,,,Phil Salt
4,"Mar 30, 2026",League stage,"Wankhede Stadium, Mumbai",CSK,DC,2,12.6,Riyan Parag,Marco Jansen,4,1,0,0,0,0,,,
2,"Apr 01, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",CSK,RR,1,0.1,Rahul Tewatia,Blessing Muzarabani,4,0,0,0,0,0,,,
2,"Apr 01, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",SRH,LSG,2,0.1,Pathum Nissanka,Blessing Muzarabani,0,0,0,0,0,0,,,
1,"Apr 02, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",CSK,RR,2,0.1,Aniket Verma,Jacob Duffy,1,0,0,0,0,0,caught,,Arshdeep Singh
5,"Apr 01, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",GT,GT,2,7.9,Mukul Choudhary,Mohsin Khan,1,0,0,0,0,0,lbw,,
6,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",LSG,RCB,2,0.1,Ajinkya Rahane,Harsh Dubey,0,0,0,0,0,0,,,
2,"Apr 01, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",SRH,KKR,2,1.1,Cameron Green,Mohammed Shami,0,0,1,0,0,0,,,
6,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",RCB,KKR,1,10.1,Nitish Reddy,Jaydev Unadkat,0,0,0,1,0,0,,Tilak Varma,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",DC,SRH,1,5.1,Shubman Gill,Axar Patel,2,0,0,0,0,0,,,
1,"Apr 01, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,RR,1,2.9,Ajinkya Rahane,Eshan Malinga,0,0,1,0,0,0,,,
1,"Apr 01, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",CSK,KKR,1,0.1,Finn Allen,Ashok Sharma,0,0,0,0,0,0,,,
5,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",LSG,RR,1,14.7,Tilak Varma,Abhinandan Singh,0,0,0,0,0,0,,,
4,"Mar 28, 2026",League stage,"Wankhede Stadium, Mumbai",CSK,SRH,2,12.0,Rishabh Pant,Arshdeep Singh,1,0,0,0,0,0,,,
5,"Mar 30, 2026",League stage,"Eden Gardens, Kolkata",GT,MI,1,11.0,Anshul Kamboj,Marco Jansen,0,0,0,0,0,0,,,
4,"Apr 02, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",CSK,CSK,2,12.3,Ryan Rickelton,Lungi Ngidi,0,0,0,0,0,0,caught,,
1,"Apr 01, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,DC,1,1.8,Matt Henry,Lungi Ngidi,1,0,0,0,0,0,,,
2,"Mar 30, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,MI,2,4.2,Ajinkya Rahane,Prasidh Krishna,0,0,0,0,0,0,,,
4,"Apr 01, 2026",League stage,"Eden Gardens, Kolkata",SRH,RCB,2,0.4,Angkrish Raghuvanshi,Natarajan,1,0,0,0,0,0,,,
5,"Mar 31, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",GT,DC,1,0.1,Cameron Green,Vaibhav Arora,1,0,0,0,0,0,,,
5,"Mar 30, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,KKR,1,15.0,Sunil Narine,Anrich Nortje,4,0,0,0,0,0,,Marco Jansen,
6,"Mar 30, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",MI,RR,2,0.1,Anshul Kamboj,Arshdeep Singh,4,0,0,0,0,0,,,
3,"Mar 29, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",CSK,MI,1,0.1,Travis Head,Sandeep Sharma,6,0,1,0,0,0,,,
3,"Mar 29, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",LSG,CSK,2,5.9,Ramandeep Singh,Jasprit Bumrah,0,0,0,0,0,0,,,
2,"Mar 29, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",DC,GT,1,14.4,Finn Allen,Harsh Dubey,1,0,0,0,1,0,,,
5,"Mar 30, 2026",League stage,"Wankhede Stadium, Mumbai",GT,SRH,1,0.1,Yashasvi Jaiswal,Natarajan,0,0,0,0,0,0,,,Ravi Bishnoi
4,"Mar 30, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DC,CSK,2,13.7,Ruturaj Gaikwad,AM Ghazanfar,0,0,0,0,0,0,bowled,,
1,"Mar 31, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",KKR,RCB,2,9.4,Vaibhav Sooryavanshi,Sunil Narine,4,0,0,0,0,0,runout,,Ravi Bishnoi
5,"Mar 30, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,CSK,2,13.0,Virat Kohli,Anukul Roy,0,1,0,0,0,0,lbw,,
2,"Mar 28, 2026",League stage,"Eden Gardens, Kolkata",RCB,RR,2,0.1,Aniket Verma,Eshan Malinga,0,1,0,0,0,0,caught,Nicholas Pooran,Rinku Singh
5,"Apr 01, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",CSK,PBKS,2,3.0,Tristan Stubbs,Varun Chakaravarthy,0,0,0,0,0,0,,,
5,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",LSG,MI,1,8.8,Devdutt Padikkal,Ashok Sharma,0,0,0,0,0,0,,,(sub)Manish Pandey
1,"Apr 02, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",PBKS,MI,1,7.1,Angkrish Raghuvanshi,Kartik Tyagi,0,0,0,0,0,0,,,
6,"Apr 02, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",RCB,MI,1,15.9,Tristan Stubbs,Harshal Patel,4,0,0,0,0,0,,,
5,"Mar 31, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",LSG,KKR,1,0.1,Tristan Stubbs,Trent Boult,1,0,0,0,0,0,,,
6,"Mar 31, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",SRH,SRH,1,1.4,Jitesh Sharma,Blessing Muzarabani,1,0,0,0,0,0,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",RCB,GT,2,9.6,Tristan Stubbs,Vaibhav Arora,1,0,0,0,0,0,,,
4,"Mar 31, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",GT,DC,2,0.1,Suryakumar Yadav,Vijaykumar Vyshak,0,0,0,0,0,0,,,
6,"Mar 30, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",GT,KKR,2,19.5,Virat Kohli,Noor Ahmad,0,0,0,1,0,0,caught,,
4,"Mar 30, 2026",League stage,"Eden Gardens, Kolkata",DC,RR,2,12.7,Mohsin Khan,Vipraj Nigam,0,0,0,0,0,0,caught,,
6,"Apr 01, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KKR,KKR,1,9.0,Devdutt Padikkal,Khaleel Ahmed,1,0,0,0,0,0,,,Ajinkya Rahane
5,"Mar 29, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KKR,MI,2,2.9,Sarfaraz Khan,Anshul Kamboj,0,0,0,0,0,0,,,
4,"Apr 01, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",LSG,RCB,1,2.8,Salil Arora,Arshdeep Singh,0,0,0,0,0,0,,,
3,"Apr 01, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,PBKS,1,0.1,Cooper Connolly,Lungi Ngidi,2,0,0,0,0,0,,,
5,"Apr 02, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",SRH,SRH,2,0.1,Ryan Rickelton,Trent Boult,0,0,0,1,0,0,caught,,
2,"Mar 28, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,LSG,2,2.1,Sameer Rizvi,David Payne,0,0,0,0,0,0,caught,,
5,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",KKR,KKR,1,1.1,Ajinkya Rahane,Nandre Burger,1,0,0,0,0,0,,,
2,"Mar 29, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,MI,1,7.6,Nitish Rana,Eshan Malinga,0,0,0,0,0,0,caught,,
