Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
26,male,2,rent,,rich,1651,30,business,good
47,female,3,rent,rich,moderate,8015,14,radio/TV,good
75,male,3,own,,rich,250,17,car,good
45,male,2,free,quite rich,,2005,19,domestic appliances,good
35,female,3,free,,rich,759,25,furniture/equipment,good
41,male,2,own,moderate,,4022,27,repairs,good
39,male,3,own,moderate,little,8133,41,domestic appliances,bad
41,male,1,rent,little,little,10395,40,vacation/others,bad
66,male,1,rent,,little,2545,67,business,good
21,male,2,own,,moderate,2179,38,furniture/equipment,bad
43,female,2,rent,little,,1009,36,car,good
63,female,3,rent,rich,,7038,24,furniture/equipment,good
42,male,2,free,,moderate,664,15,domestic appliances,good
50,male,2,free,quite rich,,729,18,furniture/equipment,good
54,male,2,free,,,9915,47,domestic appliances,bad
22,male,1,free,quite rich,moderate,1683,55,business,good
29,female,1,free,little,little,16028,38,furniture/equipment,good
52,female,1,own,quite rich,,6424,52,repairs,good
42,male,1,rent,little,rich,3640,61,business,bad
30,male,3,own,rich,,3363,19,furniture/equipment,bad
71,male,1,own,,,1720,25,business,good
32,male,1,own,quite rich,moderate,250,24,furniture/equipment,good
40,male,3,own,quite rich,little,1700,25,domestic appliances,good
54,male,3,rent,little,moderate,12474,34,radio/TV,bad
68,male,3,own,moderate,rich,8156,19,business,good
47,male,3,free,little,rich,4985,25,domestic appliances,bad
24,female,2,own,quite rich,,5889,11,furniture/equipment,good
32,male,0,free,rich,little,5508,49,vacation/others,bad
53,male,1,rent,rich,moderate,1820,50,radio/TV,bad
44,male,3,rent,moderate,moderate,664,37,vacation/others,good
45,male,3,rent,rich,rich,791,38,car,bad
43,male,1,rent,,moderate,791,41,business,bad
34,female,3,free,,little,11763,25,car,bad
38,female,3,own,,moderate,1947,54,furniture/equipment,good
44,female,1,free,moderate,,1460,25,domestic appliances,bad
53,male,2,own,rich,moderate,5616,39,education,good
54,female,1,rent,,moderate,9366,42,business,good
41,male,3,free,,rich,1352,10,business,bad
53,male,1,own,moderate,,8153,31,vacation/others,good
40,female,2,own,moderate,,1767,58,vacation/others,good
75,male,0,own,rich,moderate,250,36,repairs,bad
24,male,2,free,quite rich,rich,3646,18,education,good
22,male,1,free,rich,,258,16,car,good
44,male,1,free,little,rich,2496,12,vacation/others,bad
39,male,1,rent,,rich,1419,63,car,good
48,male,3,rent,quite rich,little,1340,15,car,bad
47,male,2,rent,,,1271,55,business,good
35,female,0,own,moderate,rich,1690,17,education,bad
33,female,3,own,rich,little,4897,14,radio/TV,bad
68,male,0,rent,little,,3027,25,car,good
55,female,2,free,rich,,1868,12,vacation/others,good
29,female,3,free,little,,6518,17,education,good
38,female,0,free,little,little,18424,27,domestic appliances,bad
28,male,3,rent,quite rich,moderate,450,13,furniture/equipment,good
46,male,2,free,little,little,870,22,domestic appliances,good
41,female,1,own,,little,5674,15,radio/TV,good
64,male,0,own,little,rich,2064,10,repairs,bad
47,male,1,own,little,,8381,19,vacation/others,bad
32,male,2,own,,,875,22,radio/TV,bad
30,male,1,own,,moderate,1973,39,repairs,good
38,female,2,rent,quite rich,moderate,1842,15,radio/TV,bad
37,male,2,own,,moderate,3833,32,car,good
62,male,3,rent,moderate,,2116,61,car,bad
35,female,2,own,,little,2837,61,education,bad
40,female,3,rent,quite rich,little,1360,27,education,bad
36,male,3,free,little,rich,2251,24,furniture/equipment,good
46,female,2,free,little,moderate,1392,23,car,bad
43,male,2,free,moderate,,9938,10,furniture/equipment,good
43,female,1,own,little,moderate,5361,7,radio/TV,bad
57,male,1,rent,quite rich,little,1497,23,business,good
28,female,2,free,little,little,3393,35,radio/TV,bad
49,male,2,free,moderate,,1543,39,car,bad
48,male,1,free,quite rich,little,2398,21,furniture/equipment,bad
52,male,1,own,little,little,1478,28,repairs,bad
33,female,2,own,little,little,799,27,education,good
50,male,1,rent,,,17418,63,radio/TV,good
33,female,2,free,,little,4779,37,furniture/equipment,good
35,male,2,own,quite rich,,522,15,furniture/equipment,good
53,female,2,own,quite rich,little,3451,38,business,bad
52,female,2,own,quite rich,little,960,11,furniture/equipment,good
43,female,3,rent,moderate,little,2797,11,radio/TV,good
63,male,1,rent,little,little,4383,24,repairs,bad
30,female,1,rent,,,1828,59,car,good
53,female,3,own,rich,,871,16,vacation/others,bad
40,male,3,own,moderate,little,5317,24,vacation/others,bad
32,male,0,rent,,rich,1966,42,radio/TV,bad
26,female,1,own,little,rich,1584,12,business,good
42,male,2,free,little,little,4185,43,education,bad
68,male,0,own,rich,rich,8285,20,car,bad
39,female,3,own,moderate,,1291,39,repairs,bad
48,male,2,own,little,little,1548,55,furniture/equipment,good
26,female,2,rent,,,1521,27,vacation/others,bad
39,male,3,own,quite rich,,4470,17,furniture/equipment,good
31,male,3,own,,rich,404,69,business,good
35,male,3,free,little,little,7152,42,vacation/others,bad
35,female,3,rent,moderate,rich,3079,32,car,good
32,male,3,free,,rich,3250,19,business,good
47,male,2,free,moderate,,1782,19,education,good
26,male,2,own,little,,1760,54,business,good
38,female,1,rent,rich,,5967,16,radio/TV,bad
29,female,3,own,moderate,little,1337,24,radio/TV,good
39,male,1,free,moderate,,15985,21,education,bad
37,male,1,own,little,,14297,69,business,good
27,male,1,own,quite rich,rich,1872,41,repairs,bad
75,male,1,own,,little,2097,37,domestic appliances,bad
22,female,0,rent,little,moderate,1370,21,education,bad
37,male,3,rent,quite rich,little,304,33,business,good
47,female,2,free,rich,rich,4720,41,business,good
38,female,3,free,quite rich,,8086,23,car,good
23,male,2,rent,quite rich,rich,2531,18,domestic appliances,bad
30,female,2,rent,little,little,2171,18,business,good
21,male,1,free,moderate,,2560,56,domestic appliances,good
34,female,2,free,moderate,rich,6819,23,repairs,good
40,male,1,own,,little,1306,24,vacation/others,bad
49,male,1,own,moderate,rich,6605,19,furniture/equipment,bad
34,male,0,rent,little,little,5176,31,car,good
28,female,3,own,,little,250,23,radio/TV,good
27,female,1,own,,,2379,16,education,bad
35,male,3,own,rich,rich,3085,29,business,bad
41,male,3,rent,moderate,moderate,8614,15,vacation/others,good
62,female,3,own,quite rich,moderate,1010,26,education,good
29,female,1,own,moderate,,2993,42,business,bad
61,female,1,own,moderate,little,3259,18,domestic appliances,good
41,male,2,free,rich,rich,2550,44,education,bad
23,female,3,free,little,moderate,4604,36,repairs,bad
43,male,2,own,,,16190,14,vacation/others,bad
44,male,2,free,,little,5407,59,business,bad
42,female,1,free,moderate,moderate,4311,36,car,bad
44,male,1,own,,little,575,66,furniture/equipment,bad
33,male,1,free,,moderate,847,11,education,bad
48,male,2,free,quite rich,little,579,55,domestic appliances,good
53,female,3,own,little,little,1779,24,radio/TV,bad
37,female,0,rent,,rich,476,21,furniture/equipment,good
40,female,2,rent,little,little,6583,14,education,good
55,female,2,free,little,rich,522,65,repairs,bad
56,female,1,own,quite rich,little,1037,30,furniture/equipment,good
25,male,0,rent,little,rich,1363,14,radio/TV,bad
29,male,1,rent,quite rich,little,250,39,furniture/equipment,good
31,male,2,rent,little,little,677,25,business,good
22,male,3,free,moderate,moderate,1768,24,furniture/equipment,good
41,male,0,own,moderate,little,3208,52,business,good
42,female,3,free,quite rich,rich,3248,21,education,bad
37,female,2,rent,moderate,moderate,1130,18,vacation/others,good
33,male,2,own,quite rich,little,1446,13,education,bad
61,female,2,rent,little,moderate,4825,10,furniture/equipment,good
27,male,3,free,quite rich,,3551,26,radio/TV,good
32,female,1,rent,rich,,3032,31,vacation/others,good
30,male,1,own,moderate,little,1809,25,domestic appliances,bad
28,male,0,own,moderate,little,3703,19,domestic appliances,good
28,male,1,rent,moderate,little,2168,57,education,good
29,male,3,own,little,little,13891,25,vacation/others,good
29,female,2,rent,,little,250,19,domestic appliances,bad
28,female,2,own,rich,moderate,333,72,furniture/equipment,good
38,female,3,own,,rich,372,40,furniture/equipment,bad
50,female,3,own,,rich,14354,11,education,bad
61,female,3,own,moderate,rich,6294,46,business,good
45,female,0,own,moderate,rich,3224,26,furniture/equipment,good
32,female,2,own,rich,little,3607,16,vacation/others,bad
40,female,2,free,little,moderate,5688,34,repairs,good
24,male,1,own,rich,rich,250,54,radio/TV,bad
28,male,2,free,,,250,13,repairs,good
42,male,0,own,,rich,8507,43,domestic appliances,bad
41,female,3,free,quite rich,little,1685,52,education,good
48,female,3,free,little,,2649,26,business,good
29,female,2,own,little,rich,3623,40,radio/TV,good
45,male,2,free,quite rich,little,2639,24,domestic appliances,bad
19,female,1,free,moderate,little,3645,4,repairs,bad
44,female,2,free,moderate,,250,32,vacation/others,good
28,male,2,own,moderate,little,2960,39,vacation/others,good
23,male,2,own,little,little,2111,11,radio/TV,bad
44,male,2,free,little,little,1762,25,business,good
50,female,1,free,moderate,,7094,11,education,good
41,female,1,rent,moderate,,4899,15,furniture/equipment,good
34,female,0,rent,,little,1425,38,business,good
29,male,1,rent,,rich,2146,20,vacation/others,good
42,male,3,rent,moderate,little,5977,24,repairs,good
45,female,1,rent,rich,little,18424,56,radio/TV,good
43,female,3,own,moderate,little,2394,66,business,bad
32,female,2,own,rich,rich,3353,36,business,good
38,male,0,free,rich,moderate,9834,24,furniture/equipment,good
28,male,1,free,quite rich,,2312,9,domestic appliances,bad
34,female,3,free,little,little,7725,35,domestic appliances,good
75,male,0,own,,rich,11163,31,car,good
36,male,1,own,rich,rich,15598,40,domestic appliances,good
47,male,3,rent,,moderate,1237,25,vacation/others,good
48,female,1,own,rich,,920,50,education,bad
52,male,1,free,,moderate,1847,52,repairs,good
19,male,2,own,moderate,little,392,19,vacation/others,bad
37,female,3,free,rich,moderate,3474,58,business,good
48,female,3,rent,moderate,,16602,17,radio/TV,good
28,male,1,own,quite rich,little,2603,33,radio/TV,bad
30,male,2,free,little,little,11420,32,car,good
42,male,2,free,little,rich,2390,38,repairs,good
38,female,0,free,moderate,moderate,12335,27,car,good
34,female,2,own,moderate,little,4894,34,vacation/others,bad
63,male,2,own,moderate,little,3078,20,vacation/others,good
34,male,2,own,quite rich,little,2323,26,furniture/equipment,good
58,male,0,rent,little,moderate,8256,25,repairs,good
47,female,3,free,moderate,moderate,4221,40,business,bad
24,male,2,free,moderate,,2382,7,business,bad
49,male,2,own,little,rich,7311,38,education,bad
60,male,0,own,quite rich,little,1852,53,radio/TV,bad
27,female,2,free,little,,2245,25,education,good
45,female,3,rent,moderate,,5693,16,furniture/equipment,good
22,female,2,free,rich,,2682,66,business,good
25,female,3,free,moderate,little,6705,23,repairs,good
23,male,0,rent,quite rich,,1246,15,business,good
42,male,2,rent,little,little,9345,5,business,bad
60,male,3,own,rich,moderate,1323,25,car,bad
22,female,2,own,little,rich,4811,19,car,bad
37,female,2,free,quite rich,moderate,926,23,domestic appliances,good
36,male,3,free,quite rich,little,250,14,vacation/others,good
25,male,1,own,rich,rich,4093,12,radio/TV,good
34,female,2,free,quite rich,rich,3484,16,car,good
44,male,3,rent,moderate,little,250,7,radio/TV,good
28,female,0,own,moderate,rich,3005,35,education,bad
75,female,0,rent,,moderate,946,20,domestic appliances,bad
51,female,3,own,,,398,23,education,good
40,male,2,own,rich,,7182,25,vacation/others,bad
64,male,0,own,moderate,moderate,4639,20,radio/TV,bad
43,male,1,own,rich,little,6718,39,education,bad
30,male,2,rent,,,5842,20,furniture/equipment,good
71,male,3,free,rich,rich,1352,22,car,good
22,female,0,own,little,rich,2733,9,education,good
43,male,2,rent,moderate,,2948,39,car,bad
40,female,1,free,,little,1504,16,vacation/others,bad
29,male,1,own,little,,2791,48,vacation/others,good
42,female,3,own,quite rich,little,1816,24,vacation/others,bad
48,female,1,free,little,,716,61,radio/TV,good
34,female,2,free,moderate,moderate,1801,22,car,bad
32,male,2,own,,,9792,23,business,bad
28,male,3,rent,moderate,,1160,23,vacation/others,good
32,female,3,free,little,rich,482,16,domestic appliances,good
68,female,1,rent,moderate,,2101,14,car,bad
31,female,0,rent,quite rich,rich,792,12,radio/TV,good
43,female,2,own,,,2572,12,furniture/equipment,good
38,female,1,free,little,,3172,24,car,good
35,male,1,free,little,little,2798,27,business,bad
37,male,1,own,rich,rich,8559,56,furniture/equipment,bad
32,male,1,own,little,,1754,18,furniture/equipment,bad
43,female,1,free,,,2388,49,vacation/others,bad
28,male,3,own,rich,,18033,42,furniture/equipment,good
41,female,2,free,quite rich,rich,7445,32,car,bad
29,female,1,rent,little,rich,2348,40,radio/TV,good
64,female,3,rent,little,rich,9780,30,vacation/others,bad
54,female,2,own,little,little,1280,37,repairs,good
56,female,2,rent,little,little,5132,19,furniture/equipment,good
27,male,3,rent,,,17927,12,business,good
36,female,3,rent,quite rich,moderate,4047,46,vacation/others,good
75,female,1,own,quite rich,little,18424,67,car,bad
37,male,3,own,little,little,7051,23,radio/TV,good
27,female,0,rent,moderate,rich,6678,7,repairs,bad
42,male,2,rent,moderate,little,8647,47,radio/TV,good
27,male,2,rent,little,,3010,21,business,good
40,male,2,own,quite rich,little,2569,26,car,bad
50,male,1,rent,moderate,moderate,1952,14,vacation/others,bad
60,female,3,rent,rich,,4741,39,car,good
65,female,3,own,little,,780,42,business,bad
35,female,1,own,quite rich,little,2685,18,business,good
34,male,1,rent,little,,18255,39,car,good
23,female,2,rent,rich,little,250,24,car,bad
33,male,0,own,quite rich,little,2338,24,repairs,good
35,male,3,own,,little,14413,18,business,good
73,male,2,free,quite rich,little,1490,36,business,good
48,male,1,rent,little,moderate,250,29,car,bad
39,male,3,free,,rich,7077,50,business,good
43,female,2,own,rich,,4209,26,domestic appliances,bad
28,female,2,rent,,little,2601,29,domestic appliances,bad
42,male,2,own,,moderate,2103,26,vacation/others,good
57,male,2,own,quite rich,little,5171,43,vacation/others,good
75,male,2,rent,,rich,1768,15,business,bad
46,female,2,own,rich,,4254,42,business,bad
28,male,3,own,little,,2491,36,repairs,bad
44,female,3,free,little,moderate,10978,19,vacation/others,good
32,male,0,free,quite rich,,1481,4,education,good
44,male,3,free,quite rich,moderate,559,34,domestic appliances,good
43,female,3,free,,little,4237,17,vacation/others,bad
39,male,1,own,moderate,,2717,50,car,good
47,male,0,own,rich,moderate,4333,38,furniture/equipment,good
28,male,3,free,,,1618,10,business,good
58,male,3,own,moderate,rich,1470,17,education,good
45,female,0,rent,moderate,little,1869,9,repairs,bad
40,male,2,own,,moderate,267,45,domestic appliances,bad
53,female,1,rent,little,little,2013,35,furniture/equipment,bad
75,female,2,rent,moderate,,881,7,business,good
30,female,0,rent,,,905,50,repairs,good
28,male,2,free,quite rich,moderate,971,19,education,good
56,male,2,own,rich,moderate,15333,45,car,good
43,male,2,rent,,moderate,4947,31,domestic appliances,bad
32,male,3,free,quite rich,moderate,1172,51,education,bad
55,male,2,free,rich,little,519,25,business,bad
26,female,1,own,moderate,,6293,25,radio/TV,good
32,female,0,rent,,,5806,41,furniture/equipment,bad
46,female,3,free,little,,3503,16,domestic appliances,bad
57,male,2,own,rich,little,250,30,business,bad
42,male,3,own,little,little,5558,49,furniture/equipment,good
58,male,1,free,little,little,3904,43,furniture/equipment,good
61,male,1,free,moderate,moderate,3899,16,domestic appliances,good
36,female,3,own,rich,moderate,4618,46,vacation/others,good
55,male,2,free,moderate,,4438,16,business,bad
44,male,3,rent,,rich,8448,40,radio/TV,good
32,male,3,own,quite rich,moderate,4051,27,domestic appliances,good
30,male,2,own,moderate,little,8482,23,repairs,good
34,female,3,own,quite rich,,954,18,car,good
75,male,1,own,,little,6022,44,business,bad
45,female,2,free,,little,3834,25,education,good
28,male,2,own,rich,little,11689,14,car,good
55,male,1,free,moderate,moderate,7558,54,education,bad
52,male,3,own,little,moderate,318,55,furniture/equipment,good
31,male,0,rent,quite rich,moderate,18172,27,radio/TV,good
28,male,2,free,little,moderate,364,50,business,good
42,male,2,own,little,rich,1132,18,business,bad
71,male,1,rent,,rich,4056,14,vacation/others,bad
40,male,0,own,quite rich,moderate,4642,14,repairs,good
25,female,1,own,moderate,,534,33,repairs,bad
30,male,3,free,little,little,1736,24,business,good
65,male,3,free,little,little,1800,23,domestic appliances,bad
37,male,0,free,rich,little,7647,43,vacation/others,good
39,male,0,own,little,little,8059,20,education,good
49,male,3,free,rich,little,576,24,business,good
30,female,0,free,quite rich,little,3145,56,business,bad
32,female,0,free,moderate,moderate,8519,48,car,good
34,female,0,own,,little,4386,62,repairs,good
42,female,0,own,rich,little,884,12,car,good
48,male,3,own,,moderate,1788,22,education,bad
42,male,3,own,,little,8798,51,vacation/others,good
53,male,0,free,little,,12258,18,car,good
31,male,1,free,,moderate,615,27,business,bad
43,female,1,own,,rich,928,32,domestic appliances,good
39,male,1,free,,little,3327,63,domestic appliances,good
36,female,3,rent,,moderate,2697,24,furniture/equipment,bad
35,male,0,free,quite rich,,654,30,furniture/equipment,bad
39,male,3,free,quite rich,little,1814,21,vacation/others,bad
58,female,3,rent,moderate,,250,11,business,bad
45,male,3,own,quite rich,rich,1682,37,car,good
40,male,2,rent,moderate,moderate,2380,11,business,bad
75,male,2,rent,moderate,rich,3069,30,vacation/others,bad
42,male,2,own,moderate,,5235,19,radio/TV,bad
47,female,3,free,,rich,4733,25,vacation/others,good
32,male,3,own,moderate,little,12910,36,vacation/others,bad
45,male,0,own,moderate,little,3643,52,business,bad
44,female,1,rent,quite rich,little,5087,24,domestic appliances,bad
53,male,2,own,rich,moderate,4390,23,business,good
42,female,0,free,quite rich,little,1296,25,car,good
37,female,3,own,rich,little,1653,25,business,good
23,female,2,own,little,little,250,31,radio/TV,good
34,female,0,own,little,moderate,6785,44,car,bad
30,female,1,own,moderate,,3148,20,domestic appliances,bad
49,male,1,rent,quite rich,rich,2062,13,radio/TV,good
36,female,0,own,,little,2466,50,domestic appliances,good
61,female,0,own,quite rich,little,12190,15,furniture/equipment,good
70,male,3,free,rich,rich,3190,25,domestic appliances,bad
75,female,3,rent,rich,,2340,11,business,bad
32,male,3,rent,moderate,little,5935,19,business,good
38,male,3,free,,little,2805,70,radio/TV,good
45,male,1,rent,moderate,little,1157,25,repairs,good
59,male,1,free,,little,1427,15,domestic appliances,bad
70,male,1,free,little,little,1221,45,car,good
27,male,0,rent,moderate,,250,44,business,bad
37,male,3,own,rich,rich,1774,40,domestic appliances,good
26,male,0,own,,moderate,8161,43,radio/TV,good
64,male,1,free,little,little,1974,24,domestic appliances,bad
41,male,3,free,little,moderate,17286,49,education,good
32,male,0,own,little,little,4354,22,education,good
34,male,1,free,moderate,little,370,63,car,bad
35,male,2,free,rich,moderate,6217,23,vacation/others,good
28,female,3,rent,moderate,,9567,26,car,good
25,female,3,free,rich,rich,865,27,radio/TV,good
26,male,1,own,,little,6310,44,domestic appliances,good
34,male,0,own,rich,moderate,9019,60,furniture/equipment,bad
46,female,1,own,quite rich,moderate,2244,49,business,good
51,male,1,own,rich,rich,2481,23,radio/TV,good
31,female,0,rent,quite rich,moderate,1890,51,furniture/equipment,bad
58,male,2,own,little,little,569,52,vacation/others,good
38,male,3,own,rich,moderate,2926,62,education,bad
48,male,3,rent,quite rich,rich,1683,19,domestic appliances,bad
74,male,0,free,,moderate,1753,47,education,bad
24,female,2,own,little,little,1995,43,radio/TV,good
68,female,2,free,little,,509,10,business,good
75,male,2,rent,moderate,rich,2127,25,radio/TV,good
28,female,1,own,,little,643,4,furniture/equipment,good
39,male,3,rent,rich,little,1710,53,education,bad
60,male,0,free,moderate,little,2755,30,car,bad
46,female,3,own,,,4519,20,domestic appliances,bad
42,male,2,rent,quite rich,little,2315,16,business,good
36,male,2,free,rich,moderate,3517,16,car,good
35,female,3,free,rich,,14447,20,radio/TV,good
25,male,2,own,moderate,,2613,10,furniture/equipment,bad
41,male,1,own,rich,little,16045,37,car,good
45,male,2,free,quite rich,moderate,7304,38,furniture/equipment,good
55,female,1,free,moderate,little,1737,15,vacation/others,good
37,female,3,own,little,,1526,18,repairs,good
27,male,3,own,moderate,little,3745,20,vacation/others,bad
28,male,3,own,rich,,11645,51,furniture/equipment,good
42,male,1,rent,little,moderate,16928,24,vacation/others,good
55,male,1,free,quite rich,little,2516,31,vacation/others,bad
21,male,3,rent,moderate,moderate,1438,26,vacation/others,bad
35,male,0,own,little,,11847,26,radio/TV,bad
29,male,3,own,rich,,3080,23,repairs,good
29,male,3,own,moderate,,2284,56,domestic appliances,good
24,male,2,rent,little,moderate,2872,37,furniture/equipment,bad
53,female,2,rent,rich,,2224,25,radio/TV,bad
43,male,0,own,rich,,10036,26,repairs,bad
44,female,2,free,rich,,4698,47,education,bad
37,male,3,free,rich,moderate,1862,58,domestic appliances,good
75,male,3,free,,,966,17,domestic appliances,bad
29,female,2,rent,quite rich,little,3220,54,radio/TV,bad
32,male,0,free,moderate,moderate,12544,22,business,bad
51,female,3,free,rich,moderate,3894,70,repairs,bad
27,male,2,own,,moderate,1678,36,radio/TV,good
37,male,1,rent,little,little,5248,42,car,bad
35,male,3,free,,,4029,41,radio/TV,bad
37,female,3,rent,little,,2870,32,education,bad
40,male,2,own,quite rich,little,1454,19,furniture/equipment,good
20,female,2,free,moderate,,7600,33,education,good
73,male,1,own,quite rich,moderate,2579,45,car,bad
19,male,2,own,rich,rich,11467,25,domestic appliances,bad
28,male,3,free,rich,rich,18424,37,repairs,bad
32,male,1,own,quite rich,moderate,2133,30,furniture/equipment,bad
34,female,1,free,quite rich,,745,25,business,good
64,male,1,free,little,moderate,9237,21,education,good
30,female,3,own,moderate,little,2790,26,repairs,bad
27,female,1,free,rich,rich,1842,6,repairs,bad
41,male,1,own,quite rich,,1882,12,domestic appliances,good
29,male,0,free,moderate,,2099,13,business,bad
30,male,1,own,,little,18337,70,furniture/equipment,good
74,male,2,free,,,250,49,radio/TV,good
30,male,3,rent,,rich,1125,24,car,bad
48,male,3,own,rich,little,3019,51,car,bad
24,female,2,free,quite rich,,3744,43,radio/TV,bad
26,male,0,free,little,moderate,2948,17,business,good
20,male,1,own,,rich,3423,19,domestic appliances,good
40,male,2,own,little,little,250,26,business,bad
31,female,2,free,little,moderate,250,14,business,good
54,female,3,free,moderate,rich,1853,26,repairs,bad
40,female,2,free,quite rich,,5645,52,domestic appliances,bad
55,male,2,own,quite rich,,12776,56,radio/TV,bad
62,male,0,free,rich,little,4356,33,education,good
45,female,2,own,little,,16091,30,domestic appliances,good
46,male,1,own,,little,855,32,vacation/others,bad
32,male,2,free,little,little,3909,33,furniture/equipment,bad
45,male,0,rent,rich,,4038,57,repairs,bad
75,male,2,own,moderate,,17929,28,domestic appliances,good
36,female,3,rent,moderate,moderate,4372,44,education,good
52,female,3,own,quite rich,rich,18424,18,furniture/equipment,good
51,female,0,rent,,,7909,63,car,good
50,male,2,free,little,little,2294,18,repairs,good
34,male,3,own,little,,8934,26,furniture/equipment,good
45,male,0,own,little,moderate,5455,52,furniture/equipment,bad
72,female,3,own,,,10249,26,car,good
53,female,1,own,little,,5073,18,business,good
26,male,2,free,,rich,5941,21,education,bad
42,female,3,own,,rich,2868,41,business,bad
64,female,2,free,,little,1742,24,vacation/others,bad
38,male,2,own,quite rich,little,2370,33,domestic appliances,good
75,female,0,rent,little,,1197,7,education,good
31,female,3,free,rich,moderate,1240,28,business,bad
75,female,2,own,quite rich,moderate,8119,11,domestic appliances,good
39,female,1,rent,,little,16070,44,business,bad
42,male,3,own,little,little,9024,12,car,bad
35,male,3,rent,quite rich,rich,633,16,domestic appliances,good
41,female,2,rent,quite rich,,577,27,radio/TV,bad
50,female,0,rent,little,little,8267,15,vacation/others,good
