Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
6017517,21,male,3,own,little,little,4156,32,car,bad
5612004,20,male,2,own,moderate,,2549,15,car,good
9806471,22,male,2,rent,little,rich,1074,20,furniture/equipment,good
1183831,25,female,1,rent,little,,643,20,furniture/equipment,bad
9308694,29,male,2,own,little,little,4328,15,radio/TV,bad
2053206,36,female,2,own,little,,2228,21,radio/TV,bad
1677386,19,female,1,own,quite rich,moderate,2916,11,business,good
9034014,19,female,1,rent,moderate,moderate,5164,18,domestic appliances,good
9594655,42,male,3,own,little,moderate,5605,8,education,bad
350145,19,male,3,rent,little,little,7531,44,domestic appliances,good
3668683,26,male,2,rent,little,,18424,22,business,good
16198594,20,female,2,own,,,3152,47,furniture/equipment,good
3003367,24,male,2,own,little,,8276,27,radio/TV,bad
7472954,33,female,2,own,little,,15450,14,radio/TV,good
6197476,29,male,2,free,rich,little,18424,51,car,good
1418771,29,male,2,rent,,little,5098,26,vacation/others,bad
11891749,21,female,2,own,little,moderate,882,44,car,good
6852649,22,female,3,rent,little,,970,27,furniture/equipment,good
13489063,19,male,2,own,little,,5606,9,car,bad
3060086,32,female,2,free,,,5955,10,car,good
1233736,27,male,2,free,little,,2102,16,car,bad
5664236,40,female,3,own,little,moderate,5226,34,furniture/equipment,good
1819920,35,male,0,own,,,3494,58,car,good
2847390,19,male,3,rent,little,,1866,7,business,good
6909516,23,male,3,own,little,moderate,16886,18,radio/TV,good
5815698,19,male,2,own,little,,5254,18,radio/TV,bad
5599162,25,female,2,own,little,little,4448,21,radio/TV,good
7322907,27,female,2,own,quite rich,moderate,5724,18,radio/TV,good
770560,26,male,1,free,little,moderate,3527,53,furniture/equipment,bad
11958587,19,female,2,own,little,little,1492,16,radio/TV,good
13504247,20,male,2,free,little,little,6650,41,car,bad
3496883,21,male,2,own,little,,5994,61,radio/TV,bad
5560322,42,male,2,own,little,,2951,22,car,good
12533839,24,male,2,rent,little,little,2480,14,business,bad
10442748,32,male,2,own,little,moderate,15989,17,furniture/equipment,bad
16157506,21,male,2,own,,little,1517,25,education,bad
139061,20,female,2,own,little,little,5363,21,furniture/equipment,good
9558065,34,male,2,free,little,,16658,4,car,bad
3590008,22,male,2,own,little,little,4834,16,radio/TV,good
7872523,19,male,1,rent,moderate,,2456,21,car,bad
13464665,19,male,1,own,quite rich,,2460,18,car,good
12634001,19,male,2,rent,little,little,1562,16,radio/TV,bad
1757909,23,male,2,free,little,little,2303,15,furniture/equipment,good
122430,21,male,1,own,rich,little,11463,12,car,bad
15490681,27,male,2,own,little,rich,18424,25,furniture/equipment,good
3492179,23,male,2,own,little,little,2164,27,furniture/equipment,good
15389156,28,female,2,rent,moderate,moderate,16646,43,repairs,good
13337255,22,female,2,own,little,,2120,27,furniture/equipment,good
11507872,32,male,2,own,quite rich,little,4935,22,car,good
8505023,28,male,2,own,,moderate,2779,18,radio/TV,good
5897251,25,male,2,rent,,little,5186,17,furniture/equipment,good
7682446,20,male,1,own,little,little,5617,16,business,bad
4054082,20,male,1,rent,little,little,10074,20,radio/TV,bad
1949705,44,male,2,own,little,moderate,9887,21,furniture/equipment,bad
1486563,43,male,1,own,little,moderate,12506,14,furniture/equipment,good
13218399,24,female,1,free,little,moderate,12188,16,radio/TV,good
5455547,22,female,0,rent,little,moderate,5581,19,car,bad
15658705,20,male,3,own,little,,1036,23,car,bad
2805449,19,female,2,own,little,rich,10393,17,radio/TV,bad
14489463,19,male,2,own,little,moderate,6730,19,education,bad
10795701,44,male,2,own,,little,10522,32,car,good
847483,19,male,2,own,little,rich,9039,15,car,good
9356629,32,male,0,own,little,little,3266,20,car,good
12890417,30,female,2,free,little,,3761,18,car,good
8775690,20,male,2,own,,,15384,13,radio/TV,good
2008702,19,male,0,free,moderate,moderate,3151,21,car,bad
15119551,19,female,3,free,little,,7581,9,furniture/equipment,good
7466951,21,male,2,free,little,little,18424,12,radio/TV,good
9112162,19,male,2,free,moderate,,1569,15,radio/TV,good
6634100,24,female,2,own,little,moderate,9171,18,furniture/equipment,bad
15154450,23,male,0,own,little,little,12683,25,furniture/equipment,good
15009430,28,female,2,own,moderate,little,3070,22,car,good
11346295,19,male,2,rent,little,,1715,17,furniture/equipment,bad
6077377,19,male,2,rent,little,,18424,16,furniture/equipment,bad
7609479,24,female,2,own,moderate,little,6213,11,car,good
12078653,29,male,1,own,moderate,,2794,19,furniture/equipment,good
3556919,19,male,1,own,little,,5589,26,business,good
15930192,34,male,2,own,quite rich,,2898,70,radio/TV,good
15139941,29,male,1,own,moderate,little,1065,13,car,good
16511683,28,male,2,rent,moderate,moderate,10213,35,car,good
14688280,20,male,3,free,little,,5902,5,car,good
16645379,22,female,2,own,moderate,little,5200,22,repairs,good
7442685,22,male,2,own,little,,10678,19,radio/TV,good
13168779,21,male,2,own,little,little,1818,13,car,good
9241300,23,male,3,own,little,moderate,16599,13,radio/TV,good
4736995,19,female,2,own,little,little,8510,23,furniture/equipment,bad
4847316,34,female,2,own,little,,8616,44,radio/TV,bad
7557539,19,male,2,rent,,little,809,10,furniture/equipment,good
12654479,35,female,2,own,little,moderate,9720,16,repairs,good
1853740,19,male,1,free,rich,little,6900,22,car,good
10516970,19,male,2,rent,,,1675,20,radio/TV,good
16374641,24,male,2,own,little,rich,3151,21,furniture/equipment,good
15392069,23,female,3,own,,,2424,22,radio/TV,bad
11431453,19,female,0,free,little,moderate,2516,50,business,good
5806138,32,male,1,free,little,little,10951,15,radio/TV,good
5900109,20,male,0,own,rich,little,8950,22,car,good
13474908,38,female,2,own,little,rich,18424,46,business,good
5395584,23,female,2,own,rich,,18424,13,car,bad
1083803,19,female,2,own,moderate,moderate,4141,21,radio/TV,good
15112018,23,male,2,own,moderate,moderate,2358,46,car,good
4046549,31,male,2,own,little,,13933,12,furniture/equipment,good
6039996,37,male,1,rent,little,little,11444,10,radio/TV,good
11572338,29,female,1,own,moderate,moderate,7058,13,car,good
9082398,34,female,2,own,quite rich,,5011,13,business,bad
14517137,19,female,1,rent,little,,11165,25,car,good
7292808,36,male,2,rent,little,little,4403,40,car,good
3937178,25,male,2,own,little,,18424,5,radio/TV,good
9484172,24,female,2,rent,,little,3044,20,car,good
9790579,25,male,1,own,little,moderate,2645,25,radio/TV,bad
4439551,22,male,3,own,little,little,5618,22,vacation/others,bad
3961357,25,male,2,rent,little,little,6187,25,radio/TV,bad
15167849,22,male,2,own,,,11926,19,furniture/equipment,good
3796439,19,male,2,own,little,moderate,11114,18,car,good
3139194,21,male,2,own,moderate,little,5502,12,radio/TV,good
13769871,39,male,3,own,little,moderate,4459,22,furniture/equipment,good
15547031,19,female,2,own,little,,10672,20,radio/TV,bad
9590087,23,male,3,own,little,little,11953,22,vacation/others,bad
9985199,20,male,2,own,little,moderate,3347,20,business,good
11358475,19,female,2,own,little,,8839,37,furniture/equipment,good
8774010,19,female,1,rent,moderate,moderate,1494,13,radio/TV,good
12313611,30,female,3,free,little,moderate,6247,72,furniture/equipment,bad
5432128,22,male,2,rent,,moderate,10378,39,repairs,good
14725083,24,male,3,own,,little,2372,15,car,good
11884773,19,female,1,own,little,moderate,10987,14,business,good
12864625,23,male,1,own,rich,little,7818,67,education,good
3063688,35,male,2,own,quite rich,moderate,6036,27,car,bad
3761935,19,male,0,own,little,moderate,1944,22,car,bad
10684564,21,male,2,rent,little,moderate,2297,26,car,good
502248,19,female,2,own,little,little,5310,18,radio/TV,bad
15518002,38,male,1,own,little,,2771,36,furniture/equipment,bad
7109846,26,male,2,free,little,,3257,57,car,bad
6244259,31,male,2,own,little,rich,2860,19,furniture/equipment,good
9952619,37,male,1,own,little,little,2776,24,radio/TV,bad
3519773,47,female,2,own,little,moderate,691,14,repairs,good
11441737,30,male,3,own,moderate,,3565,19,car,bad
12523983,19,female,1,own,quite rich,moderate,3436,42,radio/TV,good
6622938,19,male,1,own,little,,4225,13,education,good
8100297,22,male,2,own,little,little,2116,13,business,good
642878,22,male,2,own,little,little,5926,25,car,good
10204805,19,female,3,own,little,little,2678,17,education,bad
307331,20,male,1,own,,,14097,17,repairs,good
6446790,26,female,2,own,little,little,2154,11,furniture/equipment,good
13438824,19,male,3,own,moderate,little,16403,17,furniture/equipment,good
2586694,32,male,2,rent,,moderate,1314,27,business,good
4822161,21,female,2,own,little,moderate,12421,12,car,good
7625021,20,female,2,own,moderate,little,2254,11,car,good
5694413,23,male,2,own,quite rich,,5039,16,business,good
11089931,20,female,3,own,,moderate,1155,52,furniture/equipment,bad
15885375,41,male,3,own,little,,10781,53,furniture/equipment,good
117089,25,male,2,own,little,moderate,4066,21,car,good
2510403,38,male,1,own,little,,9776,13,business,good
1818973,34,male,2,own,quite rich,moderate,2136,15,radio/TV,bad
2243639,21,male,2,own,little,moderate,3008,16,furniture/equipment,bad
11196593,21,male,0,rent,little,little,1877,26,car,bad
4019898,40,female,2,rent,little,rich,3511,11,car,bad
12638704,21,male,2,own,moderate,little,3268,10,furniture/equipment,good
3006519,28,male,1,own,little,,12248,16,radio/TV,good
12660021,19,male,3,rent,,,4168,15,car,good
12705530,26,male,2,rent,little,little,3379,27,vacation/others,good
15740148,20,male,1,own,little,little,1851,18,education,good
2357232,19,male,3,own,little,little,3636,47,furniture/equipment,good
12756503,36,female,2,rent,little,,5157,21,business,bad
11814857,56,male,2,own,moderate,moderate,8251,20,car,bad
16312265,26,male,2,own,moderate,,2246,43,car,good
13473747,28,male,2,rent,moderate,,16100,44,furniture/equipment,good
11214696,19,male,2,free,little,,3546,11,business,good
5134399,26,female,1,rent,little,moderate,14714,15,radio/TV,good
1862293,24,female,2,own,little,little,11065,21,vacation/others,good
16773152,23,female,2,own,quite rich,little,14657,6,car,good
2372318,21,male,2,own,little,,14612,22,radio/TV,bad
3204748,19,female,2,own,little,little,9506,17,car,good
11473825,19,female,0,own,little,rich,2146,47,car,good
4122469,19,male,1,own,,moderate,3136,34,education,good
10344294,25,male,1,own,little,,6071,16,radio/TV,good
3464690,27,male,1,rent,little,,9836,22,education,good
4350312,29,male,2,free,,moderate,2584,21,business,bad
12762252,31,male,3,own,little,,2390,31,radio/TV,good
14531432,21,male,2,rent,,,12563,26,furniture/equipment,bad
1399315,22,male,1,rent,rich,,2347,72,education,bad
10186359,19,female,3,rent,little,,3676,11,vacation/others,good
7969650,23,male,2,own,quite rich,little,12428,25,car,good
5179458,38,male,1,own,little,little,3833,14,radio/TV,good
6396653,23,male,2,free,little,moderate,3751,17,radio/TV,good
5999962,38,female,3,own,,little,14727,15,furniture/equipment,bad
1426047,19,male,2,own,little,moderate,1753,17,education,good
1142406,19,male,2,own,,moderate,16996,17,furniture/equipment,good
16159779,19,male,2,free,little,little,10071,22,radio/TV,good
10116766,19,male,2,free,,moderate,10417,21,education,good
15881962,36,female,3,rent,,moderate,790,11,furniture/equipment,bad
5095421,37,female,3,rent,little,moderate,1322,16,radio/TV,good
6016447,19,male,2,rent,,moderate,3350,48,car,good
5844225,36,male,2,free,,moderate,2913,11,car,good
822655,21,male,2,own,rich,little,7331,44,business,good
16681556,30,male,3,own,,,3572,17,car,good
11184878,20,female,2,own,little,moderate,4413,13,furniture/equipment,good
16185419,19,male,2,rent,little,,16685,25,car,good
6364703,22,male,1,free,little,,7982,17,furniture/equipment,good
12753553,28,male,2,free,little,moderate,3224,16,car,bad
4331438,25,male,3,own,little,,3029,39,radio/TV,good
498924,26,female,1,own,little,,5761,46,car,good
11185337,19,male,2,own,little,rich,2607,20,radio/TV,good
15395380,22,male,2,own,little,moderate,12772,11,car,good
12532296,19,male,2,own,,moderate,2658,11,radio/TV,good
12535084,27,male,3,free,little,,18424,17,furniture/equipment,good
4123471,19,female,1,rent,quite rich,little,2294,14,furniture/equipment,bad
7141961,19,male,2,own,little,rich,9175,7,furniture/equipment,good
7417510,32,male,2,own,,moderate,2383,9,repairs,good
12214377,25,female,2,own,little,moderate,14286,17,car,bad
7781138,23,male,3,own,little,moderate,11915,20,car,bad
16636147,20,male,2,own,,,1199,58,radio/TV,good
10344670,21,female,2,own,little,little,1612,21,car,good
5698659,20,male,2,rent,quite rich,moderate,1474,18,furniture/equipment,good
16593050,24,female,2,rent,little,little,5224,9,repairs,bad
10723572,25,male,2,rent,little,,4820,19,car,bad
15104120,20,male,2,free,little,,4271,16,car,bad
10954401,37,male,2,own,,,11451,44,car,good
7775099,23,male,2,rent,,little,14336,27,business,good
14175420,19,female,2,own,little,rich,2372,25,car,good
4663569,25,female,1,own,little,moderate,5981,72,car,bad
16551697,19,male,2,own,little,,1503,7,furniture/equipment,good
10418233,29,male,2,own,little,moderate,2303,19,radio/TV,good
14356072,23,male,2,own,quite rich,little,4187,11,car,good
13071063,26,male,3,own,little,,10409,31,car,good
15223941,23,male,3,own,little,little,2126,15,car,bad
10535853,25,male,3,own,rich,,3036,18,radio/TV,good
4569666,19,female,0,own,moderate,,6309,16,furniture/equipment,good
7468713,22,male,2,own,little,,10027,21,business,good
10857545,20,male,2,own,little,moderate,5535,18,furniture/equipment,bad
4634642,38,male,1,own,moderate,,2721,20,education,bad
16578830,19,male,2,own,,moderate,4681,15,radio/TV,good
1036532,20,male,1,own,little,little,3151,36,furniture/equipment,good
12950285,19,female,2,rent,little,,14930,20,furniture/equipment,good
16348667,24,female,2,own,,moderate,2346,13,furniture/equipment,bad
9420527,25,male,3,own,moderate,,4440,31,radio/TV,good
13068043,24,male,2,own,little,,10309,20,education,good
16646454,23,female,3,own,quite rich,,901,61,car,good
1074902,19,male,1,rent,,,2805,13,education,good
8577066,22,male,0,rent,little,little,1694,16,business,good
10001429,25,male,2,own,little,little,2549,18,business,good
1801318,31,male,2,own,quite rich,rich,2203,12,furniture/equipment,good
1269175,32,male,2,own,,,2571,8,furniture/equipment,good
823597,19,male,3,rent,moderate,moderate,2819,12,radio/TV,good
270267,19,male,2,rent,rich,moderate,3047,12,business,good
2601055,19,male,3,own,quite rich,moderate,2884,10,education,bad
5098906,19,male,2,rent,little,,1481,16,radio/TV,good
7315362,26,female,3,rent,little,,18424,21,vacation/others,bad
9826206,26,male,1,own,,,3345,7,furniture/equipment,bad
1984151,28,male,2,own,little,moderate,2586,19,car,good
13438212,19,female,2,rent,little,moderate,12166,15,furniture/equipment,bad
1731017,20,male,2,own,little,little,4448,13,car,bad
6778261,24,female,1,own,,moderate,5936,19,car,bad
5618243,19,male,1,own,little,little,17184,49,education,bad
4257680,19,male,2,own,,,1434,13,business,good
3184679,19,female,3,rent,little,moderate,3979,23,car,good
262513,24,male,3,own,quite rich,,3097,54,radio/TV,good
8337916,29,male,2,own,little,little,1497,20,car,good
8366744,27,male,2,own,little,moderate,4884,11,furniture/equipment,bad
3052537,19,male,2,own,rich,little,6192,15,radio/TV,good
261167,28,male,1,rent,little,rich,2218,56,radio/TV,good
16133448,24,male,2,own,little,little,3248,72,education,good
4777759,19,male,2,free,,,3008,17,furniture/equipment,good
15488602,19,male,1,own,little,rich,4516,18,furniture/equipment,good
9333480,25,male,2,rent,little,,3152,59,radio/TV,good
497547,19,male,2,free,little,,1507,23,radio/TV,good
10562895,23,female,3,rent,moderate,moderate,9595,21,furniture/equipment,good
13454944,19,male,0,rent,quite rich,moderate,4767,25,radio/TV,good
3800726,22,male,2,own,little,,3181,18,furniture/equipment,good
16289862,26,female,2,own,moderate,little,1764,20,radio/TV,good
14554354,19,male,1,rent,little,moderate,5739,22,vacation/others,bad
8476343,59,male,2,own,moderate,,12641,12,radio/TV,good
11877975,43,male,2,own,quite rich,rich,2317,19,business,good
988388,29,male,2,own,little,moderate,14976,22,radio/TV,bad
16750433,22,female,2,own,quite rich,moderate,6864,13,car,bad
10510874,24,female,3,own,moderate,little,17631,57,furniture/equipment,bad
754532,20,male,2,own,,little,5830,19,car,bad
4124800,21,male,3,own,little,,2301,19,education,good
15564556,22,female,2,own,quite rich,little,3481,19,radio/TV,bad
5890291,24,male,2,own,little,,17241,26,business,bad
14470260,20,male,2,own,little,moderate,18424,14,business,good
927629,29,male,2,own,little,little,18424,21,furniture/equipment,bad
14174836,23,male,2,own,little,little,2085,21,furniture/equipment,bad
9772673,44,male,3,own,little,,1724,11,furniture/equipment,bad
5542747,21,male,1,own,,moderate,6980,14,vacation/others,good
4292013,23,male,2,own,rich,,15680,7,car,good
13811311,24,female,1,own,little,,3024,18,repairs,bad
2748542,31,male,3,free,,moderate,7297,17,vacation/others,good
