HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Base_Stats,normal_weakness,fire_weakness,water_weakness,electric_weakness,grass_weakness,ice_weakness,fighting_weakness,poison_weakness,ground_weakness,flying_weakness,psychic_weakness,bug_weakness,rock_weakness,ghost_weakness,dragon_weakness,dark_weakness,steel_weakness,fairy_weakness,height_inches,height_meters,weight_pounds,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities,Type 1,Type 2,Classification_info,Forms,gen,Is_Legendary,Is_Mythical,Is_Ultra_Beast,number_immune,number_not_effective,number_normal,number_super_effective
49,62,93,55,63,83,445,1.0,1.83,1.03,3.42,0.51,0.5,3.28,2.12,0.48,0.36,0.02,0.96,1.92,1.0,1.0,1.0,0.98,1.86,45,3.2,50.9,16.3,177,19.8,9669,88,Hyper Cutter; Intimidate; Sheer Force,Psychic,Steel,Freezing,Galarian Articuno,4,0,0,0,3,6,13,6
77,73,64,111,70,116,527,0.18,2.08,0.75,0.0,0.49,1.0,0.54,1.01,1.92,0.94,0.0,3.94,4.0,1.0,1.9,1.94,0.25,1.88,143,2.2,117.3,122.2,30,4.33,17076,118,Run Away; Shield Dust,Grass,Electric,Skunk,Mega Sharpedo,6,1,1,0,2,4,6,1
67,97,52,127,63,74,370,0.57,2.14,1.95,0.48,3.2,1.91,3.96,1.98,0.99,0.97,0.0,1.96,2.0,0.5,0.5,0.42,0.98,1.0,457,1.8,21.3,101.7,240,42.47,9608,192,Forewarn; Synchronize; Telepathy,Ice,Normal,Intertwining,Alolan Sandshrew,1,1,1,0,2,5,12,3
52,73,151,71,61,62,628,1.0,4.0,0.98,0.98,2.13,1.99,0.3,1.04,0.99,1.01,0.99,1.02,1.01,1.0,1.0,0.25,0.52,0.25,227,8.0,68.7,302.0,85,2.51,30708,6,Available; Imposter; Limber,Poison,Ice,Long Nose,Mega Steelix,5,1,1,0,3,5,11,4
58,81,36,88,93,95,445,0.99,2.02,0.25,0.0,1.01,4.0,0.08,4.0,0.98,1.01,0.43,0.97,0.99,0.6,0.2,0.45,0.99,2.97,141,2.4,397.8,21.4,220,3.65,5359,83,Chilling Neigh,Steel,Dragon,Raven,Galarian Moltres,3,1,1,1,3,6,6,5
76,56,184,91,230,33,443,0.03,2.07,2.98,2.03,2.2,0.25,0.0,0.54,4.0,0.96,0.99,4.0,1.98,2.1,0.7,0.43,1.88,2.03,1892,0.5,134.0,481.9,8,4.36,16417,586,Download,Dragon,Ice,Mach,Ordinary Form; Resolute Form,4,0,0,0,1,0,12,2
111,108,64,67,113,116,320,0.53,1.94,0.54,1.03,0.57,1.04,1.95,0.23,0.57,0.43,1.82,2.08,1.0,0.6,0.7,1.0,0.38,0.25,1097,1.6,22.6,411.9,72,83.69,5113,38,Available; Early Bird; Rattled; Swarm,Ice,Ground,Item Drop,Own Tempo Rockruff,6,1,0,1,0,4,10,4
85,93,113,99,85,80,595,0.45,1.98,3.52,3.43,0.3,0.51,0.99,1.94,1.98,1.94,0.22,0.25,0.4,0.1,0.5,1.94,1.95,4.0,265,18.1,109.1,31.0,4,,22303,210,Frisk; Swarm; Telepathy,Grass,Dark,Blast,Full Belly Mode; Hangry Mode,6,1,0,0,1,1,9,5
70,85,162,81,90,44,516,0.19,1.94,1.97,2.02,0.6,1.99,1.05,0.0,3.64,0.94,1.88,0.98,1.99,1.0,1.0,0.46,1.01,0.26,249,7.3,37.5,860.7,23,61.3,30720,168,Available; Marvel Scale; Shed Skin,Dark,Psychic,Lava,Mega Ampharos,7,1,0,0,2,5,9,6
95,118,72,72,180,64,587,1.0,0.43,0.57,1.0,0.51,2.01,0.51,2.16,1.02,0.97,0.49,0.49,0.96,1.9,1.0,1.0,2.0,1.0,3718,2.4,105.3,65.0,47,19.59,7225,38,Available; Dusk Form; Dusk Form Abilities; Hidden; Keen Eye; Midnight Form Abilities; No Guard; Sand Rush; Steadfast; Tough Claws; Vital Spirit,Fire,Ground,Eon,Galarian Mr. Mime,9,0,0,1,2,3,16,7
47,134,124,85,76,46,438,0.99,3.43,0.25,0.0,1.01,3.98,0.55,0.05,4.0,2.53,0.13,1.02,1.04,1.0,1.0,1.93,1.0,1.98,315,0.7,69.9,63.2,50,51.54,9772,193,Guts; Hidden; Hustle; Intimidate; Sheer Force,Water,Fire,Fang Snake,Mega Ampharos,4,0,0,0,1,7,9,6
72,111,97,125,76,118,509,0.23,2.06,0.36,1.0,1.05,3.55,0.96,2.17,1.99,1.96,1.93,1.88,1.0,1.0,0.0,2.02,0.51,0.55,156,1.1,43.6,100.4,34,82.55,28380,108,Blaze; Libero,Normal,Fairy,Kitten,Alolan Vulpix,4,0,0,0,2,4,9,3
114,77,102,58,113,103,448,0.5,1.04,3.39,1.96,3.84,1.02,2.01,0.22,3.63,2.0,0.99,4.0,0.98,0.1,0.6,2.07,0.5,1.0,479,1.2,439.4,906.8,14,4.57,26384,434,Hustle,Fighting,Fire,Old Shrimp,Alolan Vulpix,6,1,0,0,2,1,11,1
111,88,76,121,108,70,535,0.03,1.01,1.02,3.51,4.0,3.57,3.64,2.14,0.06,1.97,1.96,0.44,4.0,1.0,0.0,0.48,0.25,0.49,4330,3.7,187.3,110.5,197,85.5,3282,246,Available; Lightning Rod; Swift Swim; Water Veil,Rock,Grass,EleSpider,Hisuian Lilligant,2,1,0,0,0,1,16,2
41,56,70,69,82,78,471,0.0,0.5,1.97,0.0,0.93,0.63,1.01,4.0,0.0,0.53,0.98,3.99,0.46,1.0,1.0,0.62,0.53,0.98,1730,1.9,413.1,14.3,45,2.7,23382,46,Available; Magnet Pull; Sand Force; Sturdy,Fire,Dragon,Eruption,Hisuian Sneasel,2,1,1,1,2,3,9,1
87,116,99,112,130,60,495,1.0,1.97,4.0,0.51,4.0,0.97,0.0,0.51,2.04,4.0,0.5,1.03,1.9,0.6,0.0,0.5,1.96,4.0,3059,11.5,913.3,307.8,201,82.62,2458,48,Alola Form; Alola Form Abilities; Available; Gluttony; Guts; Hidden; Hustle; Run Away; Thick Fat,Ground,Fairy,Rock Peak,Hisuian Zorua,4,0,1,0,3,4,12,2
44,106,133,39,86,35,612,0.09,1.96,0.51,3.42,0.52,1.0,1.99,0.09,0.97,4.0,0.48,2.04,1.03,2.0,0.4,1.0,0.54,0.99,359,3.3,122.3,115.4,255,86.43,4283,8,Sniper; Swarm,Fighting,Ice,Poison Pin,Mega Beedrill,2,0,1,1,2,4,11,3
37,62,109,80,113,41,490,0.5,0.47,1.85,1.98,4.0,2.09,0.5,3.86,1.97,2.03,2.05,0.58,0.41,0.5,1.9,0.48,0.48,3.65,848,0.4,9.7,198.4,179,17.33,5837,46,Cheek Pouch; Friend Guard; Technician,Ground,Ground,Sea Lily,Hisuian Voltorb,1,0,0,1,0,2,10,7
53,89,99,94,94,75,525,0.07,0.99,0.99,0.48,4.0,3.7,0.53,1.02,2.05,0.31,1.01,1.03,0.99,0.5,1.0,1.0,0.51,0.99,195,6.6,254.4,23.0,45,5.64,3331,109,Illuminate; Prankster; Swarm,Dragon,Fairy,Wish,Average Size; Small Size; Large Size; Super Size,9,0,1,1,3,5,13,4
90,87,74,114,75,89,518,0.0,0.27,0.58,0.46,0.47,0.47,1.01,1.03,4.0,4.0,1.0,1.06,1.01,1.0,1.0,0.46,0.52,1.02,433,2.1,68.6,394.4,246,84.75,4147,206,Anger Shell; Regenerator; Shell Armor,Fire,Fairy,Chill,Mega Gardevoir,2,0,1,1,2,5,7,1
39,117,82,57,104,109,339,0.53,1.02,0.97,3.45,1.07,0.54,0.98,1.93,1.97,2.02,0.98,0.54,0.49,1.0,2.0,1.95,1.92,0.83,244,0.5,666.8,73.0,79,16.02,30720,82,Blaze; Gluttony,Ground,Dark,Mouse,Incarnate Forme; Therian Forme,4,1,1,0,1,4,16,4
35,68,57,89,99,87,490,0.57,1.96,3.36,1.02,0.57,0.26,2.05,1.0,1.96,0.47,0.99,0.54,1.92,1.0,0.1,2.0,1.0,0.43,130,12.4,55.2,282.3,206,84.98,3461,106,Slush Rush; Snow Cloak; Swift Swim,Dragon,Flying,Cannon,Incarnate Forme; Therian Forme,4,0,1,1,2,10,7,1
84,73,47,87,77,56,302,0.47,1.02,2.04,0.0,0.99,3.61,0.1,2.79,1.04,0.56,1.0,0.51,3.66,2.0,0.0,0.98,1.01,0.4,455,3.5,460.9,0.1,28,3.68,4667,115,Intimidate; Shed Skin; Unnerve,Electric,Fire,Flycatcher,Mega Houndoom,8,1,0,0,2,6,12,4
114,104,60,105,66,99,468,0.99,0.32,0.56,2.04,0.95,0.45,1.05,1.0,3.97,1.99,0.1,3.77,4.0,0.0,0.4,1.95,0.99,1.01,216,1.5,1155.7,192.6,40,83.69,5242,145,Adaptability; Available; Stakeout; Strong Jaw,Fire,Poison,Stakeout,Alolan Dugtrio,2,1,1,1,3,1,8,2
19,42,88,98,110,43,645,0.54,1.03,0.99,0.49,1.88,3.98,0.45,0.53,3.7,0.39,0.13,0.54,1.94,0.0,0.4,0.48,0.25,1.0,368,1.2,0.3,13.2,64,19.6,22309,190,Mold Breaker; Sand Force; Sand Rush,Psychic,Ground,Bolt Strike,Galarian Weezing,3,0,0,0,1,4,9,1
71,75,69,43,103,104,392,1.0,1.01,0.44,2.07,0.49,0.44,3.43,1.01,4.0,0.99,1.0,0.53,0.5,1.0,0.4,0.37,1.01,3.2,2128,1.0,330.2,16.4,221,2.45,5357,126,Limber; Sand Veil; Static,Ground,Normal,Subjugation,Mega Scizor,1,1,0,0,1,6,5,7
105,90,45,42,115,92,363,0.53,0.56,4.0,0.98,0.45,1.92,0.97,1.02,0.58,1.02,0.07,1.05,1.95,0.6,2.0,0.98,1.0,2.84,694,0.2,194.5,143.3,51,83.08,29554,202,Available; Insomnia; Sniper; Swarm,Fire,Ground,High Temp,Bloodmoon,6,1,0,0,2,6,12,7
34,61,130,121,108,79,326,0.0,0.45,3.65,1.04,0.56,0.46,1.91,0.22,0.98,0.98,0.18,0.33,1.99,0.0,0.0,2.06,0.38,1.0,4851,0.5,3.3,176.8,51,24.06,5586,172,Available; Fluffy; Klutz; Unnerve,Ground,,Mud Fish,Galarian Linoone,1,1,1,0,2,4,13,6
53,105,90,91,97,44,390,1.0,1.03,0.48,0.51,0.46,1.01,0.19,0.29,1.01,1.99,0.48,1.02,0.49,1.0,1.0,0.53,2.05,1.01,717,3.1,34.6,183.1,230,6.11,5042,3,Alola Form; Alola Form Abilities; Available; Battle Armor; Cursed Body; Hidden; Lightning Rod; Rock Head,Rock,Fighting,Eyeball,Altered Forme; Origin Forme,2,1,1,1,1,7,16,3
75,62,62,64,106,35,367,1.0,3.38,0.45,2.07,0.25,0.25,0.17,1.01,1.06,0.97,1.0,0.52,2.07,2.0,0.4,0.25,0.46,0.6,409,1.3,250.2,46.2,253,74.89,3521,419,Adaptability; Poison Point; Poison Touch,Grass,Dragon,Long Leg,Mega Lopunny,9,1,0,1,1,5,13,2
41,123,44,54,188,72,431,1.0,0.54,0.42,1.0,0.99,3.62,0.05,1.0,0.59,1.03,0.99,0.52,0.98,2.0,1.0,1.0,0.25,2.05,348,0.3,378.6,824.2,3,,2323,205,Gluttony; Sticky Hold; Supersweet Syrup,Psychic,Fighting,Light,Hisuian Voltorb,6,1,0,0,1,3,10,7
55,26,84,75,124,109,494,0.46,2.04,0.47,3.3,0.45,4.0,1.01,3.59,1.04,3.56,2.17,1.04,1.95,0.1,1.9,0.5,1.02,0.25,343,7.1,216.1,8.5,24,2.18,30720,130,Water Veil,Fighting,Fire,Turtle,Mega Ampharos,9,1,0,0,1,2,11,6
55,103,61,85,183,83,600,0.99,0.94,1.0,4.0,0.54,0.52,1.97,0.54,0.96,1.01,2.16,2.05,1.0,0.0,0.1,0.48,0.98,0.56,313,1.5,1136.4,52.2,3,47.05,3582,57,Analytic; Download; Trace,Steel,Ghost,Zen Charm,Mega Absol,6,1,0,1,1,6,11,1
37,146,83,92,73,63,522,0.5,4.0,1.99,0.0,0.97,2.08,3.56,1.02,1.0,0.47,0.55,0.46,0.62,0.0,1.0,0.25,1.01,1.01,4212,2.5,198.6,552.5,121,17.91,7535,202,Defiant; Guts; Reckless,Dragon,Normal,Playhouse,Hisuian Typhlosion,8,1,0,1,1,5,6,4
82,124,52,87,86,86,371,0.16,0.55,2.74,0.59,0.55,0.94,1.93,0.35,0.0,1.0,1.99,0.58,0.43,0.0,1.0,1.02,1.95,3.5,1145,2.1,22.4,86.3,234,5.55,2306,3,Intimidate; Steadfast; Technician,Bug,Steel,Tera,Mega Kangaskhan,6,0,0,1,3,6,12,1
62,116,36,58,93,75,625,1.0,0.41,0.58,0.07,0.48,0.96,0.97,0.48,0.17,0.4,0.46,2.01,1.95,1.0,1.0,1.94,1.02,0.25,127,1.1,487.0,13.3,107,55.1,9075,635,Klutz; Limber; Run Away,Dragon,Water,Hoodlum,Mega Swampert,7,1,1,1,1,4,5,7
54,91,68,41,134,88,416,1.0,2.04,1.02,2.06,3.34,0.55,3.68,0.0,0.02,1.03,0.0,4.0,3.89,0.6,2.0,2.05,0.97,1.02,2830,1.2,67.8,95.3,3,53.39,9111,206,Power Spot,Ice,Rock,Long Nose,Hisuian Goodra,9,0,0,1,3,2,7,2
117,103,43,47,69,60,447,0.55,1.04,1.97,4.0,0.54,0.4,0.99,2.07,0.17,3.31,1.02,4.0,0.42,0.5,0.5,0.25,2.09,0.99,377,0.5,30.9,49.0,3,23.01,30720,252,Leaf Guard; Overgrow,Poison,Ghost,Snow Hat,Plant Cloak; Sandy Cloak; Trash Cloak,3,1,0,0,0,3,9,5
71,23,107,117,100,55,331,1.0,1.03,2.03,1.0,4.0,0.44,1.97,1.0,0.58,1.97,0.98,1.04,1.98,0.0,1.0,1.0,0.48,0.25,213,0.4,22.5,27.6,66,80.66,5010,45,Frisk; Pressure,Electric,Rock,Fragrance,Mega Sharpedo,5,0,1,0,0,2,9,4
102,77,69,43,74,57,417,1.0,2.07,0.45,0.98,0.5,0.41,0.06,1.01,4.0,0.99,0.24,4.0,1.03,0.5,1.9,0.41,0.99,0.99,477,0.3,297.0,148.0,3,4.92,5559,272,Insomnia; Stakeout,Normal,Bug,Cactus,Galarian Ponyta,4,0,0,0,1,2,6,7
92,97,33,82,55,101,527,0.11,4.0,0.97,0.0,0.25,0.25,0.97,4.0,1.06,1.01,0.99,0.56,1.95,0.2,0.6,1.95,0.25,0.55,589,0.6,207.6,628.2,3,3.01,30720,117,Available; Flash Fire; Intimidate; Justified,Fighting,Ghost,Mysterious,Male; Female,5,0,0,0,1,5,12,3
86,140,83,49,50,76,538,0.05,1.95,0.98,0.0,0.37,2.02,0.51,0.99,1.05,1.0,0.44,1.05,0.45,0.6,0.6,0.5,0.99,0.25,845,1.4,117.2,52.4,191,81.95,9055,178,Available; Sand Force; Sturdy; Weak Armor,Normal,Fairy,Weed,Galarian Zapdos,7,1,0,1,0,3,11,6
90,96,186,113,54,66,589,0.48,2.05,0.45,2.45,0.43,3.18,1.0,0.98,0.07,0.99,0.52,2.07,2.95,2.0,0.5,1.98,0.48,1.93,2227,1.3,160.2,80.0,187,81.69,5992,19,Available; Drought; Shell Armor; White Smoke,Dragon,Dark,Shellfish,Mega Diancie,7,1,0,1,0,6,13,3
112,77,96,40,111,59,526,0.45,1.95,0.44,0.98,1.03,1.93,0.54,2.1,4.0,0.93,0.56,0.55,0.99,2.0,1.0,1.97,0.48,1.9,449,5.3,75.3,896.0,43,6.79,17119,42,Swift Swim; Water Absorb; Water Veil,Ice,Dark,Grass Snake,Bloodmoon,7,0,1,1,1,2,9,7
67,82,78,119,123,62,519,1.0,0.6,0.49,0.47,0.48,1.0,2.06,1.0,1.01,0.51,0.98,0.44,0.52,1.0,1.0,1.99,0.52,2.04,148,1.6,97.8,68.5,68,4.88,3114,139,Shadow Tag; Telepathy,Water,Flying,Water Bubble,Combat Breed; Blaze Breed; Aqua Breed,8,1,0,0,1,2,7,1
71,77,97,67,116,59,586,0.42,2.02,2.15,0.02,3.85,0.98,0.2,2.1,0.18,0.98,1.0,0.51,1.0,0.5,2.0,0.33,0.27,3.45,113,2.3,201.2,292.5,41,21.0,19451,13,Anger Shell; Regenerator; Shell Armor,Flying,Flying,Proud,Alolan Geodude,7,0,0,0,3,2,6,2
61,83,67,104,107,101,403,1.0,0.25,2.04,0.51,2.08,1.92,1.04,2.07,1.04,1.99,2.03,0.51,1.0,2.0,2.0,1.01,1.0,0.42,717,2.9,201.1,23.3,179,88.14,30720,68,Cute Charm; Klutz; Limber,Fairy,Ice,Windveiled,Hisuian Sneasel,8,0,1,0,0,5,16,7
125,98,61,41,158,80,344,0.0,0.45,1.99,2.05,2.05,0.48,0.96,1.04,1.02,0.99,1.0,2.04,0.32,0.6,0.0,0.57,0.27,1.91,184,2.8,167.8,40.2,59,79.87,17268,83,Available; Oblivious; Pressure; Water Veil,Fairy,Flying,Snapping,Alolan Sandshrew,4,0,0,0,2,3,5,6
81,49,75,30,55,143,340,0.0,0.51,0.99,0.03,0.39,1.98,0.44,0.01,0.62,1.03,0.0,1.01,0.49,0.1,1.8,0.51,0.49,1.87,353,0.2,433.6,63.3,190,22.33,6512,128,Overgrow; Protean,Water,Electric,Lookout,Hisuian Qwilfish,7,1,1,0,3,2,12,1
44,58,100,106,220,81,313,1.0,0.25,1.97,0.51,2.0,1.95,1.04,0.95,0.56,2.05,0.0,4.0,0.48,0.2,2.0,1.0,0.25,0.47,639,0.3,0.2,15.9,4,5.84,4992,45,Adaptability; Both Forms; Dream World; Dream World Ability; Mold Breaker; Reckless; Rock Head,Fire,Ice,Bronze Bell,Galarian Slowpoke,7,0,1,1,3,1,16,2
86,124,120,46,129,101,540,1.0,0.62,3.54,3.73,0.25,0.25,0.6,0.51,0.97,1.02,0.96,0.52,1.9,0.0,0.1,0.46,0.99,0.3,164,26.8,567.7,13.9,20,19.39,6822,232,Chlorophyll; Early Bird; Pickpocket,Grass,Rock,Snowstorm,Partner Pikachu,8,0,1,1,3,3,14,3
64,70,35,124,43,63,679,0.99,2.11,0.54,0.08,0.52,0.51,1.96,0.15,0.73,1.01,0.23,0.3,0.49,1.0,1.0,0.52,0.32,3.54,1116,0.4,84.7,0.1,14,5.62,5288,84,Hunger Switch,Ground,Fighting,Snail,Mega Banette,4,0,1,0,2,5,8,3
40,116,58,82,116,79,475,0.0,2.14,2.1,1.94,4.0,2.08,0.0,1.04,3.98,0.37,1.0,0.58,0.46,0.6,0.0,0.63,0.54,4.0,507,4.0,240.1,566.5,179,3.27,9321,254,Alola Form; Alola Form Abilities; Available; Chlorophyll; Frisk; Harvest; Hidden,Grass,,Viking,Altered Forme; Origin Forme,7,1,0,0,3,4,7,1
54,60,45,54,141,46,516,0.51,1.06,1.84,0.51,0.25,1.95,0.07,1.0,4.0,0.99,0.47,2.09,1.01,2.1,1.0,0.44,1.95,1.02,482,0.4,377.5,107.4,184,,5871,26,Available; Contrary; Leaf Guard,Fire,Fire,Synchronize,Altered Forme; Origin Forme,6,1,0,0,3,3,7,5
51,125,128,67,66,58,414,1.0,0.97,0.48,0.0,0.5,2.02,1.04,0.99,0.99,0.97,0.05,0.36,0.54,0.1,1.9,0.25,0.54,1.88,145,1.4,1987.0,148.6,13,47.4,3280,17,Armor Tail; Cud Chew; Sap Sipper,Poison,Fairy,Soft Tissue,Alolan Dugtrio,2,1,0,0,1,3,12,6
105,71,82,97,52,52,442,1.0,0.55,3.64,0.53,0.25,0.25,0.11,4.0,0.5,0.49,0.27,3.99,0.55,0.1,2.0,2.01,0.25,1.01,217,0.7,5.0,58.1,30,4.61,9583,547,Blaze; Flash Fire,Poison,Normal,Spitfire,Mega Mewtwo X; Mega Mewtwo Y,7,1,0,1,1,1,7,2
97,98,100,32,81,43,693,0.05,1.02,0.47,1.01,4.0,0.96,1.88,1.04,0.06,0.99,0.15,1.04,1.0,1.0,0.0,1.0,0.25,1.75,1018,0.5,71.2,223.5,89,3.8,12037,10,Overcoat; Slow Start,Electric,Dark,Item Drop,Hisuian Arcanine,3,0,0,1,0,6,7,7
58,66,104,98,122,58,617,0.0,4.0,1.01,1.0,4.0,2.01,1.03,0.07,4.0,1.02,0.08,1.91,0.99,1.0,0.1,0.98,0.46,1.03,282,1.4,556.5,32.4,3,2.47,4924,239,Keen Eye; Limber; Own Tempo,Ice,Grass,Temporal,Chest Form; Roaming Form,1,0,1,0,2,5,9,3
84,121,113,62,109,40,586,0.0,4.0,1.02,1.84,0.99,1.98,3.76,4.0,2.04,1.0,0.02,4.0,0.96,2.0,0.4,0.5,1.91,2.84,393,5.5,1085.3,118.2,14,18.73,5495,136,Aura Break; Other Ability; Power Construct,Ground,Dark,Big Blade,Hoopa Confined; Hoopa Unbound,9,0,0,0,0,0,12,3
50,79,113,53,108,28,579,0.45,1.03,2.07,0.02,0.5,0.92,2.72,1.01,4.0,2.42,1.01,0.48,0.48,0.5,2.0,0.99,0.5,0.93,479,2.5,54.2,246.1,232,4.85,27722,196,Cloud Nine; Natural Cure,Bug,,Ore,Mega Steelix,6,1,1,0,1,8,14,2
70,124,59,71,101,57,654,1.0,2.04,0.49,0.41,0.56,0.5,0.1,0.49,0.08,1.96,2.14,2.02,0.52,1.0,0.0,1.0,1.98,0.99,436,0.4,22.5,16.6,56,,4100,212,Available; Gooey; Hydration; Sap Sipper,Normal,Fighting,Torch,Alolan Persian,7,0,0,0,1,5,6,2
89,72,115,36,54,52,257,0.25,0.55,0.54,2.09,4.0,0.99,0.32,0.15,1.98,0.99,0.47,1.06,0.94,0.5,1.8,0.51,2.01,3.2,478,17.8,185.8,0.8,101,20.1,28563,219,Available; Ice Body; Inner Focus; Moody,Dragon,Steel,Gear,Average Size; Small Size; Large Size; Super Size,9,1,1,1,3,3,12,1
54,71,62,60,96,90,430,0.0,3.37,1.03,1.03,1.01,2.06,0.39,0.16,2.0,1.01,1.03,0.46,0.39,2.0,2.0,0.25,0.52,0.55,1166,4.1,19.1,133.6,3,85.64,5154,132,Intimidate; Run Away; Stakeout,Ghost,Fire,Dolphin,Hisuian Zorua,7,1,1,0,1,6,8,3
140,64,68,79,101,50,710,0.1,0.6,0.53,1.9,2.03,0.45,0.16,0.27,0.96,0.97,1.01,1.98,0.94,0.1,0.0,1.02,0.5,0.27,1612,2.7,214.4,81.0,40,4.83,9345,3,Available; Sand Force; Sticky Hold; Storm Drain,Dragon,Grass,Bounce,Hisuian Decidueye,5,0,1,1,1,3,14,1
116,68,118,46,44,78,508,0.5,1.93,1.03,0.46,1.0,1.93,1.98,0.53,0.15,1.03,0.5,3.48,1.92,2.1,2.0,2.0,0.25,0.45,1190,2.4,106.2,53.2,45,58.25,5199,113,Available; Illuminate; Volt Absorb; Water Absorb,Ghost,Dark,Rascal,Mega Garchomp,6,0,0,1,2,5,14,5
46,114,76,84,96,62,629,0.0,0.56,0.25,0.55,0.51,0.38,1.03,1.0,1.9,2.04,1.0,2.09,3.38,0.6,2.0,1.9,0.44,0.53,955,8.8,33.6,328.6,9,84.14,5270,8,Full Metal Body,Electric,Fairy,Stag Beetle,Paldean Wooper,3,0,1,1,2,4,12,6
51,93,64,55,62,64,512,0.0,0.54,4.0,0.06,0.28,0.48,1.01,1.92,1.07,4.0,0.49,0.53,1.01,0.6,1.0,0.54,0.51,0.49,60,0.3,476.2,68.8,47,,29457,430,Available; Ice Body; Snow Cloak; Weak Armor,Rock,Dragon,Thorn,Ordinary Form; Resolute Form,9,1,0,1,1,4,16,5
