age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
32,Other,5.97,5.47,2.41,0.85,7.1,20,164,11.24,High,No,Mild,1
35,Female,7.37,0.5,2.72,6.0,5.01,202,177,14.88,Medium,Yes,Mild,1
34,Male,4.17,4.27,1.03,2.93,4.77,180,172,12.75,High,No,Moderate,1
24,Female,6.87,1.98,1.59,4.05,6.67,20,111,9.81,Low,Yes,Mild,1
32,Female,5.3,2.21,0.69,4.59,6.13,192,172,5.53,Low,No,Mild,0
24,Male,7.6,1.76,2.18,6.0,6.34,27,155,11.97,Medium,Yes,Moderate,1
21,Male,5.29,2.76,2.26,4.36,4.91,54,78,3.58,Low,Yes,,0
23,Other,11.19,4.35,0.0,2.78,4.55,94,69,14.06,High,No,Moderate,1
22,Other,12.0,1.87,1.08,6.0,5.06,84,66,3.58,High,No,Moderate,1
26,Male,9.22,3.44,3.1,4.23,5.34,27,162,12.5,High,No,Moderate,0
23,Male,12.0,5.13,1.66,6.0,8.22,42,173,4.86,High,Yes,Severe,1
27,Other,11.92,2.56,0.0,5.4,8.28,32,99,10.53,Low,No,Moderate,0
23,Other,10.16,3.22,2.18,2.32,4.5,212,153,12.04,Low,Yes,Severe,0
26,Female,7.02,2.11,1.29,1.62,5.04,62,180,9.62,Medium,No,Severe,1
23,Other,4.57,2.61,1.15,6.0,4.5,186,153,9.24,High,Yes,,1
19,Other,10.93,5.52,1.33,3.75,6.82,141,137,7.79,Low,Yes,Moderate,1
19,Female,5.96,5.76,1.6,4.74,7.75,20,180,10.97,High,No,Moderate,0
22,Other,9.04,4.56,2.05,5.67,4.64,141,143,6.14,Medium,No,Mild,1
18,Female,6.46,3.27,2.49,4.57,7.91,48,180,8.83,Low,No,Moderate,1
26,Male,10.24,4.68,0.77,6.0,8.16,62,61,6.42,High,Yes,Severe,0
34,Male,10.53,6.0,1.63,6.0,6.98,20,180,11.12,Medium,No,,0
22,Other,11.09,3.72,1.59,5.93,8.53,95,180,4.27,Low,Yes,,0
20,Male,5.91,5.24,3.77,4.9,4.5,25,174,11.59,Low,No,,0
23,Other,8.95,1.68,0.04,4.41,5.11,111,174,4.0,Medium,No,,0
28,Female,6.99,5.81,1.84,6.0,4.62,31,180,11.81,Medium,No,Severe,1
18,Other,12.0,6.0,0.61,4.46,8.9,48,180,6.0,Medium,Yes,Moderate,1
28,Other,7.65,6.0,1.61,5.79,4.6,142,142,9.08,Low,No,Moderate,0
24,Other,4.93,5.42,0.33,4.41,4.5,34,180,3.78,High,No,Mild,1
18,Female,3.17,1.69,1.64,0.5,5.5,21,126,3.9,Medium,No,Moderate,1
25,Other,12.0,6.0,4.0,5.56,8.19,20,180,6.4,Low,No,Moderate,1
24,Male,6.83,5.09,1.38,6.0,4.72,108,18,12.11,Low,Yes,Moderate,0
25,Other,3.38,5.53,1.32,5.0,4.55,204,129,7.63,Low,No,Mild,1
19,Female,9.62,0.93,3.26,5.6,4.88,20,180,11.28,Medium,No,Moderate,1
19,Female,6.0,5.25,2.35,3.53,6.94,117,82,11.52,Low,Yes,Moderate,1
18,Other,11.39,2.96,0.0,5.65,7.51,56,180,12.4,High,No,Mild,0
28,Other,8.83,0.8,2.33,6.0,6.35,70,27,9.51,Medium,No,Moderate,1
24,Other,5.5,3.0,1.8,6.0,7.67,144,165,8.54,High,No,,1
31,Other,7.9,6.0,3.87,5.98,4.72,101,53,4.97,High,No,,0
21,Other,6.2,4.0,1.44,3.98,8.59,214,27,5.01,High,No,Severe,1
20,Male,5.8,6.0,2.33,2.82,5.07,142,179,6.03,High,No,Severe,0
18,Other,7.57,5.32,1.85,6.0,7.97,36,114,10.5,High,No,Mild,1
20,Female,8.74,2.81,0.09,2.2,5.88,103,180,5.26,Low,No,Moderate,1
24,Female,12.0,5.17,3.84,4.24,4.76,139,180,10.76,High,No,Moderate,1
20,Other,10.19,2.23,0.0,2.19,6.83,134,149,7.08,High,Yes,Moderate,0
32,Female,9.04,2.19,0.0,1.15,6.85,55,180,3.58,Low,Yes,Mild,1
25,Female,11.41,5.86,3.0,4.84,8.23,246,115,3.58,Medium,Yes,Severe,0
21,Male,7.58,1.32,1.07,6.0,8.64,107,159,6.24,High,No,Mild,1
20,Other,9.36,6.0,0.62,5.3,7.04,250,30,9.95,High,Yes,Severe,0
24,Other,10.39,4.75,1.4,2.41,7.0,117,56,6.96,Low,No,Severe,0
21,Female,3.63,5.81,3.28,2.21,8.31,66,180,7.53,Low,Yes,Severe,1
18,Other,11.38,3.37,1.6,1.5,8.38,20,127,5.57,Low,No,,0
25,Female,10.56,6.0,2.37,6.0,8.07,126,117,12.48,Medium,No,Mild,1
19,Other,9.05,3.46,2.45,6.0,6.55,20,179,3.58,Low,Yes,,1
21,Female,11.03,6.0,1.69,6.0,7.28,214,179,12.16,Medium,No,Severe,1
26,Other,10.14,3.61,0.0,1.93,8.66,201,42,4.82,Low,No,Severe,1
22,Male,3.39,2.85,2.31,1.93,8.44,49,180,5.62,Medium,No,Moderate,1
22,Female,6.63,6.0,1.24,4.61,4.62,120,116,10.29,Low,No,Mild,1
21,Other,10.54,2.92,0.0,1.07,5.88,92,99,3.82,Low,Yes,,1
19,Other,3.0,5.27,3.84,3.54,6.88,137,180,5.85,Low,Yes,Severe,0
24,Other,8.51,3.87,2.63,6.0,5.29,88,167,14.88,High,Yes,Severe,1
21,Other,7.36,3.98,0.67,6.0,7.12,53,167,5.39,High,No,Moderate,1
18,Male,3.43,1.95,2.81,2.16,4.81,44,180,13.21,High,Yes,Severe,1
26,Female,10.53,2.7,0.12,2.87,8.36,87,169,7.2,High,No,Moderate,1
25,Other,3.48,4.84,1.94,5.39,8.55,120,89,9.07,Medium,No,Moderate,0
35,Other,9.74,2.93,1.26,6.0,4.62,112,172,6.66,Medium,No,Moderate,0
32,Male,11.06,3.96,2.2,3.56,9.0,57,159,10.6,Low,No,Severe,0
25,Male,5.44,4.54,0.31,1.07,4.94,94,128,4.73,Medium,No,Mild,1
28,Other,3.52,5.78,0.51,5.88,7.92,143,180,11.55,Low,Yes,Severe,1
19,Female,6.94,1.48,1.52,3.98,4.5,132,180,3.86,Low,No,Severe,1
21,Female,11.89,2.47,1.3,4.51,6.69,43,169,9.27,High,Yes,Mild,1
18,Male,9.23,5.0,2.21,4.72,4.5,108,110,8.02,Medium,No,,1
29,Male,6.48,2.92,2.85,5.15,6.89,70,157,12.29,High,Yes,Moderate,0
35,Female,11.99,0.73,0.0,6.0,4.65,172,111,11.99,Low,Yes,Mild,1
18,Other,8.25,5.77,1.57,4.51,4.5,122,155,9.95,Low,No,Mild,0
19,Female,8.92,3.73,2.5,5.37,8.2,173,34,7.78,Medium,No,Moderate,1
22,Other,9.3,3.33,1.05,4.0,7.77,158,168,10.41,Medium,No,Moderate,1
19,Male,3.0,2.2,0.39,1.15,6.61,67,65,3.58,Medium,No,Moderate,1
27,Female,10.59,6.0,0.83,4.15,8.73,125,180,4.97,Low,No,Mild,0
32,Male,4.9,4.27,1.41,3.99,5.49,44,180,4.47,Medium,Yes,Severe,0
18,Other,3.43,3.05,1.35,5.63,6.89,250,177,4.23,Medium,Yes,Moderate,1
31,Other,3.0,3.05,0.0,5.4,6.49,142,180,3.58,Medium,No,Moderate,1
21,Other,10.73,5.65,2.01,4.74,4.53,87,152,7.29,Medium,No,Mild,1
27,Male,9.62,2.42,2.53,4.57,7.96,20,165,3.58,Low,No,Moderate,0
18,Other,11.18,2.77,3.48,4.91,4.55,20,180,10.95,Low,No,Severe,0
33,Female,3.0,4.93,0.0,5.79,6.57,170,41,4.47,Low,Yes,Severe,1
19,Other,7.29,2.89,1.98,3.52,7.22,183,180,5.99,Medium,No,Moderate,1
34,Other,10.64,6.0,1.46,6.0,6.76,90,180,8.59,Medium,Yes,Moderate,1
20,Male,4.73,2.93,1.78,1.96,5.88,60,108,6.69,Low,No,Severe,1
18,Other,6.28,5.99,3.49,4.59,6.1,93,151,8.48,Medium,Yes,Severe,0
20,Other,6.1,5.69,2.96,3.68,7.7,171,180,5.84,High,No,Severe,1
29,Other,7.61,1.92,1.21,4.44,6.48,36,175,11.75,High,No,,1
28,Male,12.0,4.31,2.69,5.8,8.56,104,126,7.17,Low,No,Severe,1
21,Female,3.0,0.53,2.22,5.33,5.04,92,165,6.0,High,Yes,Severe,1
21,Other,9.36,2.6,0.0,5.74,6.23,200,153,10.94,Low,Yes,Severe,0
28,Other,10.82,3.83,3.4,5.3,4.57,96,151,5.33,High,No,Moderate,1
24,Male,10.43,2.83,2.11,3.97,8.78,20,118,12.97,Low,Yes,Mild,1
18,Female,12.0,2.78,2.35,6.0,4.52,133,58,11.12,Medium,Yes,Severe,1
31,Female,4.72,6.0,2.14,6.0,6.94,87,163,10.72,Medium,No,Mild,1
20,Male,6.47,2.6,3.17,6.0,8.28,64,41,12.48,High,Yes,Mild,1
30,Female,7.95,6.0,2.77,5.06,8.34,120,180,5.57,Low,No,Severe,1
26,Male,8.73,1.42,0.0,2.97,5.74,190,160,10.14,Low,Yes,Severe,1
21,Female,8.08,3.78,0.12,4.75,7.62,157,126,10.9,Medium,No,Severe,0
21,Other,11.07,4.73,0.07,6.0,8.13,60,127,10.07,High,No,Moderate,1
26,Male,5.88,4.57,0.41,3.13,7.82,88,166,10.73,Medium,Yes,,1
27,Other,10.5,1.55,2.06,1.69,4.62,190,100,6.23,Medium,No,Moderate,1
30,Female,10.4,6.0,0.88,6.0,5.0,164,144,6.72,Medium,No,Moderate,1
21,Other,3.64,4.87,1.26,5.66,4.5,95,156,12.23,High,No,Mild,0
24,Female,6.91,3.59,2.78,1.33,6.69,100,86,6.02,High,No,Mild,0
19,Male,5.59,3.55,2.65,4.98,8.13,100,153,7.0,High,No,Mild,0
28,Other,7.55,1.86,0.32,1.34,5.85,178,137,11.72,Medium,Yes,Severe,1
30,Male,3.15,2.96,1.35,4.48,4.64,97,82,8.12,High,Yes,Severe,0
27,Other,11.12,2.19,2.07,5.85,4.84,108,141,7.73,Low,No,,1
18,Male,3.92,2.4,1.53,5.57,7.87,96,84,10.27,Medium,No,Moderate,1
18,Female,5.65,3.03,2.49,1.51,6.85,127,169,6.78,Low,No,Severe,1
29,Female,7.34,3.31,1.74,2.07,4.56,20,180,10.35,Low,No,Moderate,1
22,Female,9.62,5.58,1.7,6.0,4.5,191,113,10.0,High,Yes,Mild,1
18,Female,10.46,2.1,1.96,5.91,4.5,45,51,8.64,High,No,Moderate,1
20,Female,9.72,3.22,0.45,4.91,7.93,150,180,8.3,Medium,Yes,Moderate,1
18,Other,12.0,0.5,1.3,1.23,5.42,184,113,7.1,High,Yes,Severe,1
18,Other,10.05,3.92,1.01,1.89,8.05,97,83,5.19,High,No,Moderate,1
23,Other,11.89,3.16,1.9,5.15,6.29,39,163,9.53,Medium,No,Moderate,1
27,Female,7.62,4.41,1.08,4.35,6.03,94,108,8.39,Low,Yes,Severe,0
27,Female,8.97,3.44,2.59,5.89,7.97,20,66,7.97,Medium,No,Severe,0
25,Female,3.69,3.09,1.22,5.41,7.09,106,165,9.64,High,No,Moderate,1
33,Male,5.38,3.13,2.52,3.78,7.23,73,166,4.63,Medium,Yes,Severe,0
22,Other,7.24,3.0,1.59,5.87,5.65,20,45,5.35,Low,Yes,,1
18,Male,7.85,4.62,2.07,2.72,5.17,130,68,6.85,Medium,Yes,Moderate,1
18,Other,4.17,1.74,0.68,4.73,7.81,189,180,9.7,Medium,Yes,Moderate,1
28,Female,5.17,4.94,2.38,2.59,7.86,207,131,11.42,Low,No,Moderate,0
18,Female,11.18,3.54,2.4,5.52,8.1,95,100,7.93,Low,Yes,Severe,1
35,Other,9.02,0.51,0.49,1.13,8.23,92,180,4.13,Low,No,Moderate,1
19,Other,6.04,6.0,2.37,6.0,4.52,104,175,12.62,Medium,No,,1
18,Female,11.06,2.7,0.43,5.42,6.01,206,180,9.82,Low,No,Mild,0
18,Male,8.18,1.43,2.68,2.45,7.42,180,172,8.7,Medium,No,Moderate,1
21,Female,10.92,2.9,0.33,5.41,6.44,124,170,4.01,Low,No,Moderate,1
20,Female,10.79,1.65,1.1,1.97,5.72,58,176,3.58,High,Yes,Mild,1
27,Other,9.08,4.41,1.57,3.4,4.58,93,165,3.58,High,Yes,Moderate,0
22,Other,10.75,1.45,1.67,5.83,4.5,244,137,12.78,Medium,Yes,Moderate,0
19,Male,8.22,2.04,2.25,1.9,4.61,143,125,9.79,Medium,Yes,,0
29,Other,6.33,2.78,1.72,4.5,7.41,20,114,5.86,Medium,No,Moderate,1
22,Male,8.22,1.14,3.09,4.65,6.71,70,58,7.26,Medium,No,Moderate,1
18,Male,6.41,4.46,0.02,0.5,4.84,80,141,4.05,Low,Yes,Severe,0
25,Male,6.15,3.03,0.0,6.0,4.94,110,157,6.71,Medium,Yes,Moderate,1
21,Male,3.0,6.0,2.17,6.0,5.51,107,155,11.32,Low,No,Mild,0
31,Other,5.57,6.0,0.0,4.69,6.4,72,102,9.32,Medium,Yes,Moderate,0
22,Male,11.17,6.0,0.3,4.92,5.41,20,157,11.11,Medium,No,,1
23,Other,5.14,4.71,1.57,5.64,4.5,33,97,12.91,Medium,No,Moderate,1
28,Female,7.73,5.74,1.38,5.46,8.07,133,138,4.28,Low,No,,0
18,Other,7.2,5.01,3.8,4.25,4.5,170,162,7.07,High,Yes,Moderate,1
26,Other,7.77,3.16,2.28,3.99,4.63,209,178,5.4,Medium,No,Moderate,1
21,Female,7.05,1.2,2.47,4.59,5.86,86,152,5.96,High,No,Moderate,1
34,Other,8.32,2.59,0.0,5.06,4.5,104,160,10.39,Low,Yes,,1
24,Female,9.3,0.82,0.0,2.74,4.5,20,170,8.67,High,No,Mild,1
20,Other,5.48,3.5,0.97,4.93,5.05,193,144,14.88,Low,Yes,Mild,1
21,Female,6.36,1.6,1.23,6.0,5.73,94,149,8.01,Medium,Yes,Moderate,1
30,Other,5.04,4.92,2.21,4.17,4.93,250,180,7.12,Low,Yes,Severe,1
24,Female,10.5,1.57,1.06,6.0,6.66,58,72,7.5,Low,No,Moderate,1
29,Female,6.87,5.03,0.38,4.7,5.54,108,51,11.22,High,No,Moderate,1
33,Female,4.54,4.43,0.95,1.82,5.66,212,49,3.59,High,Yes,Mild,0
22,Female,4.34,2.41,0.0,1.07,7.54,108,17,8.5,Low,No,Moderate,1
33,Other,6.42,5.34,0.69,5.8,8.07,37,180,8.34,High,Yes,Severe,1
18,Other,9.68,6.0,2.52,3.75,8.66,67,134,3.79,Medium,No,Moderate,0
18,Other,5.09,4.98,0.0,0.76,5.6,20,165,3.58,Low,Yes,Moderate,1
19,Other,8.76,4.33,0.32,2.29,4.94,42,109,11.12,Low,No,Severe,1
31,Female,9.89,3.08,3.29,6.0,5.65,159,123,3.7,Low,No,Mild,1
20,Female,8.43,3.69,1.17,1.69,4.58,157,148,9.33,High,No,Severe,1
24,Male,6.3,1.13,1.55,2.24,4.62,89,115,12.37,Medium,No,Moderate,1
32,Other,7.47,6.0,2.08,6.0,6.12,96,91,10.9,High,No,Moderate,1
18,Female,5.07,5.27,2.17,5.69,4.5,35,180,6.33,Medium,Yes,Severe,0
31,Other,4.93,3.53,1.34,5.04,5.06,184,161,3.58,High,Yes,Moderate,1
20,Other,9.84,2.06,2.23,4.4,8.25,109,32,4.67,Medium,No,Mild,1
24,Female,4.61,4.66,2.45,3.13,4.5,121,169,7.61,Medium,No,Moderate,1
26,Other,8.37,6.0,1.79,4.6,8.04,212,180,3.85,Low,Yes,,0
22,Male,5.42,5.77,1.96,5.18,5.8,40,180,8.42,High,No,Moderate,1
31,Female,3.58,5.59,1.05,5.45,6.31,159,165,3.58,High,Yes,Severe,1
24,Male,12.0,5.26,2.07,5.28,6.9,92,43,14.3,High,No,Moderate,0
19,Female,12.0,3.61,2.03,4.58,4.86,71,180,8.25,Medium,No,Moderate,0
32,Female,8.25,5.66,1.33,2.02,8.07,20,180,10.86,High,Yes,,1
22,Other,9.71,2.95,1.79,4.84,5.74,126,180,5.05,Low,No,Mild,1
19,Female,8.11,4.16,1.84,2.9,5.23,61,160,11.5,Medium,No,Moderate,1
21,Female,8.48,5.9,0.0,4.76,4.55,43,161,10.46,Medium,Yes,Moderate,1
18,Female,9.26,5.94,0.0,5.32,5.76,41,129,10.65,Low,No,Severe,1
20,Female,5.19,2.01,1.64,3.07,5.58,109,180,13.34,High,Yes,,1
19,Female,7.65,3.16,1.83,4.62,4.5,109,137,9.67,Low,Yes,Severe,1
24,Other,6.5,3.89,1.11,5.76,4.66,56,93,6.44,High,Yes,Moderate,1
24,Female,8.8,4.37,0.0,4.98,5.37,97,78,10.28,Low,No,Moderate,0
25,Female,5.11,3.42,3.46,2.93,5.97,120,83,11.57,Medium,No,Severe,1
35,Male,10.87,6.0,2.26,3.99,6.12,20,100,10.15,Low,No,Moderate,1
22,Male,9.0,5.7,0.0,4.93,6.56,127,170,4.07,Low,No,Moderate,1
19,Other,6.07,1.17,1.31,4.67,4.5,124,57,4.75,Low,Yes,Mild,1
20,Male,9.56,3.92,0.0,2.6,6.31,141,180,8.98,Medium,No,Moderate,1
18,Other,4.45,5.62,0.53,1.71,6.61,55,180,3.58,Medium,No,Moderate,1
24,Other,10.45,1.6,0.0,2.23,8.48,103,169,7.88,Low,No,Moderate,1
18,Male,6.64,1.96,0.38,3.89,5.43,126,162,3.58,High,No,,0
18,Male,5.87,0.96,0.37,5.45,6.35,250,101,6.81,Medium,No,Severe,1
18,Other,11.14,1.2,2.18,1.17,8.04,41,148,6.04,High,No,Moderate,1
26,Male,5.43,4.47,1.73,3.11,6.27,84,78,5.54,Low,Yes,Severe,1
24,Other,6.5,1.38,0.02,1.7,8.01,110,180,3.62,High,Yes,Moderate,1
18,Female,5.22,1.92,1.08,3.08,4.76,117,117,9.49,High,No,Moderate,1
19,Other,8.5,4.53,2.35,5.64,5.4,190,134,6.44,High,No,Mild,1
34,Female,8.22,2.17,2.8,5.66,8.87,109,164,10.51,Low,Yes,Severe,0
22,Other,4.48,2.65,2.05,3.19,4.5,39,97,8.1,High,Yes,Severe,1
19,Other,11.39,5.76,1.29,2.86,8.38,134,180,10.51,Medium,Yes,Moderate,1
