age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
50,144286,7.6,7,3.0,9,5,22,19,60143,78528,5,0,6,4,5,1,5,8,9,9,2,Other,South Davidborough,Hybrid
36,157316,5.9,4,4.8,3,6,46,4,81874,75324,8,0,2,5,7,5,8,6,1,5,7,Other,East Cassandraborough,Online
59,141939,4.0,11,1.6,8,8,42,5,149996,132517,10,1,3,6,6,5,7,1,2,7,8,Male,Aguilarchester,Store
40,168043,6.4,1,2.8,7,4,27,15,132433,82641,9,9,3,4,10,4,4,9,3,2,7,Male,East James,Store
41,138780,5.2,5,1.0,10,8,33,12,123325,44983,5,0,4,1,8,3,7,2,5,6,3,Other,Adamsport,Online
23,138606,10.7,9,4.3,1,4,36,5,130764,141789,1,9,4,9,8,3,3,3,9,10,1,Other,Zacharyview,Store
22,222794,3.4,3,0.4,3,2,39,8,147471,1338,2,4,3,2,7,3,2,3,5,2,4,Other,South Briannaville,Online
52,233163,5.6,8,1.9,9,6,13,19,58143,126661,4,4,6,1,7,6,10,9,10,2,1,Other,New Toddburgh,Online
31,19047,6.6,12,0.6,8,1,13,17,71173,37868,1,3,1,9,6,8,8,2,7,7,1,Male,Anthonyberg,Store
68,57701,6.5,10,5.3,9,5,27,15,90547,97348,10,2,4,4,2,4,6,5,4,5,2,Male,Anthonyburgh,Online
47,128551,6.3,14,0.1,8,8,5,11,66257,136773,7,7,3,8,4,7,1,6,10,8,8,Male,Mcclureview,Online
34,146520,3.9,11,3.8,6,4,49,18,75248,63798,10,5,5,6,4,1,10,5,5,2,1,Male,East Elizabeth,Store
48,158720,9.7,7,2.6,8,10,5,13,134733,128461,7,6,1,4,8,4,1,3,1,3,7,Other,Port Harry,Store
47,164577,5.0,6,1.7,10,7,13,4,87862,65979,9,3,5,10,9,5,5,2,7,4,1,Female,Timothyport,Hybrid
69,231911,4.4,2,2.8,4,5,22,11,12656,542,4,9,7,1,10,4,8,2,4,3,10,Female,North Ryanfurt,Store
53,156046,3.0,11,5.5,5,2,14,18,137121,147221,9,8,7,2,1,9,4,10,6,5,2,Other,Floresstad,Online
47,75103,12.0,9,0.0,2,6,49,6,117065,8241,8,2,7,3,5,5,1,10,1,8,5,Male,West Zacharyland,Online
61,228778,8.1,4,1.1,1,4,44,2,149996,39030,8,5,2,6,7,5,3,9,2,9,8,Female,East Michael,Store
63,79836,4.6,3,0.0,6,6,3,4,85063,38139,1,8,7,4,8,7,8,3,7,8,1,Male,Turnerberg,Hybrid
40,97356,8.0,7,5.2,6,3,33,10,94650,106470,1,4,6,3,10,2,2,10,8,4,7,Other,South Jerrystad,Online
47,86116,3.9,9,5.4,6,10,28,15,5855,116162,7,7,4,5,1,9,8,7,6,10,1,Female,Aaronburgh,Online
31,105429,2.2,12,4.0,6,10,35,11,34871,15504,9,9,3,1,5,8,7,4,9,4,3,Other,North Michelleside,Store
45,223330,5.7,8,2.4,8,6,48,11,54433,127827,7,4,1,1,2,5,7,1,9,8,6,Female,Lake Patricia,Store
30,155797,8.3,6,2.4,3,9,33,9,138514,87191,9,9,6,2,6,3,9,6,3,5,10,Other,Stevenfort,Online
46,135847,6.8,2,0.0,3,6,32,17,138220,130068,1,2,3,6,3,6,1,10,5,3,7,Female,North Dorothyland,Hybrid
32,232734,9.0,2,0.5,3,5,49,3,88354,73898,7,1,1,7,1,6,9,6,5,6,6,Male,North Kelsey,Hybrid
59,62054,4.5,2,2.9,10,5,49,14,138363,143079,2,0,4,1,4,4,9,9,8,6,5,Male,Lake Tiffanyfort,Hybrid
28,15005,8.6,6,2.5,6,6,43,11,63045,79139,2,7,6,4,2,2,8,2,7,8,7,Female,North Amanda,Online
59,78835,11.6,8,3.0,5,2,30,7,143888,126668,9,6,5,10,5,3,4,2,9,1,7,Other,Mitchellport,Online
65,33487,3.5,2,2.5,1,3,47,9,144333,65536,4,6,1,5,10,6,6,10,6,2,4,Other,New Martinview,Hybrid
69,98626,4.5,5,3.8,6,7,43,19,132518,15530,8,8,2,9,7,3,8,6,8,10,2,Female,Martinside,Hybrid
55,37573,6.7,11,1.7,9,10,48,14,133447,98191,8,0,7,3,3,2,1,9,6,1,5,Male,Hickstown,Online
51,94654,5.7,8,0.6,10,2,6,4,77072,124997,2,4,4,2,6,10,6,8,7,2,3,Female,Andersonshire,Store
45,240496,8.5,12,3.3,10,4,12,2,62652,102209,7,3,1,10,10,3,5,9,10,6,3,Other,New Justinborough,Store
39,30188,3.2,10,3.3,5,6,38,6,129293,118694,7,6,7,5,3,2,4,3,9,1,9,Other,Sanchezport,Online
46,133428,5.7,10,3.2,7,2,43,9,149996,36066,7,2,4,9,9,4,6,1,8,9,3,Other,Lake Janice,Online
39,186825,8.3,8,1.1,3,4,28,9,134573,120062,6,5,5,7,5,7,7,9,2,5,6,Other,South Kimville,Hybrid
46,154767,4.5,11,5.0,7,10,36,11,105021,108729,5,1,7,4,10,7,5,4,6,8,5,Female,Veronicafort,Store
