Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,No,Travel_Rarely,691,Research & Development,8,4,Marketing,1,792667,2,Female,70,2,5,Human Resources,1,Married,5748,8166,4,Y,No,14,3,4,80,1,0,0,1,7,8,1,6
26,Yes,Non-Travel,171,Research & Development,2,4,Technical Degree,1,12718269,3,Male,58,3,2,Research Director,2,Single,2193,6528,1,Y,No,11,3,4,80,1,0,2,3,12,9,3,3
18,No,Travel_Rarely,994,Research & Development,21,3,Life Sciences,1,7219119,1,Male,93,3,1,Laboratory Technician,4,Single,6878,11620,1,Y,No,20,3,4,80,0,12,4,3,2,2,11,0
19,No,Travel_Frequently,1039,Sales,14,2,Life Sciences,1,8497493,3,Male,82,2,5,Laboratory Technician,4,Married,12920,23485,0,Y,Yes,11,4,3,80,0,10,6,3,12,0,0,4
24,No,Travel_Rarely,1244,Research & Development,3,3,Life Sciences,1,13663224,2,Male,75,2,2,Human Resources,2,Single,5483,25847,3,Y,No,12,3,2,80,1,10,2,3,5,7,1,5
49,No,Travel_Frequently,216,Research & Development,29,3,Medical,1,1984852,4,Female,100,3,1,Sales Representative,4,Divorced,1993,12060,3,Y,No,11,3,1,80,1,0,2,3,5,4,6,8
20,No,Travel_Rarely,1338,Sales,16,3,Other,1,8239243,2,Female,82,2,2,Laboratory Technician,4,Married,3781,12549,2,Y,No,13,3,1,80,1,1,2,3,8,0,1,3
41,No,Travel_Rarely,224,Research & Development,15,2,Technical Degree,1,12601192,3,Female,85,3,2,Laboratory Technician,2,Married,3564,7831,5,Y,Yes,14,3,3,80,1,8,2,2,13,5,1,9
22,No,Travel_Rarely,904,Sales,15,4,Marketing,1,9639087,2,Female,76,2,3,Sales Executive,3,Married,3517,20928,1,Y,Yes,18,3,3,80,3,0,3,3,7,6,6,7
34,No,Travel_Frequently,690,Research & Development,4,3,Life Sciences,1,7193634,2,Female,64,3,1,Healthcare Representative,4,Single,11935,18960,8,Y,No,16,3,4,80,1,21,4,3,6,3,1,1
39,No,Travel_Rarely,779,Research & Development,13,4,Marketing,1,7573431,2,Male,61,3,1,Laboratory Technician,3,Married,9494,2094,1,Y,No,25,3,1,80,1,13,5,3,9,2,1,2
28,No,Non-Travel,666,Research & Development,4,2,Life Sciences,1,11558911,2,Male,45,3,4,Healthcare Representative,3,Married,2652,5451,0,Y,No,15,3,3,80,1,5,4,3,12,4,0,3
50,No,Travel_Rarely,1243,Human Resources,8,2,Medical,1,9407002,3,Male,64,3,1,Research Scientist,3,Married,4356,13433,7,Y,Yes,15,3,2,80,2,5,2,3,12,6,12,2
34,No,Travel_Rarely,947,Research & Development,1,4,Life Sciences,1,12543519,1,Male,94,3,1,Manager,4,Married,2849,2094,0,Y,No,13,3,3,80,2,0,5,3,9,3,1,0
18,No,Travel_Rarely,1418,Sales,29,3,Life Sciences,1,14604514,3,Female,100,3,1,Laboratory Technician,4,Divorced,3252,14318,1,Y,No,12,3,4,80,1,0,2,3,7,2,1,0
23,No,Travel_Rarely,588,Sales,4,2,Medical,1,383048,1,Male,43,2,3,Sales Executive,1,Married,2101,15971,1,Y,No,17,3,2,80,1,0,2,3,7,6,1,0
25,No,Travel_Rarely,1124,Sales,29,2,Life Sciences,1,470201,4,Female,60,2,1,Laboratory Technician,4,Divorced,3507,4649,8,Y,No,16,3,4,80,0,0,3,3,8,0,4,2
18,No,Non-Travel,686,Sales,24,3,Medical,1,13257733,4,Male,84,3,1,Research Scientist,3,Married,13261,2324,1,Y,No,14,3,3,80,2,7,3,3,6,8,0,3
19,No,Travel_Frequently,1499,Research & Development,4,1,Medical,1,14824356,2,Male,92,2,3,Manager,2,Single,11026,20173,0,Y,No,16,3,3,80,1,0,2,3,16,7,0,4
30,No,Non-Travel,632,Sales,13,3,Life Sciences,1,13820228,1,Female,100,4,3,Research Scientist,3,Married,4927,15074,0,Y,No,14,3,1,80,2,0,2,3,3,8,15,1
37,No,Travel_Frequently,950,Research & Development,2,4,Medical,1,5920261,4,Female,80,2,2,Manufacturing Director,2,Married,8875,8158,8,Y,No,14,4,2,80,2,3,3,1,8,6,1,1
34,No,Travel_Rarely,777,Research & Development,14,3,Technical Degree,1,11979993,4,Female,100,3,1,Laboratory Technician,4,Divorced,8502,18707,1,Y,Yes,17,3,3,80,1,0,1,3,39,1,0,0
34,No,Travel_Frequently,776,Research & Development,6,3,Medical,1,3928979,4,Male,85,3,1,Laboratory Technician,4,Married,7212,10496,4,Y,No,11,3,2,80,1,2,2,3,28,3,14,0
26,No,Travel_Rarely,948,Research & Development,5,3,Life Sciences,1,5926734,1,Female,100,3,1,Manufacturing Director,2,Married,1571,2094,3,Y,No,19,3,4,80,1,6,3,3,9,3,1,2
30,No,Travel_Frequently,584,Research & Development,24,3,Life Sciences,1,2529885,1,Male,83,3,1,Healthcare Representative,1,Divorced,6026,5389,1,Y,No,20,3,3,80,3,0,2,3,5,2,1,9
42,No,Travel_Rarely,825,Sales,2,1,Medical,1,13747531,1,Female,91,3,1,Research Scientist,3,Divorced,1721,15986,0,Y,No,25,3,2,80,1,0,4,3,2,2,0,1
35,No,Travel_Rarely,1499,Research & Development,15,3,Life Sciences,1,15588923,3,Female,71,3,1,Sales Executive,4,Married,3718,23340,3,Y,No,15,3,2,80,0,0,2,3,4,6,0,3
40,No,Travel_Rarely,782,Research & Development,29,3,Medical,1,6951286,3,Male,83,3,1,Sales Executive,4,Divorced,19931,2094,4,Y,No,11,3,1,80,1,3,3,3,7,2,1,0
19,No,Travel_Rarely,649,Research & Development,3,1,Technical Degree,1,10575101,2,Male,56,3,2,Sales Executive,2,Single,6851,2094,5,Y,No,17,3,1,80,0,12,2,3,16,17,1,7
49,No,Travel_Rarely,885,Sales,9,4,Life Sciences,1,15359368,4,Male,70,3,1,Sales Executive,2,Married,9253,6328,0,Y,No,19,3,4,80,1,0,3,3,11,7,1,1
38,No,Travel_Rarely,1256,Research & Development,24,4,Medical,1,2786152,4,Male,48,3,3,Laboratory Technician,4,Single,4358,4548,0,Y,No,16,3,1,80,1,13,0,3,6,7,11,2
18,Yes,Non-Travel,1220,Sales,5,4,Life Sciences,1,1083284,4,Female,74,3,1,Research Scientist,3,Single,2964,16175,7,Y,No,15,3,4,80,0,4,5,4,8,3,2,0
49,Yes,Travel_Rarely,802,Research & Development,16,4,Medical,1,9330940,1,Male,95,2,2,Healthcare Representative,4,Married,10867,2094,3,Y,No,14,3,1,80,1,12,2,2,5,4,3,0
42,No,Travel_Rarely,1287,Research & Development,3,2,Medical,1,1834308,4,Male,100,3,1,Research Scientist,1,Divorced,4597,3015,0,Y,Yes,11,3,2,80,1,5,4,3,12,3,5,5
26,Yes,Travel_Rarely,1475,Sales,20,1,Life Sciences,1,7283496,3,Female,85,4,2,Human Resources,3,Married,2552,2626,0,Y,No,15,3,3,80,3,0,2,3,9,6,4,4
28,No,Travel_Frequently,787,Research & Development,2,4,Human Resources,1,1909163,4,Male,82,3,2,Laboratory Technician,3,Married,12251,2644,7,Y,No,15,3,1,80,1,0,3,3,11,4,4,0
24,No,Travel_Rarely,264,Research & Development,11,4,Life Sciences,1,12734634,2,Male,75,3,1,Laboratory Technician,1,Married,1866,8875,2,Y,Yes,18,4,4,80,1,0,3,3,16,6,3,0
30,No,Travel_Rarely,177,Human Resources,21,3,Technical Degree,1,5380111,1,Female,100,3,3,Laboratory Technician,4,Married,3304,4280,7,Y,No,14,3,4,80,1,0,0,3,5,6,2,10
44,No,Non-Travel,1001,Research & Development,5,3,Medical,1,1038615,1,Male,100,3,2,Sales Representative,2,Married,1346,15706,0,Y,No,17,3,1,80,0,29,3,3,5,4,1,9
34,No,Travel_Rarely,330,Research & Development,5,3,Life Sciences,1,2314053,4,Female,80,1,3,Sales Executive,1,Divorced,3833,7979,0,Y,No,12,3,3,80,0,6,4,3,30,2,0,3
48,No,Travel_Rarely,266,Research & Development,4,2,Technical Degree,1,4778482,2,Female,88,3,1,Laboratory Technician,3,Married,3120,5743,1,Y,No,16,3,1,80,1,0,2,1,11,6,1,9
23,No,Travel_Rarely,1185,Research & Development,8,3,Technical Degree,1,8733513,2,Male,78,3,3,Research Director,1,Single,3181,3926,1,Y,Yes,11,3,2,80,1,6,2,2,6,2,0,2
52,No,Travel_Rarely,659,Research & Development,5,4,Life Sciences,1,11717851,4,Female,99,2,1,Research Director,2,Single,1794,2094,0,Y,No,12,3,3,80,2,6,2,3,13,0,0,1
18,Yes,Travel_Rarely,278,Research & Development,3,3,Life Sciences,1,541634,4,Female,96,3,1,Sales Representative,2,Divorced,4687,17746,3,Y,No,13,3,3,80,1,5,2,2,11,6,0,3
22,No,Travel_Rarely,910,Sales,26,1,Life Sciences,1,8416144,3,Male,100,4,1,Sales Executive,2,Single,12506,8274,2,Y,No,12,3,1,80,0,17,2,4,7,3,1,8
29,No,Travel_Frequently,1291,Research & Development,23,3,Life Sciences,1,10109460,2,Male,44,3,1,Laboratory Technician,4,Married,19718,4813,1,Y,No,16,3,1,80,1,8,6,4,13,12,1,6
34,No,Travel_Rarely,942,Research & Development,12,2,Marketing,1,945092,3,Male,85,3,2,Manager,3,Married,6611,14185,6,Y,No,11,3,1,80,0,6,3,1,9,0,1,7
21,No,Travel_Rarely,1499,Research & Development,29,4,Medical,1,13931039,4,Male,89,1,4,Research Scientist,2,Divorced,3484,20101,2,Y,No,16,3,3,80,3,1,3,1,3,6,1,17
31,No,Travel_Rarely,1436,Research & Development,1,2,Technical Degree,1,4672502,1,Male,94,3,2,Research Scientist,1,Divorced,12154,4660,1,Y,No,15,3,2,80,1,6,3,3,13,2,1,2
19,No,Travel_Frequently,1400,Research & Development,4,3,Marketing,1,2880758,1,Female,89,2,2,Sales Executive,1,Single,4083,7507,2,Y,No,15,3,2,80,0,1,2,4,26,2,11,7
18,No,Travel_Rarely,580,Research & Development,28,2,Life Sciences,1,849197,3,Female,100,4,2,Research Director,4,Married,4005,15216,1,Y,No,20,3,2,80,0,3,1,4,3,6,1,10
35,No,Travel_Frequently,933,Research & Development,15,2,Marketing,1,10997928,3,Female,74,2,3,Research Director,4,Single,3717,3481,0,Y,No,13,3,1,80,0,0,6,3,7,0,6,1
23,No,Travel_Rarely,879,Research & Development,14,3,Life Sciences,1,16522275,1,Male,100,4,1,Research Scientist,3,Single,3540,4131,3,Y,Yes,16,3,4,80,1,0,3,3,12,5,8,0
38,No,Travel_Rarely,520,Research & Development,3,4,Marketing,1,15345513,2,Female,92,3,4,Sales Executive,1,Married,13644,18243,1,Y,No,17,3,3,80,1,5,2,3,8,7,2,0
18,No,Travel_Rarely,436,Research & Development,5,4,Life Sciences,1,13978534,3,Male,100,3,2,Laboratory Technician,3,Married,4009,9859,4,Y,Yes,18,3,3,80,1,9,1,3,38,11,0,8
25,No,Travel_Rarely,1075,Research & Development,1,3,Life Sciences,1,10217948,3,Male,100,3,1,Manager,1,Single,4037,2094,0,Y,Yes,14,3,4,80,0,0,2,3,4,2,6,5
23,No,Travel_Rarely,862,Research & Development,21,4,Technical Degree,1,71967,3,Female,57,2,1,Healthcare Representative,3,Married,2720,12956,0,Y,No,14,3,1,80,0,4,2,3,7,0,1,1
27,No,Travel_Rarely,191,Sales,20,4,Life Sciences,1,16146365,2,Male,67,1,1,Healthcare Representative,2,Married,6124,14109,7,Y,No,17,3,4,80,1,14,4,2,7,6,1,0
27,No,Travel_Frequently,1052,Research & Development,11,3,Life Sciences,1,978112,3,Male,99,3,2,Laboratory Technician,4,Married,2476,6857,5,Y,Yes,17,3,2,80,0,0,2,3,7,6,1,7
52,No,Travel_Rarely,102,Research & Development,1,3,Medical,1,13535742,3,Female,85,3,2,Sales Representative,4,Married,1574,6056,4,Y,No,14,3,4,80,0,2,2,3,14,6,2,6
40,No,Travel_Frequently,318,Research & Development,29,3,Medical,1,5263018,1,Female,48,4,1,Research Scientist,1,Married,1905,5281,3,Y,Yes,11,3,3,80,1,0,3,3,9,3,1,1
35,No,Non-Travel,404,Research & Development,12,2,Medical,1,8854217,3,Female,94,1,2,Research Scientist,4,Married,8094,6935,1,Y,No,12,3,4,80,0,0,2,3,12,7,5,6
60,No,Travel_Rarely,218,Sales,2,1,Life Sciences,1,16500770,1,Male,41,3,5,Research Director,1,Married,2245,9253,2,Y,No,17,3,4,80,0,5,2,3,25,5,0,7
33,No,Travel_Frequently,1290,Sales,29,4,Life Sciences,1,7388674,4,Male,65,3,2,Sales Executive,3,Single,4750,19027,1,Y,No,13,3,3,80,0,3,2,3,4,10,1,3
18,No,Non-Travel,674,Sales,15,5,Life Sciences,1,14925754,3,Female,100,3,2,Healthcare Representative,3,Married,3171,2094,0,Y,Yes,12,3,2,80,3,0,2,3,14,0,2,7
37,No,Travel_Rarely,1253,Human Resources,2,2,Life Sciences,1,9557731,3,Male,97,2,2,Research Scientist,2,Divorced,3521,2094,1,Y,No,13,4,2,80,2,7,0,3,6,2,1,1
28,No,Travel_Rarely,722,Sales,4,3,Technical Degree,1,7014610,2,Female,91,3,2,Sales Executive,1,Single,1287,19063,9,Y,Yes,15,3,4,80,3,1,1,3,13,0,2,3
18,No,Travel_Frequently,1071,Research & Development,4,2,Medical,1,14878237,3,Male,75,3,3,Research Scientist,3,Married,5668,10347,6,Y,No,14,3,2,80,1,3,3,3,8,0,1,8
18,No,Travel_Frequently,1160,Research & Development,9,4,Medical,1,10600355,1,Male,54,3,2,Human Resources,3,Married,1877,2960,9,Y,Yes,22,3,2,80,0,14,4,2,4,4,15,0
20,Yes,Travel_Rarely,1484,Research & Development,9,3,Medical,1,12434995,2,Male,66,1,1,Manager,3,Married,3025,15139,8,Y,Yes,16,3,1,80,0,2,4,3,14,7,0,0
44,No,Travel_Rarely,1264,Research & Development,20,3,Marketing,1,95731,3,Female,72,3,1,Laboratory Technician,1,Married,1369,5454,1,Y,No,11,3,2,80,1,5,3,3,10,0,1,9
18,No,Travel_Rarely,969,Research & Development,13,3,Life Sciences,1,12053251,4,Male,92,3,3,Laboratory Technician,4,Married,6598,2094,7,Y,No,16,3,1,80,3,6,4,3,11,1,0,0
53,No,Travel_Rarely,308,Sales,1,2,Life Sciences,1,11701457,1,Female,96,3,2,Sales Executive,1,Single,1643,8791,7,Y,Yes,12,3,4,80,0,7,3,4,14,6,2,1
22,No,Travel_Rarely,1414,Research & Development,12,3,Life Sciences,1,1609987,1,Female,78,3,1,Laboratory Technician,2,Divorced,3249,2361,0,Y,No,12,3,4,80,1,2,3,3,11,0,1,7
18,No,Travel_Frequently,788,Research & Development,11,4,Life Sciences,1,5815660,4,Male,77,3,1,Sales Executive,1,Married,4523,2776,0,Y,Yes,20,3,4,80,1,0,3,2,2,7,4,1
26,No,Travel_Frequently,663,Research & Development,13,4,Technical Degree,1,6725588,3,Male,87,2,1,Manager,1,Married,1879,16762,0,Y,No,13,4,4,80,1,2,3,3,40,6,0,1
20,No,Travel_Rarely,1397,Research & Development,3,3,Life Sciences,1,4544106,3,Female,58,2,3,Manager,2,Married,2847,2094,2,Y,No,21,4,4,80,0,0,5,3,11,6,0,3
38,No,Travel_Frequently,911,Research & Development,29,2,Life Sciences,1,8003229,1,Male,100,3,2,Research Director,1,Divorced,2835,22730,0,Y,No,11,3,4,80,0,0,2,3,4,5,6,2
53,No,Non-Travel,1187,Research & Development,3,1,Marketing,1,870,1,Male,80,1,1,Laboratory Technician,4,Divorced,2347,20719,3,Y,Yes,16,3,2,80,0,6,5,3,13,6,0,1
24,No,Travel_Rarely,1118,Research & Development,3,3,Life Sciences,1,11102493,2,Male,75,3,2,Laboratory Technician,3,Married,5653,26678,7,Y,No,12,3,1,80,2,4,2,3,5,2,0,7
27,No,Travel_Rarely,1034,Research & Development,3,3,Life Sciences,1,6778027,3,Female,77,3,1,Sales Executive,1,Single,2530,9090,9,Y,No,17,3,1,80,1,2,1,1,7,0,0,0
32,No,Travel_Rarely,1499,Research & Development,22,4,Medical,1,15946364,1,Female,98,3,1,Laboratory Technician,2,Single,1263,2094,3,Y,No,22,3,1,80,2,0,2,3,11,6,1,2
38,No,Travel_Rarely,995,Sales,2,4,Medical,1,16350561,1,Male,83,3,1,Manufacturing Director,1,Married,1686,12214,1,Y,No,11,3,3,80,2,10,3,3,8,1,2,4
38,No,Travel_Rarely,102,Human Resources,29,1,Life Sciences,1,14180899,2,Female,73,3,4,Laboratory Technician,3,Married,2777,3833,7,Y,No,18,4,4,80,1,0,2,3,10,1,0,3
18,No,Travel_Rarely,143,Research & Development,4,2,Life Sciences,1,12447646,3,Male,95,4,1,Sales Representative,4,Married,4071,7023,0,Y,Yes,11,3,3,80,3,0,2,3,9,0,0,0
42,No,Travel_Rarely,1101,Human Resources,5,3,Technical Degree,1,10970397,4,Female,92,3,3,Manufacturing Director,2,Married,5120,7138,8,Y,No,13,3,2,80,0,13,2,3,9,0,11,2
29,No,Travel_Rarely,747,Research & Development,12,2,Other,1,14062124,2,Male,50,2,1,Research Scientist,1,Married,2054,8389,9,Y,No,14,3,4,80,0,0,5,3,9,6,3,0
43,No,Travel_Rarely,505,Research & Development,29,3,Medical,1,9959652,3,Male,40,3,5,Sales Executive,4,Married,4104,8280,2,Y,No,14,3,4,80,0,4,3,3,7,0,1,5
23,No,Travel_Rarely,1074,Research & Development,8,4,Medical,1,1627269,4,Female,30,3,3,Research Scientist,3,Divorced,2682,17920,4,Y,No,20,3,4,80,1,6,0,2,3,7,3,1
40,No,Travel_Rarely,789,Sales,20,4,Medical,1,15678649,3,Male,100,3,5,Laboratory Technician,2,Divorced,1504,19101,1,Y,No,16,3,4,80,0,1,3,3,11,0,11,9
32,No,Travel_Rarely,248,Sales,22,3,Medical,1,14603046,3,Female,54,4,1,Healthcare Representative,2,Divorced,16207,5181,6,Y,No,14,3,3,80,1,0,2,3,5,0,2,0
32,No,Travel_Frequently,362,Research & Development,11,4,Marketing,1,9227509,2,Male,82,3,2,Human Resources,1,Divorced,3140,5058,5,Y,No,19,3,1,80,1,19,3,2,6,7,10,6
18,No,Travel_Rarely,1043,Sales,7,3,Technical Degree,1,2363655,4,Male,84,3,2,Sales Executive,1,Single,3187,3649,4,Y,No,13,3,4,80,1,0,2,3,13,5,1,6
28,No,Travel_Rarely,1003,Research & Development,13,4,Medical,1,682631,1,Female,85,3,5,Manager,1,Married,3325,23525,5,Y,No,17,3,3,80,2,0,3,1,8,4,1,3
46,No,Travel_Rarely,956,Research & Development,4,3,Life Sciences,1,9703628,4,Male,79,3,1,Sales Executive,3,Married,12870,11766,6,Y,No,15,4,4,80,0,3,5,2,20,6,1,0
41,No,Travel_Frequently,445,Research & Development,2,3,Life Sciences,1,15760105,2,Female,84,3,1,Research Scientist,2,Married,4531,20461,1,Y,Yes,11,3,4,80,3,0,2,3,25,7,1,6
47,Yes,Travel_Rarely,1075,Research & Development,5,1,Life Sciences,1,13959238,4,Female,91,4,2,Research Scientist,4,Married,1046,2094,0,Y,No,18,3,4,80,0,9,2,2,13,3,15,10
40,No,Non-Travel,1149,Sales,9,1,Human Resources,1,9170923,1,Female,47,3,2,Research Director,4,Single,12249,2094,0,Y,No,18,3,4,80,0,9,2,4,9,0,15,1
20,No,Travel_Rarely,773,Sales,7,4,Other,1,5703400,4,Male,65,4,5,Research Director,1,Divorced,11549,10812,4,Y,No,25,3,4,80,1,14,2,3,4,0,1,7
