year,rating,runtime,certificate,genre,gross_total
1958,8.2,243,R,"Biography, Drama",$0.15M
2015,8.1,99,R,"Animation, Comedy, Drama",$1.21M
1996,8.2,81,G,"Adventure, Comedy, Fantasy",$1.43M
2017,8.1,154,R,"Animation, Adventure, Family",$941.64M
2025,8.2,125,R,"Action, Adventure, Fantasy",$823.29M
1983,8.4,52,Unrated,"Adventure, Family, Fantasy",$389.93M
2025,8.4,94,Unrated,"Comedy, Crime, Drama",$53.53M
2025,8.3,110,G,"Comedy, Musical, Romance",$134.69M
2025,8.2,97,PG-13,"Drama, History, War",$2.80M
2025,8.4,171,PG-13,"Animation, Adventure, Drama",$1103.11M
1996,8.3,107,Unrated,"Comedy, Crime",$24.05M
2011,8.5,82,R,"Biography, Drama, Sport",$623.74M
2002,8.3,189,R,"Adventure, Sci-Fi",$1008.48M
2009,8.0,68,R,"Adventure, Drama, Western",$490.74M
2025,8.2,100,Unrated,"Biography, Crime, Drama",$187.44M
1990,8.0,145,Unrated,"Drama, Thriller, War",$0.02M
2008,8.1,160,PG-13,"Crime, Drama, Fantasy",$68.01M
2025,8.3,69,R,"Adventure, Sci-Fi",$23.31M
1998,8.0,124,NC-17,"Comedy, Musical, Romance",$465.52M
2024,8.1,80,R,"Action, Drama",$163.06M
2025,8.2,62,R,"Drama, Mystery, War",$109.51M
1979,8.1,79,PG,"Action, Adventure, Sci-Fi",$109.13M
2017,8.0,99,Unrated,Horror,$735.10M
1976,8.2,75,Unrated,"Animation, Drama",$3.75M
2021,8.1,147,G,"Comedy, Romance",$53.53M
1979,8.1,142,Unrated,"Crime, Drama, Thriller",$23.34M
2025,8.2,151,R,"Drama, Film-Noir",$48.20M
2012,8.6,65,R,"Drama, Mystery, War",$46.75M
2013,8.0,136,PG,"Action, Crime, Thriller",$0.47M
1997,8.1,135,R,"Drama, Romance",$352.11M
2023,8.1,118,G,"Biography, Drama, Music",$35.08M
2005,8.3,79,Unrated,"Drama, Music",$33.81M
1982,8.1,79,R,"Drama, Mystery, Sci-Fi",$944.74M
2007,8.7,125,Unrated,"Action, Crime, Drama",$0.21M
2003,8.1,107,NC-17,"Crime, Drama",$6.72M
1943,8.1,113,G,"Drama, Mystery, War",$714.84M
2025,8.1,75,R,"Animation, Adventure, Drama",$407.04M
2025,9.2,115,Unrated,"Adventure, Drama, Mystery",$35.08M
1987,8.0,63,G,"Comedy, Romance, War",$334.54M
2014,8.6,112,PG,"Drama, Family, Sport",$68.01M
2005,8.2,107,R,"Animation, Adventure, Comedy",$23.70M
2015,8.2,93,PG,"Drama, Horror",$46.75M
2007,8.5,91,Unrated,"Comedy, War",$979.16M
2025,8.4,87,Unrated,"Drama, Romance, War",$68.01M
2006,8.1,129,PG,"Biography, Comedy, Drama",$174.57M
1982,8.3,55,Unrated,"Animation, Action, Adventure",$68.01M
2025,8.5,118,R,"Biography, Drama, War",$0.01M
2025,8.2,132,Unrated,"Drama, Sport",$494.88M
1970,8.3,94,PG,"Action, Adventure, Comedy",$64.42M
2017,8.5,79,Unrated,"Animation, Adventure, Fantasy",$138.55M
1980,8.1,82,R,"Comedy, War",$0.93M
2025,8.0,65,R,"Drama, Western",$517.78M
2019,8.0,191,G,"Action, Comedy, Romance",$47.08M
1956,8.4,103,PG,"Drama, Thriller, War",$180.91M
2013,9.0,82,R,"Adventure, Family, Fantasy",$216.76M
2025,8.6,62,R,"Action, Adventure, Sci-Fi",$672.81M
2017,8.2,162,NC-17,"Animation, Adventure, Fantasy",$375.58M
2003,8.3,86,R,"Action, Biography, Drama",$672.81M
2010,8.2,98,R,"Crime, Drama, Thriller",$2.11M
2025,8.0,146,PG,"Crime, Thriller",$29.23M
1967,8.2,89,R,"Comedy, Romance, War",$389.93M
2025,8.1,116,R,"Animation, Adventure, Comedy",$175.42M
1964,8.6,60,R,"Drama, Sport",$134.69M
2024,8.4,126,PG,"Comedy, Drama, Family",$654.26M
2016,8.1,144,R,"Comedy, Drama",$27.20M
1995,8.3,113,R,Horror,$0.01M
2004,8.2,80,PG-13,"Animation, Adventure, Drama",$23.67M
2011,8.4,89,G,"Animation, Drama, War",$213.93M
2015,8.3,92,R,"Drama, Thriller, War",$5.01M
1972,8.2,105,PG-13,"Comedy, Crime, Drama",$16.51M
2016,8.4,102,R,"Action, Crime, Drama",$775.40M
1952,8.2,69,PG-13,"Animation, Adventure, Family",$175.42M
2025,8.1,130,PG-13,"Biography, Drama, Family",$2.94M
2011,8.6,80,R,"Drama, Sci-Fi",$690.82M
2006,8.6,93,Unrated,Drama,$473.33M
2004,8.1,129,PG,"Animation, Action, Adventure",$0.10M
2025,8.1,115,R,"Action, Drama, War",$76.43M
1996,8.5,90,G,"Crime, Thriller",$20.87M
2024,8.2,148,R,"Biography, Drama, War",$41.80M
1995,8.1,88,R,"Comedy, Drama, War",$50.29M
2019,8.2,108,R,"Action, Drama",$430.87M
2025,8.3,203,R,"Action, Drama, Sport",$53.53M
2025,8.5,70,R,"Animation, Adventure, Comedy",$27.17M
1988,8.1,76,R,"Biography, Drama",$77.67M
2025,8.1,127,Unrated,"Crime, Drama, Fantasy",$823.29M
2012,8.5,86,Unrated,"Horror, Sci-Fi",$187.73M
2025,8.2,123,R,"Action, Thriller",$0.01M
2025,8.3,81,R,"Adventure, Horror, Thriller",$430.87M
2024,8.1,112,R,"Action, Comedy, Romance",$402.38M
2025,8.3,115,PG,"Comedy, Drama, Romance",$138.55M
1971,8.2,88,PG,"Comedy, Drama",$490.74M
2019,8.5,128,NC-17,"Comedy, War",$979.16M
2025,8.1,69,PG-13,"Action, Adventure, Drama",$0.16M
2025,8.3,149,R,"Adventure, Comedy, Drama",$24.05M
2014,9.1,122,PG,"Action, Drama",$740.85M
2013,8.1,138,Unrated,"Animation, Action, Adventure",$66.44M
2021,8.5,68,PG-13,"Horror, Sci-Fi",$35.40M
2025,8.5,121,PG,"Comedy, Drama, Thriller",$0.01M
1975,8.1,133,Unrated,"Drama, Western",$159.17M
2025,8.2,99,R,"Biography, Drama, Music",$16.99M
1959,8.2,73,PG-13,"Drama, Family",$1.09M
2013,8.2,100,R,"Drama, Sci-Fi",$64.42M
1972,8.1,129,R,"Action, Adventure, Drama",$30.82M
2001,8.2,84,R,"Biography, Comedy, Crime",$46.75M
2017,8.5,117,R,"Comedy, Crime, Drama",$47.08M
2013,8.2,114,PG-13,"Drama, Romance, Sci-Fi",$941.64M
2003,8.2,124,R,"Comedy, Drama, Family",$6.58M
2025,8.6,95,Unrated,"Action, Sci-Fi",$473.33M
2025,8.2,128,PG-13,"Adventure, Drama, Thriller",$35.40M
2023,8.2,155,Unrated,"Adventure, Sci-Fi",$37.92M
2019,8.6,67,R,"Crime, Drama",$0.97M
1969,8.3,151,PG-13,"Comedy, Romance, War",$619.18M
2022,8.1,112,R,"Comedy, Musical, Romance",$27.17M
1993,8.2,84,R,"Comedy, Crime",$0.16M
2015,8.2,128,PG,"Drama, Family, Sport",$392.98M
1947,8.3,141,R,"Drama, Romance",$28.98M
1976,8.2,93,R,"Drama, Film-Noir",$40.06M
2019,8.4,69,R,"Drama, Fantasy, War",$0.16M
1961,8.1,155,PG-13,"Comedy, Drama",$37.96M
2018,8.1,91,PG,"Animation, Comedy, Drama",$23.34M
1994,8.1,66,PG-13,"Drama, Mystery, Thriller",$0.01M
2008,8.5,92,PG-13,"Action, Drama, Thriller",$243.39M
1953,8.3,85,Unrated,"Action, Adventure",$60.26M
1993,8.2,85,R,"Comedy, Crime",$0.04M
2022,8.4,155,Unrated,"Comedy, Crime, Drama",$31.48M
2016,8.1,137,R,"Drama, Fantasy, War",$35.08M
2001,8.0,217,R,"Adventure, Family, Fantasy",$24.05M
2025,8.4,99,R,"Biography, Drama, History",$243.39M
2015,8.1,45,G,"Adventure, Family, Fantasy",$394.88M
1990,8.6,92,R,"Comedy, Musical, Romance",$24.05M
2025,8.1,78,PG-13,"Biography, Drama, War",$272.74M
2013,8.1,132,PG,"Drama, War",$0.58M
2025,8.2,134,NC-17,"Action, Crime, Thriller",$68.01M
2021,8.1,86,G,"Crime, Drama",$1.71M
2013,8.2,170,Unrated,"Action, Adventure, Fantasy",$380.46M
2005,8.1,141,PG-13,"Biography, Drama, Sport",$322.16M
2014,8.5,97,PG-13,"Action, Adventure, Sci-Fi",$775.40M
2022,8.1,115,PG-13,Horror,$0.16M
2021,8.5,79,PG,"Animation, Adventure, Drama",$1921.43M
2023,8.1,103,G,"Drama, Sport",$33.81M
2001,8.5,113,G,"Action, Adventure, Drama",$482.47M
2025,8.3,110,Unrated,"Action, Drama, Mystery",$23.31M
2009,8.5,45,R,"Animation, Drama, War",$213.22M
2021,8.2,145,Unrated,"Drama, Romance, Sci-Fi",
2025,8.3,148,R,"Drama, Film-Noir",
2025,8.0,109,G,"Drama, Family",$35.40M
1988,8.5,98,NC-17,"Crime, Drama, Thriller",$740.85M
1984,8.3,123,R,"Adventure, Sci-Fi",$29.23M
1982,8.3,111,PG,"Crime, Sci-Fi",$897.00M
1969,8.4,121,R,"Adventure, Drama, War",$29.23M
1992,8.1,131,PG,"Action, Adventure, Sci-Fi",$303.73M
1975,8.1,113,Unrated,"Comedy, Drama, Family",$98.69M
1963,8.2,121,PG,"Adventure, Drama, Fantasy",$0.97M
1984,8.3,97,R,"Action, Thriller",$126.22M
2006,8.5,71,PG,"Action, Drama, War",$180.91M
2005,8.6,76,G,"Biography, Drama, War",$714.84M
1947,8.1,136,PG-13,"Drama, Mystery, Romance",$17.62M
1975,8.7,134,PG-13,"Action, Adventure",$2.11M
2024,8.0,117,G,"Biography, Comedy, Crime",$68.01M
2007,8.1,101,G,"Adventure, Drama",$83.86M
2024,8.2,142,Unrated,"Drama, Mystery, Thriller",$28.98M
