Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,1166,Sales,29,2,Life Sciences,1,4,Female,99,2,1,Laboratory Technician,4,Divorced,4469,13264,1,Y,No,22,3,4,80,0,7,3,3,11,1,0,2
32,No,Non-Travel,847,Sales,29,3,Life Sciences,1,4,Male,81,3,2,Human Resources,3,Married,3330,2389,1,Y,No,18,3,3,80,2,0,3,2,6,1,0,2
41,No,Travel_Frequently,383,Research & Development,14,3,Medical,1,3,Male,60,2,1,Manager,2,Single,2923,18401,1,Y,No,16,3,2,80,1,9,2,3,25,0,0,3
21,No,Travel_Rarely,949,Sales,10,3,Life Sciences,1,1,Male,83,4,3,Research Scientist,3,Married,1949,12347,0,Y,No,16,3,1,80,0,7,2,3,4,0,0,0
21,No,Travel_Frequently,367,Sales,3,4,Medical,1,4,Male,96,2,2,Manufacturing Director,2,Married,2438,23950,2,Y,No,15,4,3,80,0,1,3,1,6,6,1,3
41,No,Travel_Rarely,1096,Research & Development,23,3,Technical Degree,1,3,Female,98,3,1,Laboratory Technician,1,Divorced,5428,20042,1,Y,Yes,19,3,3,80,1,0,1,2,34,0,0,0
49,No,Travel_Rarely,596,Research & Development,29,4,Medical,1,4,Male,83,3,1,Laboratory Technician,1,Married,3865,7540,4,Y,No,13,3,2,80,1,7,2,2,10,2,0,1
35,No,Travel_Rarely,448,Research & Development,1,3,Medical,1,1,Male,92,3,1,Sales Executive,1,Married,4372,3264,3,Y,No,17,3,4,80,1,4,3,3,9,4,0,1
28,No,Travel_Frequently,215,Sales,28,3,Life Sciences,1,1,Male,96,3,1,Healthcare Representative,1,Married,2492,26999,1,Y,Yes,16,3,3,80,3,1,2,3,4,3,0,8
41,No,Travel_Rarely,102,Sales,3,3,Life Sciences,1,1,Female,91,3,1,Research Scientist,3,Divorced,6276,19274,1,Y,No,17,3,2,80,1,0,4,3,3,1,0,3
36,No,Travel_Rarely,1014,Research & Development,4,3,Life Sciences,1,3,Female,94,3,1,Sales Executive,4,Married,4271,18430,1,Y,Yes,16,3,2,80,0,0,2,3,2,2,0,2
34,No,Travel_Rarely,550,Sales,29,3,Medical,1,3,Male,71,3,1,Sales Executive,4,Divorced,13081,12414,2,Y,No,11,3,1,80,1,7,3,2,5,2,0,7
43,No,Travel_Rarely,335,Research & Development,3,1,Technical Degree,1,2,Male,45,3,2,Sales Executive,2,Single,1907,2094,1,Y,No,21,3,3,80,0,6,2,3,2,6,1,7
36,No,Travel_Rarely,871,Sales,13,4,Life Sciences,1,4,Male,90,3,1,Sales Executive,2,Married,3748,15781,0,Y,No,13,3,4,80,1,7,3,3,5,5,0,2
30,No,Travel_Rarely,987,Research & Development,2,3,Medical,1,4,Male,42,3,3,Laboratory Technician,4,Single,2054,21632,0,Y,No,14,3,1,80,1,1,0,3,9,7,0,2
55,No,Non-Travel,1115,Sales,3,4,Life Sciences,1,4,Female,100,2,1,Research Scientist,3,Single,1777,2443,1,Y,No,16,3,4,80,0,3,2,4,7,0,2,0
42,No,Travel_Rarely,595,Research & Development,11,3,Life Sciences,1,1,Male,81,2,2,Healthcare Representative,4,Single,3200,2658,3,Y,No,17,3,1,80,0,7,2,2,7,2,2,2
27,No,Travel_Rarely,1199,Research & Development,5,2,Medical,1,4,Male,100,3,1,Research Scientist,1,Divorced,3817,10643,2,Y,Yes,13,3,2,80,0,19,4,3,11,3,0,3
47,Yes,Travel_Rarely,884,Research & Development,16,1,Life Sciences,1,3,Male,79,4,2,Human Resources,3,Single,1009,2094,0,Y,No,16,3,3,80,3,0,2,3,2,6,0,2
29,No,Travel_Rarely,324,Sales,2,4,Life Sciences,1,4,Male,70,3,2,Laboratory Technician,2,Married,2150,13127,1,Y,No,19,3,1,80,1,0,3,2,11,3,3,0
18,No,Travel_Rarely,543,Research & Development,13,4,Life Sciences,1,3,Male,86,1,1,Laboratory Technician,4,Married,2541,4468,2,Y,No,20,4,3,80,1,7,3,3,7,6,0,0
27,No,Travel_Rarely,324,Human Resources,19,3,Technical Degree,1,4,Female,44,3,3,Sales Executive,4,Married,1706,8735,1,Y,No,13,3,4,80,1,0,0,3,3,2,0,4
56,No,Non-Travel,783,Research & Development,3,3,Medical,1,1,Male,99,3,2,Sales Representative,4,Married,2182,26999,1,Y,No,18,3,1,80,0,1,3,3,7,1,0,6
33,No,Travel_Rarely,330,Research & Development,4,3,Life Sciences,1,4,Female,78,1,3,Sales Executive,1,Single,1122,19381,1,Y,No,13,3,3,80,0,3,2,3,24,3,0,4
21,No,Travel_Rarely,102,Sales,5,2,Life Sciences,1,3,Female,34,3,1,Sales Executive,3,Married,1279,9560,1,Y,No,15,3,3,80,1,4,2,4,8,0,0,3
33,No,Travel_Rarely,1107,Research & Development,14,3,Technical Degree,1,3,Male,83,3,3,Research Director,1,Single,3023,3019,1,Y,Yes,11,3,2,80,0,3,2,2,5,2,0,2
45,No,Travel_Rarely,494,Research & Development,4,4,Life Sciences,1,3,Female,57,2,1,Sales Executive,2,Single,3312,7643,0,Y,Yes,15,3,3,80,3,0,2,3,13,0,0,0
32,Yes,Travel_Rarely,102,Research & Development,4,3,Life Sciences,1,4,Female,94,3,1,Healthcare Representative,1,Divorced,1793,21594,3,Y,Yes,15,3,3,80,0,11,2,2,12,0,0,3
30,No,Travel_Rarely,179,Sales,29,4,Life Sciences,1,3,Male,88,4,1,Sales Executive,4,Single,6963,2094,2,Y,No,15,3,1,80,0,16,2,4,9,4,0,2
37,No,Travel_Frequently,703,Research & Development,29,3,Life Sciences,1,2,Male,34,3,1,Sales Executive,4,Married,1656,2094,1,Y,Yes,17,3,1,80,1,0,6,4,12,0,0,7
24,No,Travel_Rarely,314,Research & Development,6,2,Medical,1,3,Male,45,3,2,Manufacturing Director,3,Single,4121,9040,2,Y,No,11,3,3,80,0,6,3,4,10,0,1,4
27,No,Travel_Rarely,1463,Sales,28,4,Medical,1,4,Male,90,3,4,Research Scientist,2,Divorced,2209,23622,0,Y,Yes,21,3,3,80,3,7,3,1,2,7,0,11
36,No,Travel_Rarely,1147,Research & Development,29,2,Life Sciences,1,1,Male,92,3,2,Research Scientist,1,Divorced,8446,14242,1,Y,No,16,3,2,80,0,8,3,3,13,2,0,2
38,No,Travel_Frequently,955,Research & Development,4,3,Life Sciences,1,1,Male,84,2,2,Sales Executive,1,Single,3089,16461,2,Y,No,21,3,2,80,0,6,2,4,9,2,0,9
18,No,Travel_Rarely,646,Research & Development,27,2,Life Sciences,1,3,Male,65,3,2,Research Director,4,Married,3605,15024,1,Y,No,25,3,2,80,0,0,1,2,1,3,0,6
25,No,Travel_Rarely,528,Research & Development,19,2,Life Sciences,1,3,Female,100,2,3,Research Director,4,Single,1797,2399,1,Y,No,22,3,1,80,0,0,6,3,13,0,0,3
23,No,Travel_Rarely,1251,Research & Development,15,4,Life Sciences,1,1,Male,88,3,1,Research Scientist,4,Single,4057,2740,3,Y,Yes,16,3,4,80,1,3,3,3,13,2,6,0
27,No,Travel_Rarely,216,Research & Development,10,4,Medical,1,2,Female,100,3,4,Sales Executive,2,Married,3534,17800,1,Y,No,22,4,2,80,1,7,2,2,7,7,0,2
48,No,Travel_Rarely,505,Research & Development,4,4,Life Sciences,1,3,Male,100,2,1,Laboratory Technician,3,Married,3567,24216,1,Y,No,15,3,3,80,1,8,2,3,40,2,0,9
30,No,Travel_Rarely,620,Research & Development,3,3,Medical,1,3,Male,87,3,1,Manager,1,Single,2434,14031,1,Y,Yes,15,3,2,80,0,0,2,3,8,2,3,2
50,No,Travel_Rarely,127,Sales,24,4,Technical Degree,1,3,Female,52,2,1,Healthcare Representative,3,Single,1607,26999,1,Y,No,18,3,1,80,0,10,2,3,5,0,0,6
43,No,Travel_Rarely,102,Sales,23,1,Life Sciences,1,2,Male,87,1,1,Research Scientist,1,Married,4549,26487,7,Y,No,17,3,4,80,1,24,4,2,20,0,0,0
26,No,Travel_Frequently,602,Research & Development,2,3,Life Sciences,1,3,Male,55,3,2,Laboratory Technician,4,Married,5832,5677,5,Y,Yes,17,3,2,80,0,0,2,3,6,6,0,8
57,No,Travel_Rarely,102,Research & Development,4,3,Medical,1,3,Male,57,3,2,Research Scientist,4,Married,2465,6907,4,Y,No,15,3,4,80,0,15,3,3,13,1,1,0
18,No,Travel_Frequently,469,Research & Development,25,4,Medical,1,3,Female,47,4,1,Research Scientist,1,Married,1009,2094,1,Y,Yes,14,3,3,80,0,3,3,3,8,2,0,0
30,No,Non-Travel,1240,Sales,13,2,Medical,1,4,Female,100,3,2,Research Scientist,4,Married,1941,2094,1,Y,No,19,3,4,80,0,0,2,3,12,5,0,5
39,No,Travel_Rarely,102,Sales,15,2,Life Sciences,1,1,Male,95,3,2,Research Director,1,Married,2865,4597,2,Y,No,23,3,4,80,0,2,2,3,13,0,0,8
32,No,Travel_Rarely,1020,Sales,29,3,Life Sciences,1,4,Male,100,3,2,Sales Executive,3,Single,10577,18822,1,Y,No,23,3,3,80,0,19,2,3,3,0,1,4
18,No,Travel_Rarely,102,Sales,10,5,Life Sciences,1,3,Female,66,3,2,Healthcare Representative,3,Married,1009,7307,1,Y,Yes,16,3,2,80,0,3,2,3,13,1,0,0
29,No,Travel_Rarely,1068,Human Resources,2,2,Life Sciences,1,3,Male,83,2,2,Research Scientist,1,Divorced,1203,11900,1,Y,No,12,4,2,80,2,7,2,3,6,2,0,0
29,No,Travel_Rarely,1085,Sales,13,3,Technical Degree,1,2,Female,100,3,2,Sales Executive,1,Single,3388,20774,1,Y,Yes,24,3,4,80,0,4,2,3,11,0,0,3
29,No,Travel_Frequently,290,Sales,5,2,Medical,1,3,Male,100,3,3,Research Scientist,3,Single,2195,2873,6,Y,Yes,24,3,2,80,0,13,2,3,4,2,0,1
26,No,Travel_Frequently,1043,Research & Development,16,2,Medical,1,1,Male,45,3,2,Laboratory Technician,3,Married,4138,9529,1,Y,Yes,13,3,2,80,0,4,4,2,4,1,0,3
24,Yes,Travel_Rarely,948,Research & Development,13,3,Medical,1,2,Male,53,1,1,Sales Executive,3,Divorced,2355,23230,8,Y,Yes,22,3,1,80,0,15,3,3,12,2,0,0
32,No,Travel_Rarely,102,Sales,12,3,Marketing,1,3,Male,85,3,1,Laboratory Technician,1,Married,3580,13706,1,Y,No,13,3,2,80,1,8,3,3,10,0,0,7
29,No,Travel_Rarely,1165,Research & Development,16,3,Life Sciences,1,4,Male,100,3,3,Laboratory Technician,4,Married,9358,2094,1,Y,No,16,3,1,80,3,8,2,3,2,1,0,3
29,No,Travel_Rarely,102,Sales,13,2,Medical,1,1,Female,100,3,1,Sales Executive,1,Single,4373,14653,7,Y,Yes,22,3,2,80,0,9,3,4,9,4,0,7
22,No,Travel_Rarely,1327,Sales,12,3,Life Sciences,1,1,Female,58,3,1,Laboratory Technician,2,Divorced,3098,7396,0,Y,No,14,3,4,80,1,5,3,3,3,0,0,3
32,No,Travel_Frequently,380,Research & Development,10,4,Life Sciences,1,4,Male,54,3,1,Laboratory Technician,2,Married,2217,15913,0,Y,Yes,15,3,4,80,1,0,3,3,1,6,0,7
34,No,Travel_Rarely,311,Research & Development,4,2,Medical,1,3,Male,77,2,1,Manager,1,Single,3489,25617,0,Y,Yes,15,4,2,80,1,3,3,3,34,1,0,4
30,No,Travel_Rarely,1337,Research & Development,4,3,Medical,1,3,Female,58,2,3,Sales Executive,1,Married,3793,5055,2,Y,Yes,15,4,3,80,0,5,2,3,13,6,0,2
37,No,Travel_Frequently,631,Sales,29,2,Life Sciences,1,2,Male,95,3,2,Sales Executive,4,Divorced,1110,19205,2,Y,No,14,3,4,80,0,1,2,3,3,1,0,1
35,No,Non-Travel,1186,Research & Development,3,1,Marketing,1,3,Male,97,3,1,Laboratory Technician,4,Divorced,1895,17805,3,Y,Yes,20,3,1,80,0,1,3,3,12,5,0,7
34,No,Travel_Rarely,1076,Research & Development,23,3,Life Sciences,1,2,Male,76,3,1,Laboratory Technician,3,Single,2966,3659,1,Y,No,13,3,1,80,2,20,2,3,4,1,0,6
38,No,Travel_Rarely,369,Research & Development,2,2,Life Sciences,1,3,Female,42,3,1,Sales Executive,4,Single,4809,13608,8,Y,No,15,3,1,80,1,1,4,2,2,0,0,0
18,Yes,Travel_Rarely,1490,Sales,22,4,Medical,1,1,Female,63,3,1,Laboratory Technician,2,Single,12692,5896,3,Y,No,16,3,1,80,2,8,2,3,8,6,0,2
22,No,Travel_Rarely,1298,Sales,1,4,Medical,1,1,Male,88,3,1,Manufacturing Director,1,Single,1874,3847,1,Y,No,22,3,3,80,2,3,3,3,13,0,0,4
58,No,Travel_Rarely,139,Human Resources,4,3,Life Sciences,1,2,Female,91,3,4,Laboratory Technician,3,Married,2515,10710,1,Y,No,14,3,4,80,0,0,2,3,9,1,0,2
20,No,Travel_Rarely,155,Research & Development,4,3,Life Sciences,1,4,Male,100,3,1,Sales Representative,4,Married,2097,3695,0,Y,Yes,16,3,3,80,0,2,2,2,7,0,0,6
46,No,Travel_Rarely,938,Human Resources,4,3,Life Sciences,1,4,Male,71,3,3,Laboratory Technician,2,Married,6571,8898,8,Y,No,16,3,2,80,0,15,2,3,12,0,0,2
29,No,Travel_Rarely,233,Research & Development,10,2,Life Sciences,1,2,Female,96,2,1,Research Scientist,1,Married,2184,4880,9,Y,No,14,3,3,80,0,0,5,3,11,0,2,2
30,No,Travel_Rarely,104,Research & Development,29,3,Medical,1,3,Male,61,3,1,Sales Executive,4,Married,1355,3489,1,Y,No,15,3,3,80,0,2,3,3,2,0,0,4
36,No,Travel_Rarely,102,Research & Development,14,4,Medical,1,4,Female,53,2,1,Research Scientist,3,Divorced,4453,23043,1,Y,No,21,3,4,80,1,0,0,2,3,1,0,0
32,No,Travel_Rarely,102,Sales,11,4,Medical,1,3,Male,99,3,5,Laboratory Technician,1,Divorced,3961,23932,1,Y,No,18,3,4,80,0,0,3,3,11,6,0,7
25,No,Travel_Rarely,275,Sales,23,3,Medical,1,3,Male,55,2,1,Sales Executive,2,Divorced,10901,6967,6,Y,No,18,3,3,80,1,9,2,3,3,0,0,7
22,No,Travel_Frequently,203,Research & Development,16,4,Marketing,1,2,Male,87,3,2,Human Resources,1,Divorced,4175,2629,5,Y,No,16,3,1,80,0,6,3,2,4,2,6,7
44,No,Travel_Rarely,1460,Sales,16,3,Medical,1,4,Male,100,3,2,Sales Executive,4,Single,1154,6913,1,Y,No,11,3,4,80,1,1,5,3,10,2,1,5
38,No,Travel_Rarely,680,Sales,15,4,Medical,1,1,Female,87,3,5,Manager,1,Married,1711,16860,0,Y,No,19,3,1,80,1,1,3,1,7,2,0,2
37,No,Travel_Rarely,1034,Sales,3,4,Medical,1,4,Female,89,3,1,Sales Executive,3,Married,5415,18902,6,Y,No,25,4,4,80,0,13,2,2,12,1,0,2
28,No,Travel_Frequently,554,Sales,4,2,Medical,1,4,Female,53,2,1,Research Scientist,1,Married,2498,26999,1,Y,Yes,17,3,4,80,3,9,2,3,23,0,1,7
36,No,Travel_Rarely,519,Research & Development,13,1,Life Sciences,1,2,Female,69,4,2,Research Scientist,4,Married,1748,2094,0,Y,No,13,3,4,80,0,10,2,2,12,3,0,8
43,No,Non-Travel,1256,Sales,7,1,Human Resources,1,1,Male,53,3,2,Research Director,4,Single,2681,14077,0,Y,No,17,3,4,80,0,8,2,4,7,0,0,2
54,No,Travel_Rarely,102,Sales,14,4,Other,1,4,Male,100,2,5,Research Scientist,1,Divorced,2404,2094,4,Y,No,25,3,3,80,1,6,2,3,10,0,0,9
42,No,Travel_Rarely,123,Research & Development,24,3,Life Sciences,1,2,Male,91,4,2,Laboratory Technician,4,Single,4813,12768,1,Y,No,17,3,1,80,2,5,2,1,13,6,2,7
18,No,Travel_Rarely,146,Sales,29,5,Medical,1,4,Male,98,3,1,Laboratory Technician,3,Married,4177,10733,1,Y,Yes,14,3,2,80,2,8,2,3,12,1,0,6
35,No,Travel_Rarely,102,Human Resources,25,3,Life Sciences,1,2,Male,96,3,2,Healthcare Representative,3,Married,1622,21268,4,Y,Yes,17,3,1,80,0,0,6,3,4,6,2,0
53,No,Non-Travel,1165,Research & Development,9,3,Medical,1,4,Female,73,3,2,Manager,1,Single,3478,5785,1,Y,Yes,21,3,1,80,1,0,1,3,9,4,1,3
21,No,Travel_Rarely,289,Sales,4,3,Medical,1,1,Male,33,3,1,Research Scientist,3,Married,5291,7639,1,Y,No,16,3,3,80,0,9,2,2,34,0,2,8
46,No,Travel_Rarely,623,Research & Development,3,3,Medical,1,3,Female,40,3,2,Laboratory Technician,2,Single,1459,26999,2,Y,No,12,3,2,80,1,8,2,3,8,2,0,0
