job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
Machine Learning Engineer,MNC,Healthcare,Singapore,Remote,Entry,2,Master,1,1,1,1,0,74487,12,2025,Low,8
Machine Learning Engineer,MNC,E-commerce,Australia,Onsite,Senior,8,PhD,0,0,0,0,1,99871,2,2022,Medium,2
Data Engineer,Enterprise,Retail,Singapore,Onsite,Senior,0,Bachelor,0,1,0,1,0,115186,9,2025,High,4
Data Scientist,Startup,Finance,Germany,Remote,Mid,14,Bachelor,0,1,0,1,0,45083,1,2025,Low,9
Data Scientist,Medium,Retail,Canada,Remote,Senior,2,Master,0,0,0,1,1,145871,1,2023,High,6
AI Engineer,Startup,E-commerce,UK,Hybrid,Senior,14,PhD,1,1,1,1,0,112003,6,2020,High,9
Data Analyst,Enterprise,Education,Australia,Remote,Mid,7,Bachelor,0,1,0,1,1,85258,1,2024,High,4
Data Scientist,MNC,Healthcare,Canada,Remote,Entry,14,Bachelor,1,0,0,0,1,85775,1,2025,High,1
Machine Learning Engineer,Medium,Technology,UK,Onsite,Entry,10,Bachelor,0,1,1,0,1,162479,8,2025,High,5
Data Engineer,Startup,Retail,Germany,Onsite,Mid,14,Bachelor,1,0,1,0,0,159267,2,2024,High,8
Business Analyst,Enterprise,Technology,India,Remote,Entry,8,PhD,1,0,0,0,1,103786,9,2020,Low,4
Data Scientist,Startup,Education,Singapore,Remote,Senior,7,Master,0,0,0,1,0,54848,6,2021,High,4
Business Analyst,Startup,Retail,UK,Remote,Entry,12,Bachelor,1,1,1,1,0,52377,11,2021,High,8
Data Scientist,Enterprise,Healthcare,Singapore,Onsite,Mid,5,Master,0,1,1,0,1,46585,10,2020,Low,4
Machine Learning Engineer,Medium,Retail,Canada,Onsite,Senior,2,Master,0,1,0,0,0,130629,7,2020,Medium,1
Data Engineer,Startup,Healthcare,Australia,Remote,Senior,13,Master,0,0,0,1,0,103048,1,2026,High,1
AI Engineer,MNC,Finance,USA,Remote,Senior,12,Master,1,0,0,1,1,176397,12,2022,Low,9
AI Engineer,MNC,Education,UK,Onsite,Mid,8,Bachelor,1,0,0,0,0,121664,1,2023,High,4
AI Engineer,MNC,Education,Singapore,Hybrid,Mid,14,Master,1,0,0,0,1,146826,10,2021,High,9
AI Engineer,Enterprise,Healthcare,Australia,Onsite,Senior,10,Master,0,0,0,1,1,114036,8,2023,Medium,4
Data Scientist,Startup,Healthcare,Germany,Hybrid,Entry,11,Bachelor,0,1,1,0,1,45083,12,2023,High,2
Data Engineer,Medium,Technology,USA,Hybrid,Entry,4,Master,0,0,0,0,0,115967,9,2021,High,6
Machine Learning Engineer,Medium,E-commerce,Singapore,Hybrid,Senior,12,PhD,1,0,1,1,0,178291,4,2021,Medium,7
Business Analyst,MNC,Education,USA,Onsite,Mid,1,Master,0,0,1,0,1,104778,7,2023,Low,6
Data Scientist,Medium,Healthcare,Germany,Hybrid,Senior,7,Master,1,0,1,1,1,108025,8,2021,High,2
AI Engineer,Enterprise,Healthcare,Singapore,Hybrid,Entry,11,Master,0,1,0,1,0,92857,6,2024,Low,5
Data Scientist,Enterprise,Healthcare,USA,Onsite,Entry,14,PhD,1,0,0,0,1,123169,6,2022,High,8
Business Analyst,Startup,Finance,Australia,Onsite,Senior,0,Bachelor,1,1,1,0,0,131052,8,2023,High,8
AI Engineer,Enterprise,E-commerce,Singapore,Onsite,Senior,8,Bachelor,0,0,1,0,0,95904,10,2022,Low,4
Business Analyst,Enterprise,Education,Singapore,Onsite,Mid,1,PhD,0,1,1,0,1,106250,7,2020,High,9
Data Analyst,Medium,Technology,Australia,Onsite,Mid,2,PhD,1,1,0,1,0,153309,10,2022,Low,8
Data Scientist,Enterprise,E-commerce,UK,Remote,Senior,7,PhD,1,1,1,1,0,121037,2,2021,High,5
Business Analyst,MNC,Education,UK,Hybrid,Senior,6,Bachelor,1,0,0,1,0,87080,12,2024,High,1
Data Analyst,Startup,Technology,USA,Onsite,Senior,2,Master,0,0,0,0,1,101911,2,2025,High,1
Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,Mid,9,PhD,1,1,0,1,1,110384,11,2024,High,8
Data Scientist,MNC,E-commerce,USA,Onsite,Entry,5,Master,1,1,1,0,0,123980,11,2026,Low,4
Business Analyst,MNC,E-commerce,Australia,Hybrid,Mid,12,Master,0,1,1,0,1,62953,10,2023,High,6
Data Engineer,Startup,Education,Australia,Hybrid,Entry,9,PhD,1,1,1,0,0,115847,10,2026,Low,1
Business Analyst,Enterprise,Technology,USA,Onsite,Senior,6,Master,1,0,1,1,0,90078,10,2020,High,4
Machine Learning Engineer,Startup,E-commerce,Germany,Onsite,Mid,13,PhD,0,1,0,1,1,124717,5,2025,High,4
AI Engineer,Enterprise,Retail,India,Onsite,Senior,5,Bachelor,0,0,1,0,1,45083,2,2025,High,4
Data Scientist,MNC,Finance,Canada,Hybrid,Mid,7,PhD,0,1,1,0,1,124902,6,2024,High,6
Data Analyst,Enterprise,Healthcare,Singapore,Onsite,Mid,14,PhD,1,0,0,0,0,177892,7,2025,Low,8
Data Scientist,Medium,Finance,USA,Onsite,Mid,10,Bachelor,0,1,1,1,1,88237,7,2024,Medium,2
Data Analyst,Startup,Finance,Australia,Onsite,Entry,10,Bachelor,0,1,1,1,1,129502,1,2026,Medium,7
Data Scientist,Enterprise,Technology,USA,Remote,Entry,4,Master,1,1,1,1,1,192498,7,2022,Medium,6
Machine Learning Engineer,Medium,Technology,India,Hybrid,Senior,12,Master,1,0,1,0,1,65777,12,2023,Medium,5
Data Scientist,Enterprise,E-commerce,Singapore,Onsite,Mid,12,Bachelor,0,0,1,0,1,127075,9,2023,High,1
Data Analyst,Startup,Healthcare,Singapore,Hybrid,Senior,3,Master,1,0,0,0,0,101578,11,2024,Low,2
Data Analyst,MNC,Finance,Germany,Onsite,Entry,13,Bachelor,1,0,0,0,0,50462,7,2020,High,8
Data Engineer,MNC,Finance,Singapore,Hybrid,Entry,9,PhD,0,0,1,0,1,104045,9,2022,Medium,2
Machine Learning Engineer,Startup,E-commerce,India,Hybrid,Mid,1,Master,0,1,0,0,1,126749,11,2023,High,1
Business Analyst,MNC,Retail,Canada,Remote,Mid,12,PhD,1,1,0,1,1,69007,11,2020,High,8
Business Analyst,Medium,Finance,UK,Onsite,Mid,14,Bachelor,0,1,0,1,0,119102,6,2025,High,5
Data Scientist,Startup,Education,Singapore,Onsite,Entry,11,Bachelor,1,1,0,1,0,81727,6,2024,Medium,5
Data Engineer,Startup,E-commerce,USA,Onsite,Senior,14,PhD,0,1,1,1,1,201233,11,2020,High,8
Machine Learning Engineer,Startup,Technology,USA,Remote,Mid,7,Bachelor,0,0,1,1,1,80468,9,2020,High,7
Business Analyst,Medium,E-commerce,Australia,Onsite,Mid,7,PhD,1,0,1,0,0,106387,3,2025,Low,9
Data Engineer,MNC,Technology,Singapore,Hybrid,Senior,6,PhD,0,1,1,0,1,151003,9,2025,Medium,8
Data Scientist,Medium,E-commerce,Australia,Remote,Entry,3,PhD,0,1,1,1,0,45083,11,2022,High,4
Data Scientist,MNC,E-commerce,USA,Remote,Entry,5,PhD,1,0,0,0,0,156643,1,2020,Medium,3
AI Engineer,Medium,Retail,Canada,Hybrid,Mid,11,PhD,1,0,1,0,1,59366,4,2025,Medium,7
AI Engineer,Medium,E-commerce,Singapore,Hybrid,Entry,4,Bachelor,0,0,0,1,0,179164,1,2025,Low,7
AI Engineer,Startup,E-commerce,Canada,Remote,Mid,10,Master,1,0,0,0,0,164624,8,2026,Medium,4
Machine Learning Engineer,Startup,Finance,Canada,Hybrid,Senior,12,Bachelor,1,0,0,1,1,73844,10,2021,Medium,9
Data Analyst,Startup,Technology,Singapore,Hybrid,Senior,5,PhD,0,0,0,1,0,70509,1,2022,Low,6
Data Analyst,Startup,Finance,UK,Remote,Entry,8,PhD,1,0,0,0,1,107461,6,2026,High,2
AI Engineer,Startup,Technology,USA,Remote,Entry,11,Bachelor,1,1,0,1,0,113159,6,2020,High,5
Machine Learning Engineer,Enterprise,Finance,UK,Hybrid,Senior,7,Master,0,1,0,0,1,104787,10,2026,High,4
Data Scientist,Medium,Healthcare,India,Remote,Entry,11,Master,0,0,1,1,0,118013,6,2021,Medium,1
Data Scientist,Medium,Technology,India,Onsite,Senior,2,PhD,1,0,0,1,1,126610,3,2021,Low,8
Data Analyst,MNC,Technology,USA,Remote,Entry,14,Bachelor,1,0,0,1,0,91396,9,2024,High,1
Data Analyst,Enterprise,Retail,UK,Onsite,Mid,9,PhD,1,1,1,1,1,72837,9,2021,Medium,8
Machine Learning Engineer,Enterprise,Education,Australia,Remote,Senior,3,Bachelor,0,0,1,0,0,93393,11,2026,Low,4
Data Analyst,Enterprise,Healthcare,Canada,Remote,Mid,12,Master,1,0,1,1,1,96647,6,2025,High,4
Data Analyst,Medium,Healthcare,Singapore,Onsite,Entry,10,PhD,1,0,1,1,1,86065,1,2021,High,6
Data Engineer,Medium,Healthcare,Canada,Remote,Mid,11,PhD,1,1,1,1,1,202312,10,2023,Low,8
AI Engineer,Medium,Technology,USA,Onsite,Mid,7,Master,0,1,1,1,0,130942,6,2022,High,5
AI Engineer,Startup,Healthcare,Germany,Onsite,Senior,7,Bachelor,0,0,1,0,0,158126,6,2021,High,1
Data Scientist,Medium,Retail,UK,Remote,Mid,2,Bachelor,0,1,0,0,1,70701,7,2023,Medium,5
Data Scientist,Startup,Finance,India,Remote,Mid,10,PhD,0,0,1,0,0,84638,8,2025,Low,8
Machine Learning Engineer,Startup,Retail,UK,Hybrid,Senior,0,Bachelor,0,1,0,1,1,137332,1,2026,High,3
Data Scientist,Startup,Retail,UK,Hybrid,Senior,11,Master,1,1,0,1,0,69028,10,2024,High,4
Data Engineer,Enterprise,E-commerce,Germany,Onsite,Entry,11,Bachelor,0,0,1,1,0,51073,9,2026,Low,4
AI Engineer,Medium,Retail,Australia,Onsite,Senior,11,PhD,0,0,0,1,1,157658,11,2023,Low,4
Business Analyst,MNC,Retail,Singapore,Remote,Entry,14,PhD,1,0,1,0,1,163731,11,2026,High,4
Machine Learning Engineer,Enterprise,Retail,USA,Onsite,Entry,14,Bachelor,1,0,0,0,0,154830,1,2024,High,6
AI Engineer,Medium,Retail,UK,Remote,Mid,14,Bachelor,1,0,0,1,1,204143,9,2024,High,4
Data Scientist,Startup,Technology,Australia,Hybrid,Mid,11,PhD,0,0,0,0,0,98010,7,2026,Medium,9
Data Engineer,Startup,E-commerce,Australia,Onsite,Entry,9,Master,0,1,0,0,1,113705,2,2020,Medium,8
AI Engineer,MNC,Technology,Canada,Remote,Mid,12,Bachelor,1,0,1,0,1,71140,2,2023,High,8
AI Engineer,MNC,Finance,Singapore,Remote,Senior,4,Master,1,0,1,1,1,99816,1,2024,Low,9
Business Analyst,Medium,Education,Singapore,Hybrid,Senior,13,PhD,0,1,1,1,1,74432,3,2022,High,7
Data Analyst,Medium,Education,India,Remote,Mid,12,Master,0,0,0,0,1,94916,3,2026,High,8
Machine Learning Engineer,Startup,Retail,USA,Remote,Senior,9,Bachelor,0,1,1,0,0,79500,12,2022,High,2
Machine Learning Engineer,Medium,Healthcare,Canada,Hybrid,Mid,2,Master,1,1,1,0,1,63008,11,2023,Low,3
Data Engineer,MNC,Healthcare,Germany,Remote,Senior,1,Bachelor,0,0,0,1,0,204143,10,2025,High,2
Data Analyst,Medium,Education,Canada,Onsite,Entry,14,Bachelor,0,0,1,1,1,60318,9,2023,High,5
AI Engineer,Medium,Finance,Australia,Hybrid,Entry,4,Bachelor,0,1,1,0,1,200476,12,2022,High,6
Business Analyst,Medium,Technology,USA,Hybrid,Mid,14,Bachelor,1,0,0,1,0,91931,9,2025,Low,6
Machine Learning Engineer,Medium,Technology,UK,Remote,Entry,1,PhD,1,0,0,0,1,96879,7,2022,Low,1
Data Scientist,MNC,Retail,Canada,Remote,Senior,10,Master,1,0,1,1,1,146520,8,2022,High,1
Business Analyst,MNC,Healthcare,Germany,Hybrid,Senior,5,PhD,0,1,1,0,1,115349,1,2022,High,4
Data Engineer,Medium,Retail,Australia,Onsite,Entry,14,Master,1,1,1,0,0,103364,7,2025,Low,9
Business Analyst,Medium,Education,UK,Hybrid,Senior,1,Master,1,1,0,0,0,148359,11,2020,High,6
AI Engineer,MNC,Healthcare,Canada,Hybrid,Senior,2,Master,1,0,1,1,1,113167,9,2021,High,7
Data Engineer,MNC,Education,India,Hybrid,Entry,14,Bachelor,0,1,1,0,1,132298,8,2023,High,5
Data Analyst,Startup,Technology,Germany,Remote,Mid,11,PhD,0,1,1,1,0,86134,1,2022,High,6
Machine Learning Engineer,Enterprise,Technology,India,Onsite,Mid,2,Bachelor,1,1,1,1,0,176736,3,2021,High,4
AI Engineer,Startup,Healthcare,UK,Onsite,Senior,9,Master,0,0,0,0,0,176713,12,2020,High,6
Business Analyst,Medium,E-commerce,USA,Remote,Entry,11,Master,1,0,1,1,0,120213,9,2021,Medium,2
AI Engineer,Medium,Technology,UK,Onsite,Mid,5,Bachelor,1,1,1,0,0,143831,1,2023,Low,8
Data Analyst,Medium,Retail,Australia,Remote,Mid,9,Master,0,1,1,1,1,146950,8,2023,Low,4
Data Analyst,MNC,Healthcare,Singapore,Remote,Entry,6,Bachelor,0,0,1,1,0,116598,8,2023,High,9
Data Engineer,Enterprise,Technology,Germany,Onsite,Senior,6,Master,1,0,0,1,1,103489,8,2021,High,2
AI Engineer,Medium,Retail,USA,Remote,Senior,6,Bachelor,0,0,0,1,1,93627,9,2020,Medium,3
Business Analyst,Enterprise,Education,USA,Remote,Mid,13,Master,0,0,1,1,0,156871,6,2022,High,6
Data Scientist,MNC,Retail,UK,Onsite,Entry,10,Bachelor,0,1,1,1,1,129609,11,2022,Low,7
Data Analyst,Medium,Finance,Australia,Remote,Senior,1,Master,1,0,0,0,1,78739,12,2021,Medium,3
Data Analyst,MNC,Technology,Canada,Hybrid,Entry,6,Bachelor,1,0,0,1,1,124488,11,2025,Medium,3
Data Scientist,Startup,Retail,Singapore,Onsite,Senior,12,PhD,1,0,0,0,1,118736,2,2025,Low,6
Machine Learning Engineer,Medium,Technology,Canada,Hybrid,Mid,14,PhD,1,1,1,0,1,84648,9,2022,High,7
Data Scientist,Enterprise,Retail,Singapore,Onsite,Mid,8,Master,0,1,0,0,1,45083,10,2024,High,4
Data Engineer,Medium,Finance,Singapore,Onsite,Senior,14,Master,0,0,0,1,1,129201,4,2023,Low,8
Data Analyst,MNC,Education,Australia,Remote,Entry,3,PhD,1,0,1,1,0,139827,2,2022,Medium,9
Data Analyst,Startup,Retail,Germany,Hybrid,Senior,14,PhD,0,1,0,1,1,131294,2,2023,High,2
Business Analyst,Medium,Finance,Germany,Hybrid,Mid,7,Master,1,0,0,1,1,89637,10,2024,Low,7
Machine Learning Engineer,Medium,Finance,USA,Remote,Senior,13,Master,1,0,0,0,0,64619,2,2020,Low,4
Data Scientist,Startup,Finance,USA,Onsite,Senior,13,Bachelor,0,0,0,1,0,112347,1,2022,Low,7
Data Analyst,Medium,Healthcare,Singapore,Onsite,Mid,7,Bachelor,1,1,1,0,0,163689,8,2024,Low,8
Machine Learning Engineer,Enterprise,Retail,Singapore,Hybrid,Entry,2,Master,0,1,1,0,0,118659,9,2022,Low,4
Business Analyst,Startup,Technology,India,Hybrid,Mid,13,Master,0,0,1,0,1,143653,11,2020,Medium,2
Data Scientist,Medium,Healthcare,Singapore,Hybrid,Entry,11,Bachelor,0,0,0,0,0,115035,7,2025,High,5
Machine Learning Engineer,Medium,Retail,Australia,Onsite,Entry,3,PhD,0,0,1,1,1,59458,9,2022,High,5
Business Analyst,Medium,Technology,UK,Remote,Senior,9,Bachelor,1,0,0,0,0,128578,9,2023,Medium,8
AI Engineer,Startup,Education,Singapore,Onsite,Mid,7,Bachelor,0,1,0,0,1,78189,2,2022,High,8
Data Scientist,Startup,E-commerce,India,Onsite,Entry,9,Bachelor,1,1,1,0,1,119597,12,2025,Low,3
Data Scientist,Medium,Healthcare,Singapore,Onsite,Mid,7,Bachelor,0,1,1,1,0,83283,7,2025,Medium,8
Data Analyst,Startup,Healthcare,UK,Remote,Senior,4,PhD,1,1,1,1,1,75636,7,2022,Low,8
AI Engineer,Startup,Education,Singapore,Remote,Senior,8,PhD,1,0,0,0,0,117669,8,2021,Low,5
AI Engineer,Medium,Technology,India,Onsite,Senior,2,PhD,0,1,1,1,0,107045,8,2020,Low,5
Machine Learning Engineer,MNC,Technology,Canada,Remote,Senior,7,Master,1,1,1,0,0,109236,11,2024,Low,4
Data Analyst,Medium,Finance,India,Hybrid,Entry,6,PhD,0,0,1,1,1,204143,4,2020,Medium,5
Business Analyst,Enterprise,Retail,Australia,Remote,Senior,13,PhD,1,0,0,1,1,97239,3,2022,Medium,4
Data Scientist,Medium,Healthcare,UK,Onsite,Mid,13,Bachelor,1,0,0,0,0,87199,11,2024,Low,9
Data Analyst,Startup,Finance,Singapore,Remote,Entry,4,PhD,0,1,1,1,0,141457,8,2025,Low,5
Business Analyst,Medium,Healthcare,Germany,Hybrid,Mid,14,Master,0,1,1,0,1,147109,11,2025,Medium,4
Data Engineer,Medium,Education,USA,Onsite,Senior,12,PhD,1,0,1,0,0,131935,11,2022,Low,9
Data Scientist,Medium,Technology,Germany,Onsite,Entry,1,Bachelor,1,0,1,0,0,181733,9,2021,High,6
Machine Learning Engineer,Medium,Retail,Germany,Remote,Senior,7,PhD,1,0,0,0,0,121072,9,2026,High,7
Business Analyst,MNC,E-commerce,Germany,Onsite,Senior,0,Master,1,0,1,1,1,141845,8,2022,Low,2
AI Engineer,Medium,Education,USA,Hybrid,Entry,3,Bachelor,1,0,0,1,0,190253,8,2021,Low,5
Business Analyst,Medium,Finance,Germany,Remote,Entry,11,Bachelor,1,0,1,0,1,132166,9,2020,Low,7
AI Engineer,Medium,Healthcare,UK,Onsite,Senior,6,Bachelor,0,0,1,1,0,107135,6,2026,Medium,9
Machine Learning Engineer,Medium,E-commerce,Singapore,Onsite,Entry,14,Master,0,1,1,1,1,131273,7,2023,Low,7
Data Scientist,MNC,E-commerce,USA,Onsite,Entry,14,PhD,0,1,1,0,1,156948,12,2025,High,2
AI Engineer,Startup,Finance,Canada,Onsite,Mid,7,Bachelor,0,0,1,0,1,204143,10,2025,High,9
Data Scientist,MNC,Education,UK,Remote,Entry,1,Bachelor,0,0,0,1,0,174875,8,2026,High,3
Business Analyst,Startup,Healthcare,India,Remote,Mid,2,PhD,0,0,0,1,0,117510,6,2025,High,8
Data Scientist,Enterprise,Retail,Canada,Onsite,Entry,1,PhD,0,0,1,0,1,108967,12,2022,High,6
Business Analyst,MNC,Technology,Germany,Hybrid,Mid,9,PhD,1,1,0,0,0,100982,1,2023,Medium,5
Machine Learning Engineer,Enterprise,Finance,USA,Hybrid,Senior,1,Master,1,1,0,0,1,145769,10,2026,Low,9
Data Analyst,Startup,Education,Germany,Remote,Entry,5,Master,1,1,1,0,1,115213,8,2025,High,3
Business Analyst,MNC,Retail,USA,Remote,Senior,5,Master,0,1,1,1,1,71821,10,2021,High,1
Business Analyst,Medium,Finance,USA,Onsite,Mid,7,Master,0,0,1,1,1,107886,10,2026,High,6
Data Scientist,Startup,Retail,UK,Onsite,Entry,13,Master,1,0,1,0,1,80000,1,2021,High,2
Data Analyst,Startup,Finance,India,Hybrid,Entry,8,Master,1,1,1,1,0,155275,12,2025,Low,5
Data Engineer,Medium,Technology,USA,Hybrid,Entry,1,Bachelor,1,1,1,1,1,120115,12,2026,Low,8
Machine Learning Engineer,Medium,Healthcare,Australia,Onsite,Mid,9,PhD,0,1,1,0,0,122369,2,2025,Medium,6
AI Engineer,Medium,Technology,India,Onsite,Entry,13,Master,1,1,1,0,0,88457,7,2025,Medium,4
Machine Learning Engineer,MNC,Healthcare,USA,Hybrid,Mid,9,PhD,1,0,0,1,1,114655,8,2020,Medium,4
Machine Learning Engineer,Medium,Education,Canada,Onsite,Entry,6,PhD,1,1,0,0,1,75804,9,2020,High,4
Machine Learning Engineer,Enterprise,Finance,Germany,Remote,Mid,3,Master,0,1,0,1,1,113004,9,2021,High,8
Machine Learning Engineer,MNC,E-commerce,UK,Hybrid,Mid,13,PhD,1,0,0,0,1,90439,10,2024,Medium,4
Data Analyst,Enterprise,Finance,India,Onsite,Senior,0,PhD,0,1,0,1,0,98165,9,2021,High,8
Business Analyst,Startup,Retail,Canada,Onsite,Mid,11,Master,1,0,0,0,0,127971,2,2023,Medium,6
AI Engineer,Enterprise,Education,UK,Onsite,Entry,12,Bachelor,0,1,1,0,0,145346,1,2024,Low,5
Data Analyst,MNC,Finance,Canada,Remote,Senior,13,Bachelor,1,0,0,1,1,121747,6,2025,Low,8
Data Engineer,Medium,Healthcare,USA,Hybrid,Entry,6,Master,1,1,0,1,1,141068,7,2023,Medium,9
Machine Learning Engineer,Startup,Education,UK,Remote,Entry,6,PhD,1,0,1,1,0,130531,1,2025,High,6
Data Analyst,Medium,Finance,Australia,Onsite,Entry,14,PhD,1,0,1,1,1,63648,9,2025,Low,9
Business Analyst,Startup,Education,Canada,Onsite,Senior,14,Master,1,0,0,1,0,101341,11,2022,High,4
AI Engineer,MNC,Education,Australia,Hybrid,Senior,0,Master,0,1,0,1,1,92090,12,2024,Medium,5
Machine Learning Engineer,Medium,E-commerce,Germany,Hybrid,Entry,14,PhD,0,0,1,0,1,144445,7,2024,High,8
Business Analyst,Medium,Finance,Singapore,Remote,Entry,13,PhD,0,1,1,0,0,110422,7,2025,High,4
Business Analyst,Enterprise,Retail,Canada,Remote,Senior,8,PhD,0,1,0,1,1,93230,11,2023,High,6
Business Analyst,Enterprise,Retail,Germany,Remote,Senior,6,PhD,0,0,1,0,1,49798,4,2021,High,3
Data Engineer,Medium,Retail,Singapore,Onsite,Senior,7,Bachelor,1,1,0,1,1,106224,10,2022,Low,4
Data Analyst,Medium,Education,Australia,Hybrid,Senior,14,PhD,1,1,0,1,0,114037,7,2025,High,5
Business Analyst,Enterprise,E-commerce,Canada,Hybrid,Mid,9,PhD,0,0,1,0,0,79370,12,2020,Low,4
Data Scientist,MNC,Technology,Australia,Remote,Entry,3,Bachelor,0,1,1,1,1,92932,6,2021,Low,3
Data Scientist,Enterprise,E-commerce,Singapore,Remote,Entry,13,PhD,0,1,1,0,1,117594,9,2022,High,7
AI Engineer,Enterprise,Technology,India,Hybrid,Mid,12,Bachelor,0,1,1,0,1,189868,3,2021,High,4
Business Analyst,Startup,Retail,Germany,Onsite,Entry,2,PhD,0,0,1,0,0,128868,12,2025,Low,4
Machine Learning Engineer,MNC,Technology,Singapore,Hybrid,Mid,12,Master,0,0,1,1,1,88542,8,2021,High,6
