Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
30,female,1,own,little,little,2700,37,radio/TV,bad
33,female,2,own,little,little,4312,21,radio/TV,bad
75,female,3,own,little,rich,1431,9,business,bad
52,female,2,own,little,,2597,23,car,good
44,male,3,rent,little,rich,1692,17,car,bad
37,female,2,own,little,,653,12,radio/TV,bad
45,male,1,rent,little,little,2154,4,furniture/equipment,good
35,male,2,own,little,,3064,20,furniture/equipment,bad
19,male,2,free,little,,2396,4,car,bad
68,female,2,rent,,,783,25,business,bad
43,female,2,own,little,moderate,2876,28,furniture/equipment,good
27,male,2,own,moderate,,2394,22,furniture/equipment,good
21,male,3,own,little,little,4031,15,car,bad
22,male,2,rent,rich,moderate,3263,10,furniture/equipment,bad
19,female,2,rent,quite rich,,544,22,furniture/equipment,good
33,male,1,own,little,moderate,652,15,education,good
19,male,1,free,,moderate,745,7,furniture/equipment,good
19,male,2,own,little,,1775,23,car,good
28,female,0,own,quite rich,little,7829,23,car,good
29,male,1,free,,,5065,21,repairs,bad
31,male,2,rent,little,moderate,1892,53,car,bad
19,male,2,rent,little,,2766,10,car,good
32,male,1,own,quite rich,little,3025,27,business,good
26,female,2,free,little,little,4900,10,car,bad
26,female,2,own,little,little,4350,25,radio/TV,good
20,male,2,own,little,moderate,586,25,car,good
23,male,1,own,moderate,rich,2774,23,repairs,good
29,female,2,own,little,moderate,4466,18,car,bad
41,male,3,rent,little,,2847,16,vacation/others,good
42,male,1,own,,rich,1414,16,radio/TV,bad
75,male,2,own,little,little,4792,14,education,bad
23,female,2,own,little,,3240,10,business,good
53,male,2,own,little,,3949,19,car,good
20,male,2,rent,,,3954,14,radio/TV,bad
31,male,2,free,,moderate,4039,16,repairs,bad
22,female,2,own,moderate,little,4294,22,car,bad
29,male,1,free,,moderate,5903,49,furniture/equipment,good
67,female,2,rent,rich,moderate,2145,58,furniture/equipment,bad
40,female,2,rent,little,little,2983,18,car,good
28,male,2,rent,little,little,2072,41,car,good
23,female,2,free,little,moderate,3384,23,radio/TV,good
28,male,2,own,moderate,little,295,19,business,good
19,male,1,own,,,3246,23,business,good
34,male,2,rent,rich,,1658,5,education,bad
35,male,2,own,,moderate,3378,22,repairs,good
31,male,2,own,moderate,,3365,12,radio/TV,bad
35,female,0,own,little,moderate,2277,32,radio/TV,good
23,female,3,own,moderate,moderate,5908,36,vacation/others,good
28,male,2,own,moderate,moderate,3954,53,car,good
47,male,2,own,quite rich,moderate,944,24,furniture/equipment,good
26,female,2,own,,,2893,19,radio/TV,good
27,male,2,own,little,moderate,1584,15,business,good
50,male,3,own,little,little,3430,6,furniture/equipment,good
31,male,1,own,little,little,15931,42,radio/TV,bad
26,female,1,own,little,little,2624,60,repairs,good
72,male,2,own,little,moderate,3216,17,domestic appliances,bad
19,female,1,own,,moderate,2039,19,radio/TV,bad
19,male,3,free,,,5639,25,car,bad
68,male,2,rent,little,little,2356,26,business,bad
25,male,0,rent,little,little,679,24,radio/TV,bad
67,female,2,rent,little,little,2354,15,radio/TV,good
42,male,2,free,little,,5563,25,radio/TV,good
21,male,3,rent,little,little,1678,15,car,good
47,male,1,free,,,716,23,business,bad
47,male,1,own,little,,2014,15,domestic appliances,good
29,male,1,own,rich,,4417,23,radio/TV,good
21,male,3,own,moderate,moderate,1542,21,furniture/equipment,good
51,female,2,own,little,moderate,4296,62,radio/TV,good
20,male,3,rent,little,moderate,1100,28,car,bad
22,male,1,rent,quite rich,moderate,3210,32,car,good
20,female,1,free,little,,1203,41,car,good
37,male,1,rent,moderate,,1869,24,radio/TV,bad
26,male,2,rent,little,moderate,4414,20,radio/TV,bad
25,male,1,rent,,moderate,8854,20,car,good
30,female,2,own,little,little,1666,24,radio/TV,bad
23,male,3,rent,rich,moderate,1496,28,car,good
27,female,1,own,moderate,little,1689,55,car,good
22,male,3,free,,,3294,22,car,good
41,male,2,own,rich,,1960,12,car,good
41,male,2,rent,little,,2454,25,car,good
24,male,1,rent,moderate,moderate,11403,26,car,bad
65,male,2,own,,,2053,48,radio/TV,good
44,female,2,own,little,little,1136,36,radio/TV,good
26,male,2,rent,,moderate,2560,9,furniture/equipment,good
21,male,1,own,quite rich,little,1761,25,radio/TV,good
31,male,2,own,quite rich,,3598,14,car,good
32,male,2,own,rich,moderate,855,5,business,good
25,female,2,own,,,1197,23,furniture/equipment,good
40,male,2,own,,little,2645,28,radio/TV,good
22,male,2,own,little,moderate,3116,16,domestic appliances,good
37,female,0,own,quite rich,moderate,3579,27,business,bad
24,male,2,own,little,moderate,2137,9,car,good
29,male,2,own,little,,7629,4,education,good
44,male,2,own,little,,4335,23,domestic appliances,good
73,female,2,own,moderate,little,5348,20,domestic appliances,bad
25,male,2,free,little,moderate,1614,14,radio/TV,bad
29,male,1,own,little,,2338,14,furniture/equipment,good
56,female,2,free,little,moderate,8357,45,education,good
25,male,1,own,,,2778,69,radio/TV,bad
22,female,2,own,rich,moderate,631,39,furniture/equipment,good
25,male,2,own,moderate,moderate,8511,18,car,good
42,male,2,rent,little,,1869,8,radio/TV,good
35,female,1,own,rich,,2672,17,domestic appliances,good
54,female,2,free,little,moderate,4105,12,car,bad
29,male,1,rent,little,moderate,7041,9,car,good
51,female,2,own,rich,,1795,22,radio/TV,bad
32,male,2,own,quite rich,,2290,26,radio/TV,bad
19,female,2,own,little,,3280,17,car,bad
24,male,2,own,little,,582,4,car,good
33,female,2,own,little,little,1766,22,radio/TV,good
22,male,2,own,little,moderate,2992,39,radio/TV,good
40,male,2,own,,,760,25,car,bad
30,female,3,own,,moderate,4189,8,radio/TV,good
31,male,0,own,,,2926,20,radio/TV,bad
19,male,0,own,little,,2723,7,car,bad
19,female,3,own,little,little,10249,53,education,bad
28,male,2,rent,little,,1984,23,radio/TV,good
49,male,2,own,,moderate,1358,47,radio/TV,bad
53,male,3,own,little,moderate,3325,22,business,good
23,male,2,own,little,moderate,2395,27,car,good
22,male,2,own,rich,,4519,15,furniture/equipment,good
19,female,2,rent,moderate,little,3923,52,repairs,good
37,female,2,free,little,,2445,6,radio/TV,good
22,female,3,free,little,,2253,18,car,good
19,male,2,own,,,8165,22,car,good
57,male,2,own,quite rich,,2952,42,furniture/equipment,good
29,male,2,own,little,,3165,21,furniture/equipment,good
51,female,0,own,little,little,2911,19,radio/TV,bad
34,male,1,own,,little,2118,22,car,bad
32,female,2,own,moderate,,1773,24,car,good
22,female,2,rent,little,rich,1744,21,furniture/equipment,good
65,female,1,rent,little,,4315,4,furniture/equipment,bad
19,male,2,own,little,little,1547,18,education,bad
64,male,2,own,little,,1897,23,radio/TV,good
25,male,1,own,,moderate,3736,7,business,bad
24,female,1,rent,moderate,moderate,5157,25,domestic appliances,bad
28,male,1,own,little,moderate,5023,56,education,good
23,female,3,own,little,little,8216,30,radio/TV,good
50,male,3,rent,little,,2625,10,business,good
29,female,2,own,,,1668,49,car,good
22,male,2,own,little,,5816,19,radio/TV,bad
36,male,1,own,little,,4779,49,radio/TV,bad
25,male,2,free,rich,rich,6057,43,car,bad
47,male,2,own,,little,3634,21,car,bad
21,male,2,own,little,moderate,2393,19,car,good
23,female,3,rent,little,,3611,34,furniture/equipment,good
22,male,2,own,quite rich,little,3721,4,car,bad
23,female,2,own,,,13009,17,car,good
46,male,2,free,little,little,5471,17,radio/TV,bad
27,female,3,rent,little,moderate,4580,25,furniture/equipment,good
32,male,0,own,,,1422,47,car,good
19,female,3,own,little,moderate,4374,19,business,bad
31,male,3,own,little,,807,23,radio/TV,good
56,male,2,own,moderate,,2172,22,car,good
37,male,2,free,little,moderate,3846,24,radio/TV,good
39,female,2,own,quite rich,moderate,3050,13,education,good
24,male,1,free,little,moderate,2894,54,furniture/equipment,good
22,male,2,free,little,moderate,443,46,repairs,good
59,male,2,free,little,little,741,10,car,bad
33,male,2,own,little,,4595,56,radio/TV,bad
21,male,3,own,little,,3806,14,radio/TV,good
27,male,2,rent,little,moderate,2723,16,business,bad
42,male,2,own,little,moderate,1733,31,radio/TV,good
30,male,3,rent,,,1700,25,car,bad
24,male,2,rent,little,,5383,8,furniture/equipment,good
29,male,2,own,little,,2710,6,car,good
27,male,2,own,,little,3215,19,radio/TV,good
24,male,2,rent,moderate,,4562,23,car,bad
19,male,1,own,quite rich,,2742,14,car,good
40,male,0,own,quite rich,little,2702,17,radio/TV,bad
23,female,2,free,little,little,2176,14,furniture/equipment,good
26,male,1,own,rich,little,12329,10,car,bad
47,male,2,own,little,moderate,2414,23,furniture/equipment,good
42,male,3,free,little,moderate,1267,24,furniture/equipment,good
24,female,1,rent,little,moderate,1530,43,car,good
40,female,2,own,little,little,1486,25,radio/TV,good
75,female,2,rent,quite rich,little,1609,28,car,good
30,female,2,free,,moderate,2161,19,radio/TV,good
24,male,2,rent,,little,250,14,car,good
31,male,2,own,little,moderate,3392,19,business,bad
19,male,1,rent,little,little,4903,4,radio/TV,bad
40,male,2,free,little,moderate,1737,69,radio/TV,bad
55,male,1,own,little,moderate,1487,14,radio/TV,good
23,male,1,free,little,,1559,17,radio/TV,good
28,female,2,rent,little,moderate,2614,20,car,bad
19,male,3,own,little,,3648,19,car,bad
28,male,2,own,little,rich,1590,9,radio/TV,bad
29,male,3,own,rich,moderate,1506,20,domestic appliances,good
33,male,2,own,,rich,11425,23,car,good
24,male,2,own,little,,1385,10,car,good
29,male,0,own,little,little,2713,25,radio/TV,good
60,female,2,free,little,,3067,19,car,good
40,male,1,free,little,,6329,20,radio/TV,good
26,male,0,free,moderate,moderate,1043,23,car,good
19,female,3,own,rich,,1420,5,furniture/equipment,good
22,male,2,free,little,little,2057,8,radio/TV,good
28,male,0,free,moderate,,589,30,radio/TV,good
48,female,2,own,little,little,11661,21,car,bad
19,male,0,own,little,little,9023,22,car,good
20,female,2,own,moderate,moderate,4264,18,radio/TV,good
29,male,2,rent,moderate,,1286,15,car,bad
30,female,2,rent,little,,1221,4,furniture/equipment,bad
39,female,2,own,moderate,,3651,12,radio/TV,good
36,male,1,own,moderate,,2435,11,furniture/equipment,good
25,male,1,own,little,rich,1764,22,business,good
23,male,1,own,quite rich,,1119,68,radio/TV,good
28,female,1,own,moderate,little,1823,10,education,good
27,female,2,free,moderate,moderate,7681,22,car,good
52,male,3,free,quite rich,,3058,20,furniture/equipment,good
23,female,2,own,little,little,5911,22,radio/TV,bad
29,male,2,own,little,,3859,17,car,good
29,female,2,own,little,little,4830,7,car,good
32,male,3,own,little,moderate,1899,28,radio/TV,good
24,female,2,own,little,little,8611,20,car,bad
28,female,2,own,little,moderate,2217,51,radio/TV,bad
25,male,2,rent,,little,2011,12,furniture/equipment,bad
25,male,2,free,,moderate,2883,15,repairs,good
22,female,1,own,rich,rich,9794,23,car,good
26,male,2,own,,,1991,16,radio/TV,good
44,male,2,own,little,moderate,5304,25,radio/TV,good
44,female,3,own,,,1931,20,radio/TV,bad
36,female,0,own,little,moderate,1137,35,car,good
22,male,1,own,moderate,rich,667,14,radio/TV,good
32,male,0,own,little,,3633,22,car,good
19,female,2,rent,little,rich,1988,23,business,good
21,female,1,own,quite rich,,15828,24,car,bad
19,female,2,own,moderate,little,3997,8,car,good
25,female,2,own,moderate,moderate,3427,21,car,bad
33,male,2,own,little,,5643,22,business,good
28,female,1,rent,little,little,6931,49,radio/TV,good
69,female,1,own,little,moderate,4614,55,car,good
19,female,2,own,quite rich,,7626,22,business,good
28,male,1,rent,little,little,250,16,furniture/equipment,good
23,female,2,rent,moderate,little,7295,20,car,bad
63,male,2,own,little,,4181,20,radio/TV,good
54,female,2,rent,,little,2384,46,car,good
23,male,1,own,little,moderate,4100,23,radio/TV,bad
40,male,3,own,little,little,5312,21,car,bad
30,male,2,rent,little,little,1757,18,radio/TV,bad
22,male,2,own,,,2240,16,furniture/equipment,good
59,male,2,own,quite rich,rich,4389,25,car,good
26,male,2,own,moderate,little,4392,9,radio/TV,good
48,male,3,own,little,moderate,2336,23,furniture/equipment,good
36,male,2,own,little,,4551,6,radio/TV,bad
29,male,2,own,little,,1332,16,vacation/others,good
59,male,2,own,little,moderate,9915,14,business,good
64,male,2,own,little,,3342,40,furniture/equipment,good
61,female,2,own,moderate,moderate,2291,24,radio/TV,good
40,female,2,own,little,,3706,24,furniture/equipment,bad
21,male,2,rent,,little,5538,33,repairs,good
38,male,3,own,,little,4197,21,education,good
24,female,1,own,little,moderate,3844,4,business,good
26,male,1,own,quite rich,little,3304,63,education,good
19,male,2,own,quite rich,moderate,4725,22,car,bad
35,male,0,own,little,moderate,3767,8,car,bad
19,male,1,rent,little,moderate,550,22,furniture/equipment,good
27,female,2,own,moderate,little,2234,9,radio/TV,bad
35,male,2,own,,,1460,32,car,bad
53,male,2,free,little,,2203,57,car,good
30,male,2,own,little,rich,1240,25,car,good
23,male,1,own,little,little,3936,23,business,bad
39,male,2,own,little,moderate,250,17,repairs,good
27,male,2,own,moderate,,3834,27,car,good
26,male,1,own,quite rich,moderate,5104,42,radio/TV,bad
45,female,1,own,little,,3511,22,car,good
28,male,2,own,little,,2592,23,radio/TV,good
30,male,2,rent,little,rich,5675,18,car,good
23,female,3,own,little,rich,1018,15,education,bad
35,male,2,own,little,,4417,50,car,good
45,female,2,rent,little,little,1392,26,furniture/equipment,good
23,male,2,own,quite rich,little,14028,25,repairs,good
39,male,2,rent,,moderate,2465,22,business,bad
28,male,3,free,little,moderate,567,12,radio/TV,good
20,female,2,own,moderate,little,2320,28,car,bad
30,male,2,own,quite rich,,2741,13,business,good
27,female,2,free,,moderate,2399,53,furniture/equipment,bad
25,male,2,free,little,little,2015,26,furniture/equipment,good
75,female,2,own,,moderate,1623,27,car,bad
37,male,1,own,little,little,2039,22,business,good
26,female,2,own,quite rich,moderate,1744,15,radio/TV,bad
27,male,2,rent,little,moderate,1884,9,radio/TV,bad
20,female,0,rent,little,little,1905,24,car,bad
52,male,2,rent,little,rich,4830,25,car,good
48,male,2,own,moderate,little,3593,4,furniture/equipment,good
35,male,2,own,little,,3961,12,radio/TV,good
19,male,3,rent,quite rich,,2543,4,radio/TV,good
25,male,2,rent,little,,303,27,vacation/others,good
19,male,1,own,little,little,2148,15,education,good
19,male,3,free,little,little,2145,23,furniture/equipment,good
21,male,2,rent,little,,4665,18,radio/TV,bad
57,male,2,own,little,,2442,56,car,bad
21,male,2,own,little,,2201,30,car,bad
32,female,2,own,moderate,,1627,25,car,bad
32,male,2,free,little,,4967,4,radio/TV,good
29,male,1,rent,little,moderate,13862,13,radio/TV,bad
43,male,2,own,quite rich,little,5672,16,vacation/others,good
30,female,2,own,quite rich,,2181,9,business,good
23,male,2,own,little,,14984,57,radio/TV,bad
20,female,2,own,,little,986,21,car,good
24,male,0,own,little,moderate,2333,21,car,good
28,male,1,rent,little,moderate,2454,42,repairs,good
28,male,1,own,little,,8488,19,radio/TV,good
30,male,1,own,quite rich,,4590,19,education,good
36,male,2,free,,moderate,601,21,furniture/equipment,bad
21,female,2,own,little,,1370,28,radio/TV,good
20,male,2,rent,little,moderate,12868,22,furniture/equipment,bad
26,male,1,rent,rich,,499,48,education,good
19,female,1,rent,moderate,,838,36,education,good
26,male,2,own,quite rich,moderate,1827,26,radio/TV,good
46,male,1,own,quite rich,little,1891,27,radio/TV,good
27,male,2,free,little,moderate,1633,15,radio/TV,good
40,female,3,free,,little,7218,23,car,bad
21,female,2,own,little,moderate,2286,16,education,good
26,female,2,own,,moderate,7996,25,radio/TV,bad
33,male,2,free,little,,6844,25,car,good
30,male,2,free,little,moderate,2440,22,education,good
39,female,3,rent,,moderate,4556,24,furniture/equipment,good
71,male,3,rent,,moderate,1414,24,business,good
29,male,2,own,,moderate,1114,65,car,good
38,male,2,free,little,moderate,5599,22,car,good
21,male,2,own,little,,1564,39,radio/TV,bad
44,male,3,own,,moderate,5042,65,radio/TV,bad
26,male,2,own,little,moderate,4136,10,radio/TV,good
45,female,2,rent,little,,2103,25,car,good
27,male,2,own,little,moderate,1012,22,car,good
35,male,2,rent,little,moderate,2355,20,car,bad
25,male,1,own,little,,1507,23,radio/TV,good
40,female,1,own,little,,1503,45,car,bad
26,male,2,own,little,little,2453,9,car,good
41,male,2,own,little,little,3954,12,car,good
25,male,2,rent,,moderate,2191,12,car,good
22,male,3,own,little,,2138,16,furniture/equipment,good
27,female,1,rent,little,little,3892,62,furniture/equipment,bad
28,male,2,own,little,,8085,15,car,good
49,female,2,own,,,1930,4,radio/TV,good
26,male,2,own,little,moderate,1637,21,radio/TV,bad
26,male,3,own,little,moderate,9973,11,car,bad
40,male,1,own,quite rich,,2769,35,radio/TV,good
19,male,2,rent,,,4040,19,radio/TV,good
27,male,2,rent,quite rich,rich,1577,16,furniture/equipment,bad
30,male,2,rent,little,little,3157,21,car,bad
25,male,2,rent,,,5457,22,car,bad
32,male,2,free,little,little,3718,15,radio/TV,bad
35,male,2,own,,little,1812,20,car,good
33,male,2,own,little,little,3997,23,business,bad
29,female,0,own,little,rich,1686,23,car,good
53,female,1,free,little,moderate,2979,33,radio/TV,bad
24,male,2,own,rich,,821,16,car,good
19,female,2,own,quite rich,,1388,22,radio/TV,good
19,male,2,rent,quite rich,little,3645,13,car,bad
22,male,3,own,quite rich,,9632,37,car,good
26,male,3,own,moderate,little,2115,25,car,bad
60,male,3,free,rich,,1930,23,radio/TV,good
47,male,0,own,little,,3234,9,furniture/equipment,good
21,male,2,own,,,10214,15,business,bad
40,male,2,own,little,moderate,5120,22,furniture/equipment,bad
21,male,1,own,moderate,,3936,7,education,good
45,male,2,own,little,,1019,12,radio/TV,good
29,male,1,own,little,little,2466,30,furniture/equipment,good
41,female,2,rent,little,,1403,22,car,bad
24,male,3,rent,,moderate,1143,32,furniture/equipment,bad
19,male,3,own,moderate,,5003,25,radio/TV,good
62,female,1,own,little,moderate,2538,25,car,good
19,female,3,own,quite rich,little,2246,44,car,good
31,male,1,rent,,,1329,16,car,good
39,male,0,rent,little,rich,2722,15,business,good
27,male,2,own,rich,moderate,1262,25,radio/TV,good
23,male,2,rent,quite rich,,1842,23,radio/TV,good
19,male,2,own,,,1825,11,car,good
19,female,3,own,little,,5771,26,radio/TV,good
34,male,2,rent,,moderate,4501,19,furniture/equipment,good
24,male,1,own,little,moderate,1963,4,car,bad
42,male,2,rent,little,,3194,26,radio/TV,good
21,male,3,rent,little,,1534,37,radio/TV,bad
30,male,1,own,,little,3816,4,furniture/equipment,bad
25,male,2,own,little,little,340,23,car,good
27,female,2,rent,,moderate,1517,20,furniture/equipment,bad
69,male,2,own,little,little,1935,13,car,bad
22,female,1,own,moderate,moderate,4567,42,car,bad
26,male,1,own,,little,3884,41,radio/TV,bad
19,male,2,own,,,1686,20,business,good
31,female,3,rent,moderate,moderate,1260,8,car,bad
44,male,3,own,quite rich,,5683,58,car,good
28,female,2,own,quite rich,little,750,25,domestic appliances,good
22,male,2,own,little,moderate,3380,19,repairs,bad
52,male,2,own,rich,,1863,26,radio/TV,good
26,male,3,rent,little,little,1660,26,radio/TV,good
44,female,3,own,little,little,1102,51,radio/TV,good
24,male,2,free,,,4230,25,furniture/equipment,good
26,male,1,own,little,rich,2694,15,furniture/equipment,bad
27,male,2,own,little,moderate,2518,43,radio/TV,good
28,male,2,free,little,little,7683,17,radio/TV,good
51,female,3,rent,moderate,moderate,5291,9,car,good
28,male,0,rent,quite rich,moderate,4561,24,radio/TV,good
30,male,2,own,little,,2708,13,car,good
25,female,2,own,moderate,little,1817,55,radio/TV,good
52,male,2,rent,little,moderate,1701,19,vacation/others,good
19,male,2,own,moderate,,2074,24,radio/TV,good
64,male,2,own,quite rich,rich,2452,21,car,bad
68,male,2,own,little,,2671,16,business,good
25,female,2,own,quite rich,moderate,8332,7,car,good
23,female,3,own,moderate,little,3499,29,furniture/equipment,bad
19,male,0,own,quite rich,little,372,15,car,bad
31,male,2,own,little,,3796,41,education,good
20,female,3,own,quite rich,,1261,8,radio/TV,bad
20,male,2,own,little,,2126,24,business,good
23,male,2,own,rich,moderate,13518,23,business,bad
47,male,2,own,,little,17342,15,domestic appliances,bad
27,male,2,own,little,little,250,21,radio/TV,good
22,male,3,own,little,,1886,19,radio/TV,bad
21,male,1,own,,moderate,859,27,vacation/others,good
33,male,2,own,rich,,3480,11,car,good
22,male,1,own,quite rich,,2955,19,car,bad
29,male,3,free,little,moderate,2195,18,car,good
57,female,2,free,rich,moderate,3360,22,radio/TV,good
48,female,2,rent,little,little,2180,35,car,good
33,male,3,free,little,,1219,16,repairs,bad
20,male,1,own,quite rich,moderate,4095,15,radio/TV,good
31,male,3,free,quite rich,,4011,15,radio/TV,bad
30,female,2,own,little,,3941,24,business,good
34,male,1,rent,moderate,,3524,26,car,good
19,male,2,own,little,little,844,14,furniture/equipment,good
26,female,2,own,little,moderate,9995,34,car,bad
19,female,2,own,,,4105,37,car,good
25,female,1,free,little,moderate,1943,21,car,good
25,female,2,own,little,little,2759,15,radio/TV,good
32,male,0,own,little,moderate,688,25,car,good
39,male,3,own,little,,4578,10,radio/TV,good
26,male,3,rent,moderate,little,3146,12,radio/TV,bad
27,male,2,own,,moderate,4405,51,radio/TV,bad
27,female,2,rent,,,2388,26,furniture/equipment,good
20,female,2,own,,,1709,6,car,bad
29,male,2,rent,quite rich,moderate,2380,10,radio/TV,good
46,female,2,own,little,,8156,25,furniture/equipment,good
19,female,2,own,,,5725,28,furniture/equipment,good
21,male,2,free,,rich,713,11,business,bad
57,male,2,free,little,little,2524,11,radio/TV,good
27,male,1,own,quite rich,moderate,2486,4,furniture/equipment,good
48,female,3,own,,little,18424,14,car,bad
27,male,1,rent,little,,4114,24,car,good
28,male,1,own,little,moderate,1632,47,car,bad
26,male,1,rent,little,moderate,1245,16,radio/TV,good
28,male,2,own,little,little,3346,23,car,good
24,female,2,own,rich,,6564,14,education,good
59,male,3,own,little,little,5004,24,car,good
55,male,1,rent,,,4714,20,car,bad
29,female,2,own,,moderate,2182,14,radio/TV,good
44,male,2,free,,moderate,1789,17,car,bad
53,male,1,own,little,moderate,1265,16,car,bad
30,male,2,own,little,moderate,2795,13,radio/TV,good
36,male,3,own,little,moderate,694,19,car,bad
47,female,3,free,,,250,4,car,good
21,male,1,free,little,rich,637,23,radio/TV,bad
39,male,1,own,little,,250,39,furniture/equipment,bad
26,male,1,rent,,little,2683,36,radio/TV,good
19,female,2,own,little,little,4290,22,car,good
23,male,2,own,rich,,4843,10,furniture/equipment,good
19,female,1,own,moderate,little,3515,24,business,good
22,male,1,rent,little,,1109,24,car,bad
38,female,2,own,little,rich,5136,10,car,good
35,male,2,own,little,little,2887,5,radio/TV,good
37,male,1,own,quite rich,little,3470,19,car,good
32,male,2,own,little,little,2169,4,car,good
52,male,0,own,rich,little,1288,18,radio/TV,bad
31,male,2,rent,,little,2333,18,car,good
34,female,3,free,little,,3516,26,furniture/equipment,good
22,male,0,own,little,moderate,250,43,education,good
22,male,2,rent,little,little,5173,22,furniture/equipment,good
24,male,1,free,quite rich,,3675,26,car,good
61,male,0,rent,little,little,1018,23,radio/TV,good
22,male,2,own,little,,3301,21,radio/TV,good
19,male,2,own,little,moderate,1968,23,car,good
19,male,3,rent,little,moderate,1766,4,radio/TV,good
28,female,2,rent,little,,4697,15,car,good
42,male,2,own,little,rich,5688,16,car,bad
21,female,2,own,,,1329,27,car,good
30,male,2,rent,,rich,10136,4,business,good
61,male,2,own,little,,1707,19,car,good
29,female,1,rent,little,,250,56,furniture/equipment,good
48,male,2,own,quite rich,little,3169,29,furniture/equipment,bad
28,female,2,own,little,moderate,3748,19,furniture/equipment,bad
19,male,2,own,,moderate,1225,24,radio/TV,good
22,female,2,own,,moderate,1758,25,car,good
20,male,2,rent,little,moderate,1062,12,radio/TV,good
27,male,0,free,little,,6580,23,domestic appliances,good
32,male,2,rent,little,moderate,2699,4,car,bad
29,female,2,own,moderate,,4271,20,radio/TV,good
47,female,0,own,,little,2422,26,business,good
32,male,1,rent,little,moderate,250,21,radio/TV,good
25,female,3,rent,little,,2104,12,car,good
49,male,1,own,,little,2649,42,furniture/equipment,bad
19,female,1,own,little,rich,10148,54,radio/TV,good
32,female,1,own,little,moderate,7057,51,radio/TV,bad
25,male,3,own,little,little,1267,46,radio/TV,bad
19,male,3,own,,moderate,2016,17,business,good
22,male,1,own,little,,2761,11,car,good
